Iteration	Posterior	Likelihood	Prior	bl[1]	bl[2]	bl[3]	bl[4]	bl[5]	bl[6]	bl[7]	bl[8]	bl[9]	bl[10]	bl[11]	bl[12]	bl[13]	bl[14]	bl[15]	bl[16]	bl[17]	bl[18]	bl[19]	bl[20]	bl[21]	bl[22]	bl[23]	bl[24]	bl[25]	bl[26]	bl[27]	bl[28]	bl[29]	bl[30]	bl[31]	bl[32]	bl[33]	bl[34]	bl[35]	bl[36]	bl[37]	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	pi[1]	pi[2]	pi[3]	pi[4]	TL
0	-903.928	-931.6947	27.76668	0.09116438	0.004102765	0.1618588	0.1253755	0.01869397	0.0006011346	0.06763827	0.2091016	0.1287475	0.01949175	0.11214	0.002032084	0.06805377	0.06087855	0.09318177	0.04446797	0.009069218	0.06759813	0.05650803	0.04347724	0.03471332	0.03934516	0.001975057	0.07198621	0.05483577	0.01370525	0.08181854	0.04473411	0.02051696	0.01271301	0.04382044	0.1145991	0.03782082	0.1126305	0.04755922	0.03299104	0.009475285	0.320371	0.128189	0.225829	0.109543	0.0546034	0.161465	0.302371	0.344325	0.207844	0.14546	2.159422
10	-683.8024	-723.0603	39.25792	0.02748987	0.01958637	0.03981677	0.08808095	0.01275602	0.0005508105	0.07774815	0.05699537	0.02153613	0.03874393	0.04856233	0.006111914	0.03080363	0.045122	0.01071558	0.04973061	0.03754	0.08203244	0.07807386	0.04462655	0.05982	0.02108669	0.008310513	0.05138343	0.009949743	0.04582357	0.04299492	0.08021611	0.02210488	0.02319798	0.04349058	0.05679417	0.02159773	0.05079195	0.02958666	0.02371024	0.03373707	0.140318	0.0247664	0.203012	0.113603	0.239596	0.278704	0.299415	0.28377	0.128849	0.287967	1.441219
20	-613.6069	-654.4302	40.82334	0.01632669	0.05638845	0.01321312	0.1668379	0.008867262	0.0004856951	0.02243768	0.06944433	0.01790837	0.01459906	0.0714749	0.007896736	0.03619331	0.01555246	0.01204473	0.02973471	0.05016118	0.1056468	0.1078634	0.01200516	0.1090012	0.03054664	0.006979942	0.01841676	0.006465489	0.01000168	0.08302451	0.03439043	0.03542782	0.03479901	0.03842594	0.02558089	0.01452377	0.008728886	0.02587752	0.01280214	0.01330608	0.103034	0.0278117	0.22271	0.183104	0.306681	0.156659	0.301007	0.239484	0.182898	0.276611	1.343381
30	-533.9262	-579.1713	45.24512	0.006497777	0.01931608	0.02136646	0.08304533	0.005804019	0.0009150001	0.01285969	0.0774479	0.01455868	0.003047986	0.04819666	0.01388736	0.04341565	0.0224874	0.003199011	0.02984538	0.0461423	0.09236645	0.09732268	0.004152065	0.1149571	0.02245782	0.005441394	0.02625462	0.01020852	0.01009861	0.04229911	0.0426426	0.01563103	0.006435294	0.01553733	0.03203781	0.03262791	0.006942025	0.008716646	0.004911825	0.0239462	0.0990808	0.0657984	0.212529	0.17703	0.294914	0.150648	0.28864	0.229645	0.216469	0.265246	1.06702
40	-529.0896	-574.705	45.61542	0.005783882	0.02034103	0.02644107	0.04584485	0.01055076	0.001366731	0.02925288	0.01978213	0.002462749	0.0008699499	0.02556081	0.01925944	0.05036459	0.02976159	0.001709186	0.01924546	0.08521768	0.09180492	0.1211087	0.007945358	0.0802968	0.01474436	0.01637232	0.04089435	0.01509376	0.004720767	0.04552995	0.03333744	0.01421513	0.009238186	0.02262508	0.0521413	0.01681278	0.009320868	0.01730159	0.009366868	0.02719077	0.171533	0.095311	0.145299	0.153984	0.25778	0.176092	0.28315	0.250474	0.181995	0.284381	1.043876
50	-526.6564	-571.2631	44.60671	0.003840264	0.02517546	0.05873705	0.04531385	0.0435117	0.007547514	0.06567904	0.05930077	0.003627408	0.0009651139	0.0883122	0.02576119	0.01535685	0.01192725	0.001965122	0.03574775	0.05050207	0.09602586	0.06447036	0.01508537	0.05390343	0.01587993	0.02561113	0.03737455	0.01223341	0.00643409	0.05973403	0.03313241	0.010119	0.004391566	0.02302806	0.02402296	0.01099906	0.02614034	0.003953423	0.01743704	0.02367344	0.227068	0.063886	0.155905	0.192423	0.240629	0.120089	0.250056	0.221199	0.160723	0.368022	1.10692
60	-530.4624	-575.3768	44.91446	0.01320978	0.07479754	0.04366513	0.03440732	0.01740632	0.005960122	0.03054463	0.06363309	0.00362782	0.0009313171	0.05582999	0.02428138	0.02015284	0.01347343	0.0006365724	0.02535044	0.05907273	0.06508309	0.1082608	0.04902574	0.09056976	0.01154386	0.02508901	0.02772029	0.01053672	0.004676191	0.02456174	0.01448433	0.01080999	0.006770135	0.02321293	0.0339299	0.02791115	0.02477268	0.003218985	0.009541027	0.02898696	0.15436	0.0743263	0.130847	0.166131	0.291739	0.182597	0.235975	0.261326	0.166434	0.336265	1.087686
70	-532.3601	-579.0826	46.72242	0.02944126	0.045194	0.01140223	0.04525538	0.01794851	0.01071896	0.01243341	0.05512982	0.02379922	0.001808396	0.03810937	0.01525122	0.02632192	0.02568089	0.0009029099	0.01662862	0.04952625	0.05080872	0.07024535	0.01083049	0.1043707	0.01812872	0.007388994	0.0130865	0.02104169	0.00390318	0.04738085	0.0236209	0.005328603	0.004329115	0.04489242	0.03275175	0.02735087	0.02472058	0.004069782	0.006606588	0.02828052	0.0919738	0.0590845	0.227732	0.20189	0.234971	0.184349	0.27517	0.23489	0.136912	0.353028	0.9746887
80	-526.5206	-570.6052	44.08458	0.01200697	0.06569458	0.01064642	0.07693634	0.005320284	0.00828424	0.02913364	0.04124162	0.01134863	0.002248783	0.06751273	0.02475715	0.03052331	0.01765531	0.0008842582	0.03600519	0.03202205	0.07010573	0.135486	0.02549692	0.14113	0.007639245	0.005031509	0.0101644	0.01060644	0.01404438	0.02310155	0.04915173	0.02412987	0.005275206	0.05102228	0.007321658	0.009912397	0.02770171	0.003679323	0.01574544	0.03058628	0.194181	0.0899568	0.167963	0.232598	0.178596	0.136706	0.256552	0.234594	0.197524	0.31133	1.139554
90	-524.2867	-569.4598	45.17312	0.01258555	0.0362516	0.03745405	0.06914171	0.01726688	0.001797171	0.02816936	0.02849803	0.008287383	0.005686381	0.03047016	0.03953957	0.0362793	0.02803442	0.001509288	0.0244584	0.02915207	0.08958117	0.06164345	0.02249927	0.1443473	0.008787233	0.005575088	0.01394684	0.03068436	0.01342486	0.0615522	0.04339828	0.02413516	0.003257086	0.01204701	0.0219402	0.007110647	0.02869281	0.001037492	0.01018195	0.03309608	0.172169	0.0742906	0.21484	0.160625	0.239849	0.138226	0.255207	0.250023	0.196489	0.298281	1.07152
