Iteration	Posterior	Likelihood	Prior	alpha	bl[1]	bl[2]	bl[3]	bl[4]	bl[5]	bl[6]	bl[7]	bl[8]	bl[9]	bl[10]	bl[11]	bl[12]	bl[13]	bl[14]	bl[15]	bl[16]	bl[17]	bl[18]	bl[19]	bl[20]	bl[21]	bl[22]	bl[23]	bl[24]	bl[25]	bl[26]	bl[27]	bl[28]	bl[29]	bl[30]	bl[31]	bl[32]	bl[33]	bl[34]	bl[35]	bl[36]	bl[37]	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	p_inv	pi[1]	pi[2]	pi[3]	pi[4]	sr[1]	sr[2]	sr[3]	sr[4]	TL
0	-963.9258	-995.2296	31.30374	9.108107	0.07926554	0.031846	0.02270964	0.1309877	0.02204478	0.01098983	0.01583399	0.002687172	0.04464467	0.0319406	0.08738537	0.03805764	0.05745268	0.001276787	0.001419414	0.06708556	0.02656285	0.2058868	0.03446151	0.03191926	0.02169709	0.008737478	0.05817348	0.008138684	0.005529173	0.0038788	0.03764982	0.00959469	0.04673176	0.08777746	0.07195733	0.009714874	0.08466434	0.06416439	0.07131959	0.03451534	0.2257422	0.259184	0.152875	0.192137	0.0344806	0.308765	0.0525583	0.03575653	0.386376	0.438985	0.0751024	0.0995369	0.615765	0.863514	1.07419	1.44653	1.794444
10	-627.7266	-663.3936	35.66708	3.640267	0.03327873	0.04237605	0.02291912	0.08763391	0.02502679	0.02243515	0.02216619	0.01501789	0.06469321	0.03980641	0.1219262	0.1217196	0.1529374	0.00144599	0.0008850066	0.0443797	0.05846418	0.1403468	0.07977488	0.01639062	0.00974518	0.006268207	0.03199481	0.01857874	0.007120639	0.004057018	0.03825418	0.01394464	0.06457901	0.00382244	0.01621027	0.01225645	0.05919266	0.0154865	0.02482693	0.01380122	0.06797288	0.203193	0.12312	0.132816	0.0875566	0.290753	0.162561	0.03575653	0.296085	0.22573	0.147915	0.33027	0.433438	0.761772	1.08426	1.72053	1.521736
20	-576.6896	-617.876	41.18636	5.118046	0.01399766	0.0157648	0.02173187	0.0579276	0.01775025	0.01169533	0.02557874	0.04026952	0.0404104	0.05682735	0.06695897	0.02722912	0.1436736	0.008893326	0.008076207	0.03710172	0.03372434	0.1088391	0.09104405	0.01694449	0.003636469	0.003999905	0.02323751	0.01262073	0.02741062	0.003195068	0.03023107	0.00791799	0.06737553	0.009194303	0.02599837	0.007211131	0.02994777	0.02531751	0.01472936	0.01894351	0.02137537	0.139846	0.12424	0.138086	0.180705	0.214511	0.202613	0.2088872	0.279259	0.251181	0.112932	0.356628	0.506908	0.806735	1.08309	1.60327	1.176781
30	-553.0162	-594.4479	41.43165	5.412483	0.00419553	0.01276253	0.02533409	0.1265602	0.01423794	0.008128184	0.03633752	0.03171635	0.02760638	0.03770458	0.06956965	0.01255419	0.06310779	0.02096784	0.002906728	0.03466516	0.03642395	0.08595361	0.1038471	0.01250023	0.001997797	0.008230331	0.01126046	0.01049934	0.04200296	0.008800821	0.03819739	0.01197419	0.1415249	0.003308059	0.02390936	0.004224172	0.006976233	0.03060746	0.008961728	0.008814045	0.03308137	0.166498	0.0386868	0.220446	0.155443	0.337257	0.0816683	0.09961944	0.290624	0.261402	0.180757	0.267217	0.518357	0.813217	1.08252	1.58591	1.16145
40	-563.4916	-601.256	37.76439	7.938342	0.007157538	0.01976344	0.05740504	0.155767	0.07005139	0.01514939	0.04654045	0.03184385	0.01814035	0.06006574	0.06015431	0.03560171	0.05588116	0.05706807	0.001569097	0.04133088	0.09967729	0.04962457	0.1158096	0.02408476	0.0008053038	0.01128558	0.004987443	0.03044029	0.04225557	0.02216259	0.02761373	0.004536714	0.1145842	0.0009233992	0.017015	0.003019894	0.004043613	0.02193921	0.001294456	0.009641386	0.05141973	0.15231	0.0520413	0.121081	0.205876	0.251698	0.216993	0.09592908	0.289963	0.201091	0.180347	0.3286	0.591668	0.851825	1.07678	1.47972	1.390654
50	-552.9789	-593.464	40.48505	3.767592	0.005139824	0.03703524	0.03959437	0.1027611	0.03102361	0.01178219	0.04641453	0.0563664	0.01141639	0.0135163	0.06674831	0.02852672	0.04737613	0.02094455	0.002215589	0.01960938	0.1203789	0.07929394	0.0703258	0.006852218	0.001979064	0.002475592	0.01727018	0.01146201	0.0215599	0.03542015	0.08687084	0.006524561	0.1066741	0.0009828786	0.008895407	0.007485017	0.01356448	0.03686373	0.0006704217	0.008067529	0.03652479	0.191049	0.136526	0.158306	0.19452	0.194907	0.124692	0.02911556	0.213827	0.254228	0.21284	0.319105	0.441121	0.766768	1.08436	1.70775	1.220612
60	-553.3982	-595.0005	41.60228	7.39504	0.001462982	0.04057992	0.01012841	0.1331123	0.01642048	0.02144243	0.07106141	0.03551784	0.02051074	0.01530002	0.0498066	0.02101203	0.06636822	0.01290928	0.01018841	0.01867482	0.06377302	0.0660928	0.06651448	0.01834834	0.004815455	0.002150941	0.01236218	0.0207255	0.01514422	0.003566297	0.09793284	0.001979249	0.1634895	0.0003426595	0.0159977	0.007931059	0.01494444	0.01131358	0.002520243	0.0057066	0.01063878	0.21931	0.0586935	0.196193	0.205816	0.188054	0.131934	0.2318538	0.271856	0.20756	0.21901	0.301574	0.57878	0.84538	1.07803	1.49781	1.150786
70	-547.9513	-592.2814	44.33013	3.590665	0.005561071	0.02783316	0.008144288	0.0503255	0.02056593	0.01462515	0.02556298	0.009547844	0.02347439	0.008055156	0.04548474	0.01591838	0.04193811	0.03246227	0.00985637	0.02913432	0.03281085	0.0855327	0.06943966	0.01853022	0.00608643	0.000971618	0.02497155	0.006354888	0.009367803	0.00318482	0.05156447	0.007883245	0.1948212	0.0001578794	0.01316404	0.008178195	0.03406629	0.0109677	0.003373749	0.008184107	0.02219361	0.111232	0.0323367	0.243579	0.130918	0.318134	0.1638	0.07301249	0.263121	0.236004	0.191917	0.308959	0.430357	0.759747	1.0842	1.72569	0.9802947
80	-541.2825	-584.9567	43.67425	2.503684	0.01905553	0.009241332	0.01204015	0.04843841	0.01712267	0.004294696	0.04807786	0.03251704	0.008668048	0.01283793	0.02946273	0.01215901	0.02138543	0.02482616	0.01621333	0.116693	0.01024437	0.08781083	0.06550059	0.008602113	0.00815279	0.0006960906	0.02936476	0.01728615	0.01506337	0.01787478	0.06801338	0.005615105	0.1156812	0.000116342	0.00412419	0.03461565	0.04055497	0.00836312	0.01260702	0.008367733	0.02959952	0.110689	0.0741376	0.176163	0.238454	0.204446	0.196111	0.02329163	0.234788	0.315553	0.166898	0.28276	0.346806	0.699728	1.07867	1.8748	1.021287
90	-557.8435	-598.7589	40.91532	3.76837	0.007749161	0.01567266	0.01688685	0.08394889	0.01783874	0.03751497	0.04961036	0.03820385	0.00534993	0.02191998	0.06038845	0.01730192	0.05922533	0.0113981	0.004957688	0.04174966	0.01321646	0.06689794	0.07212274	0.004395441	0.01402312	0.0005135121	0.01292469	0.01013733	0.002926934	0.01661417	0.06689567	0.006722591	0.1536259	8.243178e-05	0.008169086	0.02337369	0.05084928	0.01347656	0.1018779	0.02277654	0.04238178	0.127892	0.143673	0.140537	0.210812	0.256226	0.12086	0.06295672	0.350154	0.270647	0.124372	0.254826	0.441167	0.766798	1.08436	1.70768	1.19372
