Iteration	Posterior	Likelihood	Prior	bl[1]	bl[2]	bl[3]	bl[4]	bl[5]	bl[6]	bl[7]	bl[8]	bl[9]	bl[10]	bl[11]	bl[12]	bl[13]	bl[14]	bl[15]	bl[16]	bl[17]	bl[18]	bl[19]	bl[20]	bl[21]	bl[22]	bl[23]	bl[24]	bl[25]	bl[26]	bl[27]	bl[28]	bl[29]	bl[30]	bl[31]	bl[32]	bl[33]	bl[34]	bl[35]	bl[36]	bl[37]	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	pi[1]	pi[2]	pi[3]	pi[4]	TL
0	-3216.719	-3239.365	22.64671	0.01084757	0.1770646	0.1034464	0.01415721	0.03132951	0.0298576	0.03034152	0.00838608	0.2128879	0.03902551	0.05488185	0.2067611	0.03430844	0.02519202	0.0966078	0.03547547	0.04504568	0.01609392	0.0365803	0.01948573	0.1309259	0.1823288	0.09018442	0.01086969	0.05205387	0.003080178	0.2512447	0.05600225	0.0007776797	0.03113198	0.004039471	0.02425416	0.09388433	0.1364087	0.1150291	0.02734006	0.04208913	0.00716906	0.125445	0.0289078	0.251803	0.0136184	0.573057	0.166572	0.132145	0.216718	0.484566	2.47942
10	-1883.8	-1864.751	-19.0492	0.02086813	0.473915	0.1881265	0.05816028	0.08523299	0.1115111	0.07681155	0.01372899	0.1699752	0.0614299	0.05249432	0.5752854	0.1464522	0.1191665	0.3684109	0.07304064	0.1675202	0.04013235	0.0349545	0.05310791	0.05973463	0.261901	0.1736929	0.009758086	0.06782945	0.002458745	0.4221454	0.1994138	0.001987109	0.107922	0.003980397	0.02005453	0.1445993	0.01877085	0.3142737	0.02875525	0.357813	0.0122378	0.446468	0.0357991	0.149469	0.0216469	0.334379	0.25041	0.306374	0.136967	0.306249	5.085415
20	-1469.3	-1437.872	-31.42873	0.01774114	0.1514565	0.4057454	0.04194971	0.05960534	0.07804571	0.06624532	0.02725073	0.06219548	0.04584682	0.02341769	0.3043107	0.1125803	0.1140192	0.3477432	0.06772769	0.436414	0.02985275	0.04806943	0.03446547	0.3704921	0.09666488	0.05259302	0.00986049	0.08891297	0.004500515	0.167107	0.4840955	0.002317488	0.2111319	0.001351084	0.1288475	0.3164278	0.1462716	0.1596538	0.07073875	1.073486	0.246992	0.229372	0.131859	0.187029	0.0288448	0.175903	0.314249	0.131512	0.313336	0.240903	5.859135
30	-1414.488	-1385.367	-29.12125	0.009353101	0.2434192	0.2403061	0.03044311	0.04058145	0.0885572	0.1479273	0.04076437	0.04025836	0.036435	0.02845405	0.2520044	0.1948149	0.1372495	0.3006754	0.06037242	0.3519095	0.04546788	0.05217121	0.03967618	0.4456582	0.04241532	0.03306101	0.005331556	0.05312608	0.00418613	0.1215077	0.4829097	0.001719983	0.4420976	0.0006399231	0.3428385	0.1938741	0.1215229	0.1241339	0.05335088	0.8657034	0.201562	0.24604	0.136261	0.186418	0.0985543	0.131165	0.262162	0.106695	0.269991	0.361152	5.714918
40	-1410.079	-1389.869	-20.20978	0.009898956	0.1810833	0.262781	0.01260915	0.02023639	0.07412731	0.1470858	0.0594674	0.06544862	0.02253566	0.04001468	0.234887	0.1297767	0.1551196	0.2841163	0.05080468	0.3209063	0.01701542	0.0519131	0.02501414	0.5076986	0.01635408	0.116242	0.009311513	0.0500244	0.008767221	0.2180121	0.2156431	0.002712807	0.2280472	0.001263721	0.2598582	0.1561329	0.103549	0.04658448	0.06458489	0.9883235	0.209517	0.169618	0.119784	0.232475	0.10445	0.164156	0.345434	0.0895098	0.265164	0.299892	5.157951
50	-1405.91	-1380.99	-24.92017	0.02242796	0.2169549	0.1688917	0.01593742	0.01443484	0.03490706	0.269573	0.04398483	0.05709303	0.01924021	0.0424217	0.1037172	0.1175345	0.09105578	0.3313209	0.04547224	0.4283934	0.0561406	0.06063342	0.02044992	0.2972175	0.0411029	0.03684179	0.01254825	0.0887576	0.03721057	0.07901446	0.5069644	0.001844015	0.4453014	0.000714849	0.4290596	0.1078251	0.0720103	0.05585017	0.08348405	0.9960186	0.206718	0.155464	0.189367	0.213076	0.0849166	0.150458	0.28214	0.0981651	0.290804	0.328891	5.45235
60	-1399.466	-1376.731	-22.73481	0.01407013	0.1937929	0.3109752	0.01518747	0.01956486	0.0824641	0.2108761	0.09186073	0.08373815	0.02763329	0.01139831	0.125224	0.0866385	0.05303625	0.2957453	0.03916665	0.3116452	0.06958397	0.03741356	0.02052435	0.306814	0.04817461	0.02806406	0.01433762	0.1060361	0.1251761	0.1574721	0.466578	0.001003569	0.3632232	0.007180766	0.2923199	0.1231849	0.1350062	0.05241447	0.07309747	0.9151431	0.287506	0.18267	0.143318	0.182904	0.074448	0.129153	0.280113	0.111385	0.288031	0.320471	5.315765
70	-1394.939	-1371.712	-23.2264	0.06230861	0.1296235	0.3621031	0.03319322	0.01699649	0.0874655	0.2798471	0.04110743	0.07511474	0.04941893	0.003193797	0.06839704	0.1386576	0.04626298	0.27996	0.03101099	0.4692895	0.05771471	0.02606861	0.05522732	0.3112064	0.02810687	0.04903469	0.0285082	0.07634631	0.1451981	0.1511412	0.4202299	0.00362185	0.4461156	0.005995028	0.2789773	0.08356392	0.0818857	0.03256512	0.07602469	0.8150077	0.253734	0.227886	0.151598	0.129154	0.0765064	0.161122	0.305008	0.0967363	0.28318	0.315075	5.34649
80	-1396.186	-1381.144	-15.04205	0.06447261	0.225333	0.2709343	0.02225395	0.03560862	0.08724473	0.1754556	0.03916057	0.02166636	0.03762792	0.008764966	0.08538554	0.1417602	0.1120696	0.3168563	0.02950736	0.255367	0.01782	0.03114692	0.01806994	0.3282882	0.03833598	0.07022352	0.01044701	0.024376	0.1663667	0.1691767	0.2459616	0.002992533	0.3585645	0.01376262	0.2523071	0.1432043	0.03957634	0.01178109	0.07498541	0.8881125	0.21054	0.145562	0.168567	0.255205	0.0864322	0.133694	0.295311	0.0864224	0.328385	0.289882	4.834968
90	-1399.727	-1380.928	-18.79896	0.07391491	0.246282	0.2887652	0.03888092	0.01335963	0.1076097	0.234634	0.007300344	0.03573175	0.02976697	0.03514735	0.103068	0.1453431	0.05408578	0.2911025	0.07458262	0.3703575	0.02485473	0.0134166	0.009769756	0.3306417	0.05648316	0.03795957	0.04625576	0.03456891	0.08559315	0.0674354	0.2616347	0.006322029	0.2787494	0.003400118	0.3008518	0.2296414	0.1586675	0.01441442	0.08222775	0.8769547	0.257399	0.194023	0.157578	0.176239	0.0897832	0.124978	0.290448	0.0849991	0.322977	0.301577	5.069775
