Iteration	Posterior	Likelihood	Prior	bl[1]	bl[2]	bl[3]	bl[4]	bl[5]	bl[6]	bl[7]	bl[8]	bl[9]	bl[10]	bl[11]	bl[12]	bl[13]	bl[14]	bl[15]	bl[16]	bl[17]	bl[18]	bl[19]	bl[20]	bl[21]	bl[22]	bl[23]	bl[24]	bl[25]	bl[26]	bl[27]	bl[28]	bl[29]	bl[30]	bl[31]	bl[32]	bl[33]	bl[34]	bl[35]	bl[36]	bl[37]	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	pi[1]	pi[2]	pi[3]	pi[4]	TL
0	-2573.495	-2591.695	18.19925	0.04876858	0.236567	0.003952003	0.07954922	0.009328031	0.021462	0.1396164	0.01819098	0.2071475	0.03650683	0.02093888	0.01262833	8.77341e-05	0.2266263	0.003179492	0.03755694	0.1457933	0.1511534	0.02253301	0.03268649	0.0171193	0.004537932	0.04572487	0.05292671	0.04182989	0.3329473	0.0002171025	0.01055402	0.002770402	0.03560132	0.1354482	0.0151888	0.007995388	0.09627769	0.1722342	0.07076044	0.2609802	0.200908	0.362759	0.0642405	0.129008	0.0845142	0.158571	0.237242	0.204698	0.414467	0.143593	2.757386
10	-1716.859	-1714.863	-1.995783	0.1150503	0.4088163	0.006358326	0.02457259	0.0467603	0.1612392	0.4625851	0.03900516	0.3050623	0.09392964	0.05466784	0.1071273	0.0001438217	0.2308293	0.03109666	0.1457757	0.09841331	0.1018294	0.04700065	0.1854108	0.02251971	0.02142915	0.09406339	0.1665912	0.04552557	0.2402894	0.0005958209	0.00394619	0.01073865	0.1035058	0.1192461	0.02744233	0.0138768	0.1044668	0.1791981	0.1239727	0.07649428	0.261239	0.205016	0.0846726	0.231995	0.118077	0.0989994	0.188617	0.174599	0.199479	0.437305	4.019576
20	-1521.853	-1502.839	-19.01425	0.1311563	0.1360803	0.06945947	0.01034681	0.1156581	0.128486	0.4474533	0.02156337	0.3060008	0.06504132	0.1348524	0.08752486	0.0006057407	0.8231587	0.03954708	0.1191193	0.108623	0.1171821	0.2478791	0.06998366	0.04346205	0.1719836	0.04903183	0.1282699	0.03146984	0.3202268	0.0001349587	0.009519231	0.01328217	0.2135283	0.07729938	0.04404591	0.0103658	0.0972275	0.4946374	0.137074	0.06194966	0.295122	0.0952421	0.130149	0.265589	0.133392	0.080506	0.229065	0.247927	0.167507	0.355501	5.08323
30	-1456.057	-1441.82	-14.23671	0.05918425	0.05651292	0.2770366	0.02760883	0.1760442	0.1087294	0.2588629	0.009893802	0.3492574	0.2744736	0.2107359	0.04468819	0.0006177412	0.4536257	0.05019071	0.1228118	0.1526606	0.06940063	0.1103588	0.1078382	0.06710363	0.1811454	0.07392301	0.06309493	0.04473424	0.1837883	0.0003864217	0.01464288	0.02265137	0.3511081	0.1205611	0.07724662	0.01237907	0.1746009	0.2775937	0.09333449	0.1058073	0.278516	0.0992609	0.134827	0.250645	0.160775	0.0759761	0.309434	0.158859	0.303921	0.227786	4.784634
40	-1418.902	-1416.855	-2.047412	0.06473625	0.02003532	0.1279895	0.01517229	0.1203344	0.05136302	0.2533819	0.02353817	0.1867735	0.3273595	0.1664202	0.08050655	0.002621925	0.298175	0.04693561	0.1890645	0.05865026	0.04835694	0.1229675	0.0640299	0.1937166	0.1968739	0.06020877	0.08423008	0.05876758	0.2322452	0.001453099	0.01354387	0.04846207	0.267023	0.151055	0.07223722	0.03469757	0.1246421	0.0523303	0.03752876	0.1253755	0.307121	0.10882	0.170688	0.147958	0.176257	0.089156	0.227077	0.279625	0.253229	0.240068	4.022803
50	-1408.486	-1408.576	0.09048092	0.1542509	0.05052425	0.1605208	0.01539289	0.1408681	0.08582665	0.2243276	0.02130115	0.2089584	0.1106184	0.1346109	0.1001742	0.001871511	0.1588633	0.01862982	0.1415923	0.03496855	0.0168825	0.07256574	0.04324892	0.168152	0.108428	0.07190779	0.04999509	0.03789488	0.2885269	0.003686556	0.03470832	0.1656138	0.3320722	0.3045616	0.05010425	0.05556519	0.07170447	0.03604611	0.06978049	0.1444401	0.283927	0.111013	0.181504	0.133666	0.185099	0.104792	0.235185	0.289609	0.26227	0.212936	3.889185
60	-1397.088	-1394.584	-2.503521	0.1088952	0.05280424	0.1527499	0.01920796	0.2287814	0.02613165	0.279338	0.01798243	0.2310577	0.1169267	0.2409098	0.06708367	0.008650332	0.1916178	0.006102843	0.1669335	0.04557191	0.01628869	0.06809712	0.02790656	0.1327708	0.2601251	0.06342265	0.06057489	0.03949211	0.2485038	0.00991561	0.02802165	0.04017783	0.1965401	0.2635281	0.09313067	0.03622406	0.09588397	0.04292104	0.1690873	0.1979524	0.222723	0.124653	0.203805	0.15009	0.181062	0.117668	0.267858	0.255832	0.292479	0.18383	4.05131
70	-1403.421	-1395.477	-7.943698	0.09735865	0.05187145	0.1967694	0.06847098	0.17705	0.05717583	0.1554389	0.00581293	0.272243	0.2370761	0.2682374	0.0741134	0.0427316	0.1917754	0.009007856	0.1117921	0.03143506	0.01433039	0.06562826	0.02269348	0.1924746	0.19168	0.04898708	0.05671231	0.01623703	0.170298	0.012433	0.05994013	0.1172824	0.2952188	0.2140474	0.07782697	0.07589222	0.1911506	0.1366794	0.1191554	0.2642933	0.249878	0.0764237	0.236859	0.195207	0.16525	0.0763818	0.288383	0.252537	0.288711	0.17037	4.391321
80	-1390.903	-1385.601	-5.302203	0.1880224	0.04856239	0.2429345	0.04111615	0.193265	0.06173077	0.1744125	0.006334819	0.1684974	0.1468114	0.1557569	0.09701655	0.125824	0.1347365	0.01094803	0.1376112	0.01050961	0.02127018	0.07982094	0.07485208	0.1318237	0.3847011	0.04607503	0.1042891	0.00227654	0.1253396	0.01118449	0.04669026	0.1326206	0.2951639	0.2393062	0.06370055	0.02994703	0.1197378	0.03492146	0.236429	0.1019876	0.27994	0.0835396	0.188629	0.163527	0.188381	0.0959835	0.299057	0.256101	0.279756	0.165085	4.226227
90	-1387.994	-1385.152	-2.842214	0.04717394	0.06894679	0.1488937	0.0154662	0.1987204	0.1393813	0.2304329	0.007726701	0.3183189	0.1122024	0.1400925	0.09751146	0.1245089	0.1969828	0.006305208	0.1602403	0.009966764	0.006174351	0.1174171	0.07592987	0.0862205	0.1838101	0.04555789	0.06273669	0.00484673	0.1039153	0.01502671	0.0615287	0.07970567	0.3394358	0.2338626	0.0621581	0.07268835	0.09821025	0.05693756	0.2069864	0.1364582	0.259333	0.0729914	0.16287	0.190767	0.202065	0.111973	0.291377	0.2377	0.265142	0.205781	4.072478
