Iteration	Posterior	Likelihood	Prior	bl[1]	bl[2]	bl[3]	bl[4]	bl[5]	bl[6]	bl[7]	bl[8]	bl[9]	bl[10]	bl[11]	bl[12]	bl[13]	bl[14]	bl[15]	bl[16]	bl[17]	bl[18]	bl[19]	bl[20]	bl[21]	bl[22]	bl[23]	bl[24]	bl[25]	bl[26]	bl[27]	bl[28]	bl[29]	bl[30]	bl[31]	bl[32]	bl[33]	bl[34]	bl[35]	bl[36]	bl[37]	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	pi[1]	pi[2]	pi[3]	pi[4]	TL
0	-3620.812	-3650.939	30.12664	0.0659814	0.04228022	0.001734913	0.03612295	0.007278938	0.09193103	0.1449521	0.006159472	0.01141786	8.297877e-05	0.0541469	0.005045042	0.01639684	0.05995942	0.08308388	0.03207644	0.0987753	0.07850579	0.0839885	0.01914191	0.06431416	0.02149475	0.1661993	0.02565624	0.046344	0.02973856	0.01129544	0.02707462	0.02265816	0.06321626	0.1256036	0.1119473	0.02043014	0.2466312	0.0009204616	0.08287887	0.006459518	0.326588	0.161511	0.00267036	0.000721857	0.174069	0.334439	0.0270379	0.0265659	0.10304	0.843357	2.011924
10	-2223.937	-2220.595	-3.341146	0.2479292	0.08119023	0.01046963	0.08357288	0.005159883	0.3478737	0.2844102	0.02055986	0.07948205	0.0001791962	0.06055566	0.008944399	0.1249539	0.108691	0.2033022	0.0943163	0.212367	0.1452955	0.4847292	0.03378221	0.1956281	0.02955063	0.07160125	0.04799004	0.04651004	0.1044775	0.0489157	0.04387217	0.0379704	0.09306053	0.1918323	0.1662416	0.05687957	0.1113619	0.001854076	0.1673629	0.0507885	0.40744	0.415817	0.00364414	0.000819115	0.075115	0.0971644	0.0491764	0.192076	0.187408	0.57134	4.103661
20	-1941.321	-1926.308	-15.01274	0.38449	0.06781492	0.02103164	0.1685075	0.0230697	0.1971186	0.1794998	0.1857682	0.0868561	0.000145923	0.06284301	0.009539053	0.07350927	0.05354231	0.134316	0.1475293	0.2499378	0.2277094	0.4156805	0.03947757	0.5078465	0.00826604	0.02459368	0.08824061	0.0770888	0.07736386	0.0673186	0.1335915	0.04456075	0.08023761	0.2863599	0.2463142	0.04323095	0.1398122	0.002034842	0.2257775	0.05211205	0.386369	0.394847	0.0506219	0.00457077	0.0713269	0.0922643	0.122829	0.147675	0.180183	0.549313	4.833136
30	-1680.569	-1678.923	-1.645401	0.2993348	0.1051966	0.02696945	0.2452215	0.02800542	0.1429447	0.2133514	0.3071396	0.05042412	0.0001353166	0.1302243	0.07583114	0.01846257	0.05850921	0.06334717	0.04497692	0.1184432	0.1118734	0.4000273	0.1976094	0.1437335	0.01503913	0.03813774	0.07401	0.04320159	0.02920661	0.0441675	0.09052088	0.03204364	0.05380126	0.2514351	0.1682499	0.03439937	0.09777875	0.00405177	0.1432224	0.09665043	0.235722	0.243175	0.100732	0.219421	0.113791	0.0871582	0.152111	0.252288	0.255272	0.340329	3.997677
40	-1609.895	-1607.106	-2.788321	0.4227803	0.128163	0.04765145	0.2549055	0.05440881	0.2049976	0.1825551	0.2558247	0.09879562	0.000331117	0.1673028	0.04947735	0.01093493	0.02068331	0.0518527	0.02740468	0.0931824	0.07031064	0.2282628	0.1278004	0.09499719	0.04321984	0.09251571	0.09504857	0.04464191	0.09796422	0.02730552	0.04439851	0.01125543	0.1582834	0.1928072	0.2531997	0.1035932	0.1325912	0.006960642	0.07312749	0.09957461	0.221069	0.287742	0.120105	0.122711	0.134645	0.113727	0.216115	0.233244	0.236002	0.314639	4.06911
50	-1602.518	-1591.019	-11.4991	0.4902019	0.06275823	0.05460967	0.1639397	0.1332641	0.144991	0.2202331	0.3726248	0.1314152	0.0003271486	0.07825086	0.1284585	0.02762528	0.05306367	0.03905095	0.007450594	0.05711737	0.1533804	0.2610931	0.2091214	0.0958488	0.01409168	0.05605264	0.1055698	0.07813576	0.1509643	0.03892097	0.02112356	0.1122728	0.1722632	0.1648109	0.3041159	0.1578965	0.09242706	0.02555449	0.1779231	0.05658535	0.169953	0.257141	0.121396	0.196745	0.113174	0.14159	0.215784	0.262471	0.223617	0.298127	4.613534
60	-1563.048	-1554.778	-8.27001	0.462909	0.1102167	0.04748702	0.1873829	0.1411612	0.1409708	0.2244001	0.2543602	0.09998617	0.0001532288	0.06033114	0.05690531	0.02444649	0.03718966	0.04598277	0.005259916	0.05918624	0.09724515	0.1020746	0.2573468	0.1292964	0.01023579	0.1305006	0.0558147	0.1023857	0.2076884	0.1542916	0.03601841	0.07764419	0.08360798	0.1875828	0.2663821	0.2303898	0.1090107	0.1180358	0.05667584	0.04115883	0.116262	0.225651	0.203859	0.173509	0.10219	0.178529	0.242219	0.237631	0.227726	0.292424	4.411715
70	-1531.87	-1529.946	-1.924499	0.4062051	0.0786871	0.05579827	0.2226631	0.110024	0.1477405	0.173432	0.3892154	0.1323391	0.0003525656	0.146609	0.04010373	0.0443017	0.03192158	0.01978112	0.004226821	0.06801269	0.06326196	0.03709056	0.1382612	0.1220943	0.004025954	0.1707245	0.08017068	0.03622675	0.09020982	0.08595694	0.06692468	0.08223226	0.1417253	0.1422058	0.2234326	0.112077	0.1457577	0.07605513	0.05305664	0.07221727	0.153735	0.190065	0.19269	0.167071	0.0965908	0.199848	0.206215	0.308368	0.23646	0.248958	4.015121
80	-1523.684	-1520.606	-3.077519	0.459979	0.05313398	0.08539377	0.1925382	0.152868	0.1780502	0.2242803	0.249235	0.08997109	0.0003276073	0.1213875	0.04373288	0.03240094	0.01567469	0.03153196	0.0277912	0.1788756	0.06231184	0.01640831	0.1615937	0.09365603	0.002752715	0.09292179	0.08711123	0.0497194	0.1212877	0.06025792	0.1210189	0.06661863	0.0796697	0.09119702	0.3189439	0.1671342	0.1547273	0.1053338	0.0287637	0.06858502	0.165718	0.19154	0.194643	0.171694	0.150865	0.12554	0.239198	0.259717	0.242776	0.258309	4.087185
90	-1531.888	-1523.617	-8.270805	0.3616065	0.09327302	0.0607455	0.1696761	0.1160771	0.1719837	0.3548945	0.269244	0.1015128	0.0005145694	0.1801445	0.06742683	0.07441183	0.01217167	0.01490864	0.01949858	0.05248463	0.06216289	0.03325678	0.2091042	0.06383901	0.00631051	0.09913405	0.1289127	0.04031792	0.1201467	0.05302661	0.03351886	0.12031	0.09849631	0.1176266	0.3673587	0.3579573	0.1967098	0.06992182	0.03568915	0.07739057	0.121173	0.229708	0.177327	0.17719	0.136925	0.157677	0.257642	0.260796	0.243784	0.237779	4.411765
