Iteration	Posterior	Likelihood	Prior	bl[1]	bl[2]	bl[3]	bl[4]	bl[5]	bl[6]	bl[7]	bl[8]	bl[9]	bl[10]	bl[11]	bl[12]	bl[13]	bl[14]	bl[15]	bl[16]	bl[17]	bl[18]	bl[19]	bl[20]	bl[21]	bl[22]	bl[23]	bl[24]	bl[25]	bl[26]	bl[27]	bl[28]	bl[29]	bl[30]	bl[31]	bl[32]	bl[33]	bl[34]	bl[35]	bl[36]	bl[37]	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	pi[1]	pi[2]	pi[3]	pi[4]	TL
0	-992.1869	-1023.556	31.36887	0.01400129	0.09274737	0.03561039	0.002113632	0.02610676	0.05152779	0.07460907	0.03245701	0.0430538	0.1115651	0.1968265	0.01523366	0.01640666	0.01247944	0.049195	0.03592886	0.05002627	0.03183864	0.008728577	0.03531857	0.03766737	0.03928194	0.01443554	0.154543	0.08272263	0.06486343	0.01080581	0.04202813	0.06159862	0.2048675	0.00188326	0.16355	0.07756749	0.001856873	0.01047328	0.01972723	0.0106385	0.333411	0.0289805	0.298603	0.273046	0.0488324	0.017127	0.200588	0.0484689	0.667149	0.0837941	1.934285
10	-541.7882	-581.2564	39.4682	0.02650269	0.1357653	0.05039544	0.001120574	0.04871027	0.1328676	0.08101593	0.05163528	0.04115977	0.06773334	0.006972354	0.03014966	0.009576403	0.01345889	0.02217902	0.03201363	0.007844532	0.0182011	0.01188533	0.06323426	0.02933684	0.05001376	0.02559252	0.04963096	0.06152246	0.01869619	0.003263293	0.01865364	0.07069378	0.1084298	0.006326493	0.05851808	0.02747712	0.004471477	0.009164777	0.0158582	0.01800615	0.284276	0.0750173	0.253597	0.186028	0.156889	0.0441931	0.242107	0.317236	0.287337	0.15332	1.428077
20	-463.5151	-507.5455	44.03041	0.003810291	0.1039054	0.06023718	0.0007360701	0.02985823	0.0251819	0.104171	0.05228382	0.02658166	0.03133947	0.03304128	0.05536239	0.009062808	0.01055742	0.03007521	0.004718342	0.02588251	0.02584308	0.01158124	0.08628474	0.001606563	0.03022483	0.02314351	0.04537977	0.04007414	0.02732436	0.003178432	0.04143679	0.02743892	0.04253245	0.004432797	0.02718348	0.01614483	0.01293282	0.02924859	0.01828583	0.02185713	0.126422	0.0884588	0.258819	0.106269	0.331611	0.0884203	0.201889	0.349668	0.316712	0.131731	1.142939
30	-450.3471	-495.0089	44.66179	0.003271338	0.07404572	0.05259152	0.001312705	0.03506731	0.05974497	0.09100811	0.03459415	0.02110181	0.03351706	0.0265655	0.08488561	0.004884266	0.008454835	0.02188377	0.001117408	0.03941783	0.0146878	0.00492007	0.0555096	0.0007498998	0.03196858	0.02502895	0.06891202	0.0209499	0.022425	0.0036502	0.01953792	0.02597292	0.03157472	0.007991168	0.06254329	0.004788771	0.007314331	0.01501571	0.02522325	0.06124994	0.188382	0.105183	0.0977426	0.0986086	0.424433	0.0856502	0.224329	0.348146	0.277187	0.150338	1.103478
40	-442.4679	-488.9618	46.49395	0.003537152	0.05115598	0.02731994	0.004780026	0.01541504	0.05986386	0.0490515	0.03718637	0.01422037	0.05957764	0.03948682	0.07689799	0.005245691	0.00359973	0.03231045	0.0003819034	0.04270667	0.008091429	0.006314809	0.04399402	0.001030667	0.01905809	0.01639517	0.03196344	0.02965001	0.01700409	0.01594868	0.02497652	0.09294897	0.02653945	0.01074931	0.02775077	0.02038396	0.00814365	0.01002864	0.01762941	0.03762948	0.14377	0.0824451	0.198787	0.0601838	0.448195	0.0666189	0.321598	0.298719	0.262768	0.116915	0.9889677
50	-434.6976	-482.3846	47.687	0.004854944	0.07840492	0.01297896	0.0021855	0.007589406	0.01631364	0.05190471	0.02593746	0.03145557	0.05675012	0.01380864	0.09518143	0.00844511	0.006299527	0.01570382	0.0008626744	0.03984437	0.01208189	0.009175423	0.05796133	0.001850274	0.02288561	0.01228095	0.05037178	0.007715471	0.01263417	0.01475891	0.02776881	0.01960469	0.002749624	0.01742917	0.05840585	0.01846257	0.01816409	0.002603151	0.02395911	0.05501816	0.170964	0.0448355	0.209277	0.132681	0.267361	0.174881	0.2215	0.373241	0.281834	0.123426	0.9144018
60	-432.4771	-479.1852	46.70805	0.004132723	0.02096028	0.01522641	0.001955872	0.006144089	0.02956243	0.0652824	0.01782006	0.02495435	0.05694073	0.03157603	0.06715152	0.00325568	0.008259178	0.0142704	0.002049641	0.06281974	0.03760495	0.02144291	0.1193059	0.0059361	0.04041642	0.007623361	0.01617054	0.005587575	0.003798217	0.02956879	0.01465795	0.04378584	0.0009245014	0.01664582	0.05502784	0.04223149	0.02310948	0.007991961	0.02746186	0.02393356	0.13678	0.1114	0.139722	0.103815	0.369332	0.138951	0.240717	0.308357	0.336763	0.114163	0.9755866
70	-420.9524	-469.1069	48.15448	0.006734309	0.0405609	0.01405041	0.001006298	0.005981308	0.01674392	0.06811385	0.03033417	0.01275667	0.03905833	0.01296065	0.1020347	0.003117768	0.00556301	0.01957725	0.001476396	0.04533879	0.04002302	0.003144604	0.1294656	0.008283997	0.05214551	0.005974667	0.009861825	0.01966978	0.002842401	0.02772289	0.01698788	0.03112823	0.001473917	0.003557562	0.02928873	0.009465375	0.04287927	0.006406082	0.004396231	0.01505855	0.122341	0.102505	0.212172	0.139683	0.284116	0.139184	0.285256	0.315244	0.298357	0.101144	0.8851849
80	-420.9269	-469.7016	48.77468	0.002827819	0.0564939	0.03802188	0.0005599056	0.008881321	0.02818856	0.07140228	0.04075366	0.0103989	0.05925327	0.01217051	0.08454029	0.02411485	0.00915325	0.01997459	0.003526372	0.01815146	0.03860985	0.005514991	0.04998818	0.01320749	0.03469557	0.003543373	0.01928743	0.003868478	0.001690227	0.04455232	0.01392892	0.04991491	0.002373188	0.004755264	0.01352346	0.008888682	0.03023194	0.004645574	0.006368027	0.008421145	0.143223	0.0605745	0.151247	0.092403	0.37087	0.181683	0.258009	0.350972	0.293759	0.0972595	0.8464219
90	-425.3022	-474.0071	48.70495	0.002787272	0.03481453	0.0248796	0.0003083864	0.01686424	0.02632251	0.02447358	0.04715857	0.008699111	0.07538452	0.006478144	0.05982645	0.0293361	0.01201679	0.02020362	0.002524473	0.006094344	0.07953656	0.009934984	0.07315457	0.016912	0.03374016	0.009352381	0.009908222	0.0007670698	0.00359249	0.04523169	0.01624223	0.05181839	0.003627337	0.01561634	0.008080895	0.004947584	0.04164687	0.01573656	0.003743932	0.009018018	0.136122	0.0954634	0.18831	0.0769552	0.352783	0.150366	0.325988	0.315683	0.251256	0.107073	0.8507805
