Iteration	Posterior	Likelihood	Prior	bl[1]	bl[2]	bl[3]	bl[4]	bl[5]	bl[6]	bl[7]	bl[8]	bl[9]	bl[10]	bl[11]	bl[12]	bl[13]	bl[14]	bl[15]	bl[16]	bl[17]	bl[18]	bl[19]	bl[20]	bl[21]	bl[22]	bl[23]	bl[24]	bl[25]	bl[26]	bl[27]	bl[28]	bl[29]	bl[30]	bl[31]	bl[32]	bl[33]	bl[34]	bl[35]	bl[36]	bl[37]	bl[38]	bl[39]	bl[40]	bl[41]	bl[42]	bl[43]	bl[44]	bl[45]	bl[46]	bl[47]	bl[48]	bl[49]	bl[50]	bl[51]	bl[52]	bl[53]	bl[54]	bl[55]	bl[56]	bl[57]	bl[58]	bl[59]	bl[60]	bl[61]	bl[62]	bl[63]	bl[64]	bl[65]	bl[66]	bl[67]	bl[68]	bl[69]	bl[70]	bl[71]	bl[72]	bl[73]	bl[74]	bl[75]	bl[76]	bl[77]	bl[78]	bl[79]	bl[80]	bl[81]	bl[82]	bl[83]	bl[84]	bl[85]	bl[86]	bl[87]	bl[88]	bl[89]	bl[90]	bl[91]	bl[92]	bl[93]	bl[94]	bl[95]	bl[96]	bl[97]	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	pi[1]	pi[2]	pi[3]	pi[4]	TL
0	-24293.24	-24295.01	1.768894	0.00508364	0.03407583	0.1558209	0.1415798	0.02401646	0.06174999	0.06106253	0.06187394	0.112404	0.02236083	0.1422967	0.04287814	0.0007755459	0.03129626	0.02586481	0.01322895	0.04541017	0.0423509	0.06216448	0.01174494	0.1151521	0.005911797	0.03129553	0.02004106	0.1380534	0.09758653	0.01668749	0.0331738	0.03368737	0.01217299	0.05060378	0.03552286	0.002663889	0.02413743	0.1367674	0.02572582	0.05923001	0.008888919	0.02758275	0.0206657	0.1498715	0.04067981	0.06552772	0.007158363	0.06983186	0.2480779	0.03487431	0.05296731	0.007237388	0.03259929	0.01120333	0.07426313	0.1549097	0.04209527	0.1040727	0.09361757	0.06016225	0.06186508	0.03338925	0.07934818	0.1588907	0.01611263	0.136636	0.02378844	0.0373371	0.01078264	0.05753911	0.04465963	0.1050203	0.05870547	0.06758499	0.0427951	0.03781284	0.03612667	0.02455854	0.04165941	0.2441681	0.3045879	0.1829339	0.009876831	0.1368271	0.1568806	0.1313926	0.03923762	0.05314987	0.004327297	0.02379667	0.05772374	0.04640316	0.04221772	0.1214397	0.001474723	0.03458073	0.1357336	0.01489075	0.2178601	0.1179615	0.0569995	0.158072	0.198185	0.173655	0.0778641	0.335225	0.149129	0.343149	0.317334	0.190389	6.394815
10	-18848.34	-18876.01	27.66239	0.03604263	0.05912186	0.02763742	0.05991889	0.03525338	0.0554122	0.2236	0.02977135	0.01087018	0.03793898	0.1127776	0.06875445	0.003585412	0.03473597	0.05078439	0.04029541	0.1361971	0.006864115	0.08544534	0.02282142	0.07298207	0.02239376	0.07899661	0.05605604	0.07647894	0.1551881	0.0657425	0.01932338	0.09052588	0.01711015	0.1116604	0.1124576	0.01377198	0.06993638	0.05851258	0.02666385	0.208198	0.02671771	0.05368371	0.02870225	0.03664372	0.02093622	0.06617701	0.01177396	0.07448064	0.05377657	0.05371665	0.02601092	0.01896386	0.09762953	0.02962391	0.007745328	0.1340829	0.02472945	0.03551859	0.01280659	0.02108238	0.0256915	0.00458061	0.01576959	0.08354872	0.02301522	0.129272	0.009637015	0.04350768	0.009190628	0.04811525	0.008021196	0.05654546	0.01766347	0.0167704	0.02014015	0.01357553	0.04086713	0.02340338	0.02217343	0.04772064	0.1209743	0.1080521	0.003565647	0.01936743	0.1557042	0.0420469	0.0120576	0.009723404	0.004131236	0.01605997	0.01362335	0.006021355	0.0197588	0.1095855	0.002551118	0.06073726	0.08834228	0.004672112	0.06522914	0.02643076	0.123866	0.194796	0.202621	0.183696	0.123059	0.171962	0.31093	0.2838	0.192048	0.213222	4.776472
20	-16027.99	-16067.38	39.38552	0.01975467	0.05813648	0.03128026	0.01592091	0.1042826	0.06490624	0.1885311	0.0194862	0.007872567	0.009175201	0.09313591	0.05010662	0.006563091	0.02206516	0.03416947	0.1403602	0.1348896	0.00382112	0.1028832	0.04025219	0.01447881	0.05086001	0.05002213	0.03558958	0.01577728	0.1745278	0.07413127	0.02592811	0.1034481	0.02023955	0.07015774	0.2255771	0.05821726	0.07045834	0.0543699	0.01602281	0.1408298	0.01465407	0.0561786	0.01949448	0.01088062	0.01127246	0.03721135	0.00415225	0.01466225	0.02125096	0.08015453	0.01165043	0.03231676	0.1607244	0.009345685	0.006190962	0.09831851	0.0336012	0.01709002	0.005759818	0.005837431	0.01011635	0.01157739	0.01286437	0.03097423	0.006196807	0.1178342	0.00916185	0.03546711	0.00443426	0.04513634	0.005719316	0.009174282	0.01032553	0.03089464	0.01316683	0.01039082	0.02680325	0.03291619	0.01492861	0.07867938	0.08702773	0.04743863	0.000761721	0.006949889	0.06138266	0.08107239	0.0097616	0.004397251	0.003260135	0.007869615	0.03964603	0.0019899	0.01820389	0.03838613	0.002003763	0.04945297	0.02753542	0.003327715	0.009846991	0.02772487	0.137232	0.176918	0.179992	0.180886	0.153563	0.171409	0.273337	0.249487	0.247101	0.230075	4.043776
30	-14733.59	-14780.86	47.26148	0.006008363	0.07158613	0.03705181	0.006527173	0.05336125	0.0813521	0.07782959	0.002867585	0.01075525	0.01284404	0.0817931	0.03971214	0.01601973	0.02994891	0.01911007	0.1533013	0.1047049	0.003279213	0.09049771	0.09118317	0.009322862	0.09636964	0.05640671	0.02943531	0.01111292	0.1842028	0.0508108	0.02658687	0.08383353	0.0233548	0.0957156	0.1681942	0.04550578	0.08350837	0.03496313	0.02726085	0.1465716	0.0264907	0.04391947	0.0313917	0.008725348	0.01491964	0.03168374	0.005856126	0.008312078	0.01726461	0.07849873	0.01195216	0.03312342	0.150078	0.005661995	0.004127391	0.01952729	0.01468285	0.0108234	0.01078064	0.005653593	0.008681373	0.01549778	0.00768667	0.01647394	0.002671858	0.1178342	0.001539247	0.02769743	0.005903349	0.03631635	0.003845207	0.007531381	0.008611796	0.01982819	0.01524238	0.005087647	0.01274953	0.02264084	0.007768131	0.1143019	0.01659416	0.01148988	0.0004696554	0.006213811	0.04596738	0.09307737	0.007753357	0.001969226	0.007414588	0.004574682	0.03664989	0.001709173	0.01571508	0.0123787	0.01080295	0.04577687	0.03534328	0.002123193	0.01933993	0.0218942	0.135944	0.175258	0.172386	0.179189	0.167422	0.169801	0.264339	0.242439	0.247806	0.245416	3.551529
40	-13570.32	-13623.42	53.0953	0.008043766	0.07158613	0.03764761	0.007507108	0.06762497	0.02473875	0.03641774	0.005405082	0.009408101	0.006090169	0.0576677	0.03588961	0.03905083	0.02756894	0.0347009	0.1356202	0.03331715	0.003720541	0.08519439	0.09610358	0.01003758	0.08255565	0.05516951	0.03503828	0.009064862	0.2153904	0.03415369	0.01865821	0.05952259	0.01974801	0.07669669	0.1063343	0.04631929	0.06582301	0.06544003	0.03928024	0.1463378	0.01676353	0.03513788	0.02395598	0.004893564	0.007894641	0.04524887	0.005507463	0.01018871	0.01842214	0.05182593	0.004608313	0.02615714	0.1432182	0.001996154	0.004214409	0.01326092	0.03197405	0.003049076	0.008223182	0.00235604	0.00416221	0.01973742	0.01036337	0.01091149	0.003836694	0.1053214	0.001198139	0.02153017	0.002080742	0.03199491	0.002731092	0.01131107	0.01320857	0.02412605	0.00901594	0.00220187	0.00585978	0.02296604	0.006742289	0.103587	0.01158219	0.004406749	0.0002491607	0.01174321	0.02752915	0.131251	0.008003773	0.00128773	0.008876036	0.007370931	0.02252981	0.003041441	0.02981913	0.009127735	0.01272111	0.04407809	0.04393321	0.002220041	0.01500334	0.01148535	0.161265	0.175608	0.174564	0.16111	0.173409	0.154044	0.264339	0.242439	0.247806	0.245416	3.186915
50	-12843.34	-12901.08	57.74101	0.004107813	0.07931931	0.04009525	0.01642943	0.04137442	0.006648889	0.02870323	0.008176093	0.00550991	0.007150035	0.01830261	0.04391085	0.02696704	0.02376594	0.02868982	0.131757	0.01943615	0.001517955	0.08355272	0.06723146	0.01825053	0.06781083	0.01669735	0.02250922	0.008101683	0.1081066	0.05126618	0.00804002	0.06482699	0.02052195	0.07452569	0.04985247	0.05444019	0.06203232	0.05543828	0.03136982	0.1373357	0.01214685	0.05625256	0.02031165	0.003826042	0.0120919	0.06012287	0.01352921	0.005508163	0.01795643	0.06044303	0.002191786	0.03913165	0.1432182	0.003295206	0.00752226	0.009762565	0.03757073	0.006399527	0.01258706	0.00137232	0.003181343	0.007676557	0.003876427	0.009394676	0.01118965	0.09081285	0.002125325	0.007921367	0.0009934986	0.04124752	0.00250563	0.007667971	0.01125155	0.02806968	0.01266909	0.01469951	0.01436222	0.0394651	0.005183368	0.09632667	0.006591163	0.001352833	0.0001395566	0.01124254	0.04276526	0.121013	0.01929941	0.001765173	0.01678565	0.002874458	0.01469525	0.01116026	0.03236856	0.003543161	0.01450414	0.05719773	0.02999204	0.01177413	0.01246748	0.01539463	0.186013	0.161708	0.152809	0.172083	0.162853	0.164535	0.264339	0.242439	0.247806	0.245416	2.896558
60	-11809.87	-11874.17	64.3023	0.007068623	0.07743276	0.03513018	0.01159936	0.05109688	0.003877709	0.03446016	0.01159691	0.008069956	0.01053191	0.007463518	0.04391085	0.02143817	0.02226779	0.02265068	0.1026467	0.01480469	0.0005432625	0.0849104	0.05424437	0.02341719	0.004496089	0.02303785	0.03464981	0.01247488	0.04336454	0.04148965	0.0149364	0.0718161	0.01486896	0.08044782	0.02447407	0.066272	0.07571456	0.03653925	0.03550648	0.1373357	0.003629599	0.03825563	0.01039945	0.007213616	0.003274274	0.04169408	0.00619803	0.003071638	0.03125914	0.049514	0.001453062	0.01676285	0.07754643	0.004922595	0.009651561	0.009658592	0.02660264	0.01533735	0.0157029	0.00341295	0.006657202	0.01565635	0.003488498	0.009152827	0.004978826	0.1038328	0.008713662	0.008453278	0.002025803	0.0278597	0.004732405	0.003757779	0.01672108	0.02972915	0.01127912	0.02274287	0.05723076	0.03424811	0.006009273	0.03359553	0.007728605	0.001164208	0.0001903187	0.008102521	0.02048125	0.1090797	0.01839649	0.003649	0.02313057	0.003847816	0.01000168	0.01199374	0.03225726	0.004878758	0.003413725	0.02324595	0.01736127	0.005633851	0.01370761	0.01520117	0.157095	0.183111	0.154569	0.174065	0.164729	0.166431	0.249166	0.258016	0.248214	0.244604	2.486477
70	-11511.74	-11576.18	64.44791	0.007900282	0.03353767	0.03438296	0.006134105	0.05456016	0.00206666	0.02687648	0.004492003	0.005224909	0.01249742	0.005421757	0.02738569	0.02617035	0.02095693	0.02851677	0.09586724	0.01766604	0.0005280963	0.08762957	0.05183821	0.01250208	0.00366238	0.01227179	0.02033157	0.008065241	0.03762621	0.04662797	0.02180117	0.06105642	0.02286857	0.08044782	0.01077788	0.0656974	0.06488002	0.0402302	0.02851721	0.1546864	0.01045921	0.04417497	0.007358227	0.006230901	0.005567213	0.02462471	0.004350584	0.004467089	0.03329883	0.06074833	0.002446606	0.008780094	0.04804506	0.009476262	0.008157815	0.0137308	0.02712242	0.05342194	0.01499938	0.00914028	0.0374516	0.01410539	0.004856476	0.005209304	0.002833037	0.1005717	0.01576523	0.01378271	0.008425599	0.0342018	0.01033445	0.003348106	0.01576628	0.02265905	0.01136638	0.03778773	0.04990555	0.01556065	0.01100548	0.04808051	0.006759652	0.006484725	0.000219778	0.0166319	0.05978898	0.09778158	0.02356989	0.0109595	0.01206172	0.006320474	0.006972003	0.0154768	0.03225726	0.005820009	0.01178166	0.005623831	0.008142215	0.01249675	0.0181673	0.01873931	0.151307	0.205636	0.148874	0.167651	0.158659	0.167873	0.250929	0.259842	0.242894	0.246335	2.477377
80	-11235.55	-11300.57	65.01504	0.003076114	0.02848441	0.03548499	0.008650181	0.02912816	0.001423005	0.03044701	0.003620589	0.01062333	0.01438228	0.01215043	0.05125172	0.02307391	0.02582513	0.03532861	0.08201229	0.01673299	0.000528357	0.07421086	0.04502344	0.02350216	0.001758292	0.007903191	0.02673561	0.01425772	0.009887112	0.03771817	0.0098627	0.06900973	0.01681229	0.06444275	0.007956628	0.05445272	0.07472987	0.03988856	0.03681265	0.1431543	0.007406647	0.05485793	0.008012924	0.007300268	0.01211479	0.03353271	0.003431442	0.004067346	0.03453806	0.05732793	0.002468777	0.01460532	0.02747182	0.00636617	0.0006806937	0.01390686	0.02892358	0.09288778	0.02422489	0.01327759	0.03911429	0.00600657	0.002531921	0.01373257	0.006043305	0.1266804	0.008409392	0.01930018	0.01195694	0.02102681	0.006389406	0.006284751	0.01932372	0.03708765	0.006256851	0.07269791	0.06511672	0.02080158	0.005634359	0.03649591	0.005192754	0.009833887	0.0005730264	0.009261282	0.05003833	0.09364087	0.0165052	0.007401216	0.01397441	0.007141591	0.005422043	0.006116868	0.00290567	0.005532453	0.007811591	0.009956521	0.006291781	0.008197812	0.01176491	0.01573185	0.159183	0.190656	0.156623	0.15001	0.166917	0.176611	0.250929	0.259842	0.242894	0.246335	2.441931
90	-11174.82	-11241.57	66.75174	0.006459982	0.03202274	0.03369965	0.01675872	0.03749754	0.001168459	0.0212479	0.004013005	0.01062333	0.00798619	0.01495287	0.04144767	0.02118095	0.02545672	0.02753097	0.06512258	0.02168123	0.0008369214	0.07421086	0.03677058	0.01172057	0.0006198361	0.01288851	0.03176164	0.009964808	0.003363224	0.05783321	0.0181018	0.0573448	0.0214889	0.06944734	0.00330527	0.06351572	0.05717633	0.0290122	0.02929973	0.1465036	0.006354288	0.04534386	0.002797625	0.007435665	0.005376948	0.0449312	0.005130811	0.005451635	0.0203222	0.03741212	0.001735789	0.01199448	0.02008633	0.0009431226	0.001029116	0.01684524	0.03385529	0.09587838	0.02963417	0.02404203	0.03303709	0.004796513	0.00118734	0.01262977	0.01168962	0.1051093	0.01153406	0.02162922	0.01084003	0.05108045	0.003553588	0.007596786	0.0115604	0.03188668	0.00916388	0.06888513	0.04854811	0.01450987	0.003443119	0.05000054	0.005330828	0.008257199	0.0007886718	0.008440873	0.05004243	0.05585002	0.01769166	0.008066481	0.009263319	0.01905595	0.001812275	0.01337376	0.007392547	0.002442086	0.00989426	0.01666187	0.009603181	0.005806608	0.01065866	0.01965662	0.155594	0.187003	0.162583	0.165599	0.155995	0.173227	0.250929	0.259842	0.242894	0.246335	2.333387
