Iteration	Posterior	Likelihood	Prior	bl[1]	bl[2]	bl[3]	bl[4]	bl[5]	bl[6]	bl[7]	bl[8]	bl[9]	bl[10]	bl[11]	bl[12]	bl[13]	bl[14]	bl[15]	bl[16]	bl[17]	bl[18]	bl[19]	bl[20]	bl[21]	bl[22]	bl[23]	bl[24]	bl[25]	bl[26]	bl[27]	bl[28]	bl[29]	bl[30]	bl[31]	bl[32]	bl[33]	bl[34]	bl[35]	bl[36]	bl[37]	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	pi[1]	pi[2]	pi[3]	pi[4]	TL
0	-933.9666	-958.5246	24.55804	0.08373141	0.03342376	0.0265327	0.02676908	0.06460384	0.004033343	0.05970736	0.03501397	0.06677882	0.09056665	0.06175179	0.2356229	0.04153666	0.04489485	0.1031614	0.0195954	0.08549734	0.02413932	0.09640259	0.02770237	0.01305435	0.08119842	0.06610237	0.009089413	0.02252623	0.04086031	0.0666595	0.05251618	0.0772068	0.1507642	0.1591939	0.128872	0.07980016	0.05793461	0.01843793	0.0654742	0.03880626	0.325108	0.0334047	0.572777	0.0180249	0.00730208	0.0433828	0.0514013	0.358928	0.0738215	0.515849	2.359962
10	-516.3255	-547.4463	31.12087	0.1494213	0.09909368	0.04010266	0.03687318	0.04217712	0.01435346	0.08554122	0.0720009	0.05084751	0.08307396	0.07136342	0.3572907	0.03382028	0.04737807	0.0487656	0.01311852	0.06053222	0.0165925	0.06305891	0.05214323	0.005945881	0.03477109	0.006112951	0.00926473	0.02817492	0.01367402	0.04482922	0.01449689	0.03380376	0.03590477	0.02188393	0.06358314	0.05777415	0.03084677	0.004428499	0.05527227	0.05147015	0.204383	0.153464	0.205585	0.165609	0.169322	0.101637	0.263053	0.303309	0.323332	0.110305	1.949786
20	-497.0136	-534.3925	37.37886	0.04830349	0.08799582	0.05401736	0.06906031	0.03785279	0.03014109	0.04540658	0.08380392	0.1391144	0.03741163	0.08674216	0.1146607	0.02929975	0.01965386	0.03708521	0.02204623	0.02043519	0.04495292	0.03519882	0.07021416	0.009472533	0.05885582	0.00909957	0.007111562	0.02724186	0.01439514	0.03034106	0.01650697	0.0726858	0.03480352	0.006470374	0.03535284	0.02494227	0.02338685	0.003930827	0.03367657	0.03699066	0.220575	0.164989	0.174866	0.112046	0.139192	0.188333	0.293089	0.337941	0.224276	0.144694	1.558661
30	-444.0558	-483.5075	39.45167	0.03868003	0.1020024	0.0253868	0.04350502	0.01001276	0.01589531	0.05020109	0.04830693	0.03310399	0.09570248	0.07505435	0.2286964	0.008571134	0.01537116	0.0451789	0.006315649	0.01161138	0.07258987	0.0277355	0.09174335	0.007222627	0.03447952	0.01649685	0.004290366	0.01477856	0.01279756	0.03487944	0.02995643	0.08328503	0.03083017	0.009944787	0.02796879	0.0134754	0.01876902	0.004473549	0.03119145	0.008606283	0.161129	0.130491	0.156117	0.167395	0.19269	0.192178	0.22321	0.305348	0.302734	0.168708	1.42911
40	-428.2578	-470.4426	42.18479	0.01422613	0.03488926	0.03503533	0.01409219	0.009346591	0.04705992	0.03308885	0.01563913	0.06243642	0.06579351	0.07269456	0.232095	0.02502141	0.01141779	0.02568041	0.003191903	0.03609449	0.06310104	0.01977353	0.07516292	0.006665943	0.006114313	0.01565259	0.01306967	0.01878003	0.01064746	0.03028916	0.008133882	0.06701861	0.03304693	0.01197058	0.03110101	0.01252697	0.05502057	0.01098933	0.02581694	0.005606012	0.168939	0.230358	0.152934	0.0879749	0.218142	0.141652	0.228968	0.284344	0.295002	0.191686	1.25829
50	-417.1373	-460.6077	43.47045	0.003808963	0.03564049	0.02072023	0.003944229	0.01214321	0.04095259	0.01825602	0.05558125	0.0188354	0.1192424	0.03161324	0.1300723	0.008415725	0.01367472	0.01524695	0.01751943	0.0185352	0.04196711	0.01867928	0.1289342	0.01091455	0.01569034	0.01646812	0.01297961	0.0229652	0.0188386	0.0585625	0.009435912	0.05891103	0.02294321	0.02213592	0.02902725	0.01216327	0.03378129	0.006414736	0.06203104	0.01089099	0.181305	0.179632	0.188362	0.158271	0.170106	0.122324	0.271844	0.281278	0.287445	0.159433	1.177936
60	-406.7394	-452.6619	45.9225	0.009103098	0.0242083	0.007776162	0.004958444	0.01860476	0.05614012	0.02395958	0.03804313	0.01674416	0.1072859	0.01809316	0.125379	0.005960029	0.01320351	0.01175273	0.02355996	0.02676162	0.01891519	0.01686751	0.08843375	0.005615291	0.01983934	0.003670933	0.01611472	0.02883738	0.05611849	0.04245446	0.01844041	0.02193152	0.008382775	0.009703697	0.0434775	0.01830597	0.01994131	0.008212238	0.02360884	0.02427808	0.155579	0.0939972	0.170541	0.135813	0.349659	0.0944112	0.279041	0.282141	0.280005	0.158813	1.024683
70	-406.0517	-452.7042	46.6525	0.003840012	0.0545753	0.01689178	0.004764099	0.009694129	0.03937939	0.02110759	0.03090265	0.0114349	0.1215153	0.01123304	0.09869513	0.00378049	0.008263204	0.04629156	0.01754029	0.01630823	0.01636513	0.01503791	0.09325688	0.008463154	0.01264501	0.002370616	0.006898959	0.02431262	0.04013722	0.0190503	0.01697185	0.02252602	0.005159809	0.00877494	0.0666604	0.01824197	0.01201507	0.01319537	0.02888866	0.03186927	0.190977	0.265653	0.138213	0.106228	0.263156	0.0357732	0.291089	0.261995	0.281246	0.16567	0.9790583
80	-415.9799	-459.9806	44.00079	0.005483574	0.03079562	0.02898563	0.002249102	0.02028226	0.02894768	0.04913583	0.02896544	0.06007133	0.05500733	0.01612929	0.195069	0.002247066	0.03668579	0.06691528	0.01129156	0.02177376	0.02843493	0.01068606	0.1095484	0.01311353	0.01167922	0.01027334	0.004978887	0.0430867	0.02129685	0.01785796	0.02233422	0.03264447	0.01019675	0.02220989	0.0508486	0.01160576	0.01489745	0.008416711	0.00480841	0.03583664	0.225023	0.127175	0.200343	0.177144	0.181524	0.0887905	0.29318	0.339472	0.228971	0.138377	1.14479
90	-417.6316	-462.2741	44.64249	0.008248075	0.04684047	0.06050796	0.002043535	0.01320739	0.01662004	0.06683186	0.03656426	0.0392526	0.07217663	0.01124665	0.08473049	0.04319412	0.0223034	0.02856699	0.01120963	0.0215317	0.03590837	0.02921747	0.08626056	0.02969323	0.01085646	0.008985423	0.006835982	0.02083567	0.03156941	0.02832501	0.01899194	0.0242239	0.00415312	0.02142186	0.04311118	0.03215944	0.02362223	0.007176165	0.00390629	0.05235422	0.136418	0.178513	0.209373	0.189878	0.140869	0.144948	0.250681	0.381814	0.246513	0.120992	1.104684
