Iteration	Posterior	Likelihood	Prior	bl[1]	bl[2]	bl[3]	bl[4]	bl[5]	bl[6]	bl[7]	bl[8]	bl[9]	bl[10]	bl[11]	bl[12]	bl[13]	bl[14]	bl[15]	bl[16]	bl[17]	bl[18]	bl[19]	bl[20]	bl[21]	bl[22]	bl[23]	bl[24]	bl[25]	bl[26]	bl[27]	bl[28]	bl[29]	bl[30]	bl[31]	bl[32]	bl[33]	bl[34]	bl[35]	bl[36]	bl[37]	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	pi[1]	pi[2]	pi[3]	pi[4]	TL
0	-3316.209	-3334.982	18.77327	0.02554813	0.09150388	0.03156465	0.2392326	0.02745552	0.04488039	0.003585163	0.1147675	0.07799085	0.04443973	0.07222927	0.01451161	0.09316098	0.02274434	0.3198071	0.1446284	0.05862182	0.05554161	0.06325157	0.03756761	0.05232578	0.1080988	0.064063	0.01230432	0.006076689	0.06387823	0.1024345	0.06844413	0.0601096	0.1386419	0.009144875	0.1268383	0.1193132	0.09289841	0.02976019	0.03830702	0.0458387	0.109155	0.0258522	0.39226	0.381583	0.0816001	0.00954961	0.18199	0.0151565	0.567485	0.235369	2.72151
10	-2000.78	-1997.325	-3.454375	0.0741911	0.2293488	0.02680848	0.7324925	0.02490464	0.0605762	0.009747616	0.1548348	0.1525586	0.06912205	0.09782687	0.0086018	0.1514258	0.1124289	0.1235691	0.08481605	0.07781472	0.05554161	0.09538209	0.0457721	0.01753058	0.1465839	0.103394	0.01615995	0.01322167	0.07604256	0.1962731	0.02807462	0.657202	0.09158075	0.02208374	0.1260298	0.08256719	0.05443573	0.01903419	0.043751	0.02900932	0.369855	0.0177866	0.105026	0.232356	0.203609	0.0713671	0.278482	0.102493	0.411866	0.207159	4.110738
20	-1701.542	-1677.115	-24.42748	0.1953698	0.3285266	0.008900626	0.7479298	0.04338969	0.01354438	0.02469651	0.1868088	0.3794231	0.04551769	0.05212186	0.007787051	0.09028824	0.03329163	0.08066601	0.1052964	0.04759717	0.03636503	0.1306142	0.1078179	0.041775	0.122621	0.7836232	0.05061351	0.01610143	0.09419341	0.3489845	0.06422219	0.688089	0.2142401	0.03054988	0.04099524	0.09155156	0.03027634	0.02693723	0.04312834	0.0677025	0.282359	0.144505	0.131059	0.177388	0.185139	0.0795501	0.225431	0.138902	0.298211	0.337456	5.421557
30	-1636.326	-1620.877	-15.44918	0.3209185	0.1810697	0.02002409	0.5894944	0.01944965	0.02551433	0.02972471	0.3444604	0.4977089	0.02986277	0.05274333	0.03462102	0.05657338	0.01572588	0.05548929	0.07286968	0.0520749	0.0492048	0.05765295	0.1467651	0.01851497	0.1914627	0.5441737	0.06483068	0.03028736	0.06145606	0.3742913	0.07393901	0.3477361	0.09500348	0.007932002	0.05399846	0.1403866	0.01192344	0.03173495	0.09742282	0.06337191	0.28993	0.151952	0.116692	0.155308	0.159961	0.126158	0.205804	0.205517	0.264001	0.324679	4.860413
40	-1527.437	-1520.441	-6.995357	0.3263283	0.2097893	0.02889596	0.2047423	0.01300496	0.01474754	0.09607138	0.1857899	0.3480956	0.07420684	0.1314235	0.03926914	0.07947898	0.04552376	0.01511981	0.08863639	0.007581426	0.05679078	0.0391853	0.07029081	0.03749074	0.2493462	0.1863363	0.07222129	0.04134212	0.1225906	0.3014217	0.09991463	0.5608271	0.0552297	0.01279636	0.02343376	0.1467246	0.02305856	0.1835006	0.06694729	0.07389585	0.226119	0.144986	0.176166	0.172249	0.118191	0.162289	0.294765	0.22756	0.216959	0.260716	4.332049
50	-1452.741	-1446.722	-6.019408	0.4919994	0.1454984	0.04587498	0.1156822	0.01323432	0.03471424	0.04584219	0.3233937	0.1162269	0.03400181	0.09676427	0.02530373	0.04003547	0.01985667	0.02478933	0.06794031	0.009452905	0.04207381	0.0983447	0.03094075	0.04380193	0.2739268	0.1275693	0.09802332	0.1266447	0.05126509	0.4349252	0.09567819	0.6517888	0.04077036	0.01465544	0.02319788	0.08825205	0.02035048	0.2468222	0.07571602	0.03569485	0.214552	0.198957	0.140305	0.127874	0.117559	0.200755	0.268152	0.271191	0.22348	0.237177	4.271053
60	-1453.016	-1449.507	-3.508844	0.4859945	0.2226209	0.0285747	0.1361514	0.01852277	0.05939046	0.04098657	0.1454616	0.0675129	0.03766989	0.1354432	0.03125457	0.03183102	0.01012872	0.01818327	0.09132555	0.01542059	0.04356239	0.1381606	0.02681632	0.1257184	0.147657	0.2098954	0.03774779	0.08894943	0.05880177	0.3901009	0.06055599	0.710497	0.0299913	0.05020138	0.01060759	0.04255457	0.03548071	0.2006837	0.1020355	0.02765201	0.198491	0.20936	0.134017	0.118302	0.150164	0.189666	0.310097	0.24054	0.22039	0.228973	4.114142
70	-1452.682	-1440.624	-12.05877	0.4831774	0.1670681	0.01554499	0.1358726	0.007017906	0.02253952	0.07363834	0.1837195	0.09097144	0.03148357	0.1576553	0.03865732	0.0475148	0.002768447	0.0489479	0.145943	0.007187846	0.02989526	0.1105267	0.02058067	0.06202655	0.1284476	0.2201398	0.03460939	0.1312706	0.009201558	0.4628714	0.1737761	0.5511129	0.02463908	0.05275693	0.007495475	0.06086627	0.07708014	0.5979552	0.1380998	0.09545365	0.188886	0.164091	0.12745	0.173577	0.142897	0.2031	0.297422	0.230708	0.211381	0.26049	4.648513
80	-1451.603	-1447.414	-4.189255	0.2927846	0.22676	0.01094368	0.1592853	0.01133267	0.01570997	0.09502718	0.267939	0.1613143	0.08940034	0.1279763	0.06356724	0.07140496	0.001143727	0.07489873	0.1022157	0.002897205	0.0276806	0.1122285	0.01781387	0.07886519	0.1915291	0.2006429	0.01075919	0.1284318	0.005146146	0.3932846	0.1286781	0.3607239	0.02122676	0.04611741	0.003176738	0.1144016	0.07245906	0.3036226	0.1163228	0.04895633	0.211235	0.186302	0.144701	0.197071	0.10402	0.156672	0.250559	0.246096	0.22548	0.277865	4.156668
90	-1443.598	-1445.888	2.290392	0.3397344	0.1612696	0.01296511	0.1197509	0.01303424	0.01725354	0.05565606	0.1932057	0.186575	0.02431182	0.1462751	0.0357924	0.0864944	0.002054421	0.03646088	0.07184909	0.00895132	0.07558432	0.0869964	0.02967834	0.05982355	0.1373735	0.2502289	0.01372318	0.1458079	0.005203409	0.3082059	0.118186	0.4710763	0.02494751	0.03348921	0.006469905	0.108778	0.05056392	0.2561108	0.05003398	0.007775408	0.180198	0.196147	0.151124	0.187313	0.147898	0.13732	0.257905	0.253312	0.202771	0.286012	3.75169
100	-1438.067	-1433.524	-4.543188	0.3698618	0.1865263	0.00807754	0.1625655	0.01253737	0.0199672	0.02908256	0.2454705	0.09645347	0.02597983	0.1170997	0.03604908	0.09595836	0.0009733942	0.1084092	0.1326728	0.003305324	0.07741498	0.03010709	0.01101892	0.1157937	0.2921974	0.2185822	0.03041842	0.1058104	0.004251055	0.4449198	0.1045203	0.3062378	0.02365782	0.1154404	0.006847939	0.05370337	0.04722218	0.3765417	0.1514952	0.01161833	0.160513	0.220954	0.16595	0.209129	0.103983	0.139471	0.24583	0.250746	0.230803	0.272621	4.178789
110	-1427.259	-1431.378	4.119193	0.3951638	0.1709249	0.01291651	0.07860434	0.04308865	0.01369292	0.06244893	0.1597676	0.07702075	0.03972884	0.1359761	0.02570821	0.04666324	0.0008934436	0.1045965	0.1458872	0.008154604	0.0666931	0.04718904	0.00794907	0.0554342	0.2402455	0.187543	0.04260706	0.07549945	0.004198395	0.1775766	0.1021426	0.198181	0.09528688	0.2685795	0.00785603	0.1158105	0.04253146	0.3046845	0.06886477	0.007280897	0.150164	0.226872	0.155251	0.195646	0.102288	0.169778	0.30334	0.249651	0.183892	0.263117	3.63739
120	-1443.803	-1437.194	-6.608779	0.3670925	0.2833673	0.02808534	0.1355338	0.02479712	0.01595436	0.09373291	0.1759647	0.1300919	0.01832588	0.08659262	0.02459087	0.06286527	0.0001897744	0.07062693	0.07114236	0.02804225	0.05667086	0.08750566	0.01111186	0.1235859	0.4388732	0.2157268	0.04478698	0.05922593	0.009042809	0.1255589	0.0994407	0.1550947	0.07569854	0.3313964	0.003813732	0.185836	0.09134263	0.4188393	0.1419687	0.01537295	0.226312	0.238978	0.153149	0.167367	0.100903	0.11329	0.331669	0.231169	0.200856	0.236305	4.307888
130	-1434.62	-1436.55	1.92931	0.3153765	0.2168052	0.02632799	0.1435326	0.0207938	0.01717833	0.06579757	0.206226	0.09317011	0.01688098	0.05463923	0.01287492	0.02605056	0.0004953093	0.09112688	0.08666565	0.02532439	0.1515961	0.1216371	0.00471372	0.1047581	0.2121439	0.09616898	0.05212769	0.0680079	0.004032658	0.125739	0.1550265	0.3370228	0.06325041	0.2684182	0.002456095	0.07864554	0.04896377	0.3366441	0.07470593	0.04893316	0.13922	0.147012	0.158478	0.197822	0.197712	0.159757	0.286624	0.268477	0.233271	0.211628	3.774258
140	-1426.629	-1429.889	3.259492	0.2979639	0.2064714	0.01453561	0.1817688	0.006509904	0.01681268	0.05518618	0.2086821	0.147998	0.02339254	0.04868036	0.03025768	0.07384687	0.0008647247	0.06267028	0.0816015	0.01974861	0.07693665	0.1127489	0.007786715	0.1049739	0.2685937	0.1560319	0.04634425	0.08521595	0.01681571	0.08485771	0.1719916	0.2333071	0.03441392	0.3104313	0.001047286	0.07009095	0.05813792	0.1981327	0.06554557	0.1107265	0.185475	0.163606	0.176366	0.168213	0.128551	0.177789	0.303015	0.262308	0.227911	0.206766	3.691121
150	-1424.728	-1427.132	2.403609	0.3627533	0.2366146	0.007815478	0.08611425	0.001843412	0.008652631	0.05370397	0.2055991	0.09865887	0.03809987	0.115577	0.08487138	0.05384842	0.004593538	0.08232698	0.1207443	0.04521733	0.1026251	0.04970534	0.004174114	0.1329403	0.2267627	0.1752556	0.06985991	0.09105914	0.01610949	0.038673	0.08439521	0.179458	0.04773787	0.4293827	0.002278693	0.04153854	0.07376147	0.2069833	0.126246	0.038633	0.151744	0.183225	0.17929	0.132689	0.185538	0.167514	0.266238	0.285578	0.266513	0.181671	3.744614
160	-1421.532	-1421.675	0.1429666	0.2013037	0.2093806	0.03043278	0.1402528	0.00736509	0.008674164	0.05550865	0.330932	0.1022036	0.0660372	0.1488738	0.02777338	0.03163686	0.006055722	0.0600966	0.0796482	0.03664647	0.04720561	0.09290404	0.005418912	0.09563625	0.2420139	0.2217254	0.02167759	0.05684326	0.02340961	0.05773705	0.1718234	0.2233666	0.04467677	0.4431753	0.005423335	0.08902656	0.04569843	0.3337219	0.07546228	0.04613627	0.1639	0.142819	0.208284	0.104712	0.199352	0.180933	0.294969	0.265416	0.247698	0.191917	3.885904
170	-1425.855	-1423.701	-2.154523	0.348426	0.2455595	0.04226429	0.145966	0.009173326	0.001667083	0.09940442	0.1770208	0.09372639	0.0468081	0.1042364	0.04356694	0.02701484	0.02056003	0.07400718	0.1136931	0.03991656	0.03321589	0.1289406	0.02063896	0.08455592	0.2737683	0.2758983	0.02686565	0.06634953	0.06833596	0.06747064	0.06655029	0.3062636	0.00681417	0.3549912	0.03595447	0.04982527	0.03739383	0.3538947	0.09105172	0.04770746	0.231964	0.121209	0.176769	0.159928	0.156573	0.153557	0.28774	0.258912	0.248465	0.204882	4.029497
180	-1427.02	-1430.131	3.111371	0.3033318	0.1237823	0.01880453	0.1851593	0.02156361	0.002158482	0.05631987	0.2249245	0.07761783	0.01815543	0.07358634	0.01345131	0.01686922	0.02439461	0.08857789	0.09089379	0.01697535	0.03876829	0.1038568	0.02946401	0.1277305	0.2574518	0.2523112	0.01268311	0.1247582	0.109863	0.05111	0.08678538	0.1766851	0.01638741	0.3244896	0.03180517	0.03275073	0.07852957	0.3207433	0.1326833	0.03495638	0.14922	0.149104	0.214812	0.126435	0.176308	0.184121	0.282514	0.254209	0.262117	0.20116	3.700379
190	-1438.409	-1438.602	0.1932488	0.3036689	0.1390077	0.02195813	0.1660471	0.04726681	0.0004253205	0.08637448	0.3800829	0.117638	0.0258292	0.08522524	0.01741493	0.04549532	0.0287003	0.1136511	0.05777567	0.02030456	0.04926098	0.15566	0.05945964	0.08669743	0.2205287	0.2220426	0.01196073	0.08117514	0.128629	0.034279	0.141192	0.220607	0.01143125	0.3214041	0.090333	0.02129159	0.05711017	0.1781687	0.04387039	0.09079456	0.164366	0.124011	0.218109	0.148031	0.158537	0.186946	0.270475	0.268369	0.276717	0.184439	3.882762
200	-1433.461	-1435.644	2.183224	0.3409018	0.1311143	0.01799848	0.1628091	0.01954757	0.001476758	0.0475519	0.1529011	0.07941508	0.05903119	0.08018268	0.02763479	0.03029845	0.01285188	0.08794528	0.06244955	0.02378053	0.09851692	0.05333715	0.01497162	0.08385827	0.1593232	0.2153891	0.01487127	0.1232567	0.04641946	0.07693074	0.05011359	0.1645963	0.01727974	0.4560171	0.05736086	0.05573515	0.0561334	0.5002283	0.1599475	0.01621133	0.208162	0.168329	0.223656	0.105653	0.141852	0.152347	0.282431	0.280233	0.253972	0.183364	3.758388
210	-1430.258	-1428.364	-1.893964	0.3222368	0.1616368	0.02359915	0.1038303	0.02042787	0.001557676	0.1122592	0.2422934	0.07590016	0.05352644	0.06366284	0.03542739	0.0304487	0.008805041	0.04326125	0.09857727	0.04549279	0.0634791	0.1585325	0.04114162	0.05270045	0.2977922	0.1896197	0.07557617	0.09191912	0.03313139	0.03419006	0.01946965	0.3851958	0.04089647	0.4827854	0.0949685	0.07088316	0.07963212	0.2770215	0.06169314	0.01964125	0.22344	0.151904	0.175848	0.107541	0.17774	0.163528	0.237881	0.266279	0.273501	0.222339	4.013212
220	-1426.842	-1430.32	3.477751	0.3539259	0.2164061	0.0759771	0.09753872	0.01283769	0.0009770191	0.05409458	0.235595	0.1173041	0.04075604	0.1070376	0.01281273	0.1137655	0.008851618	0.02962473	0.0860298	0.05460437	0.05588628	0.06886755	0.005334363	0.09323376	0.2857811	0.1338399	0.02454653	0.06126142	0.02932376	0.06492758	0.01573257	0.2821206	0.02475187	0.2554649	0.1261823	0.1186816	0.07408068	0.2879384	0.04262001	0.008766469	0.14261	0.147747	0.19761	0.136439	0.19183	0.183765	0.250507	0.261868	0.26897	0.218655	3.67748
230	-1419.961	-1419.304	-0.6569481	0.3793792	0.210586	0.0128941	0.1503551	0.01430744	0.0013656	0.07087447	0.1678834	0.1653394	0.07013869	0.1186486	0.01698633	0.02430269	0.008155727	0.05645304	0.08913723	0.02068101	0.0662703	0.1349735	0.0100141	0.1381841	0.2300147	0.2550452	0.01444974	0.07164204	0.005112473	0.04175518	0.01293751	0.4163878	0.03561255	0.2847648	0.1174799	0.06286479	0.05871579	0.3015751	0.08158086	0.01903044	0.172979	0.18249	0.179534	0.135622	0.111389	0.217986	0.263811	0.269412	0.23651	0.230267	3.935899
240	-1416.435	-1422.182	5.746988	0.332695	0.1855415	0.008782406	0.1173779	0.02336302	0.001973989	0.08672242	0.1863633	0.1135031	0.03916885	0.1070272	0.01974585	0.03031725	0.006480599	0.08936828	0.08601171	0.02283115	0.065578	0.06610444	0.008290371	0.1315869	0.3010277	0.2079632	0.02294914	0.05992879	0.006426038	0.02406588	0.009816185	0.2809677	0.03135526	0.2681683	0.1532312	0.05831186	0.05293442	0.2042257	0.1148972	0.010551	0.175248	0.184884	0.172254	0.118434	0.128334	0.220846	0.269394	0.295121	0.241364	0.194122	3.535653
250	-1428.033	-1424.013	-4.020003	0.2418521	0.1685544	0.0143978	0.106899	0.01327138	0.002918961	0.08533332	0.19754	0.1163455	0.02619973	0.3031399	0.02441811	0.06367827	0.01652853	0.1346761	0.06158665	0.0172345	0.04963089	0.07181873	0.007818192	0.0990982	0.2888615	0.1837981	0.07008742	0.09384707	0.02351776	0.02714684	0.01028702	0.3507292	0.023646	0.4285169	0.1345256	0.06391204	0.07224013	0.3778328	0.1569326	0.01726861	0.199173	0.153301	0.218529	0.134602	0.145854	0.148542	0.249218	0.273019	0.243951	0.233813	4.14609
260	-1428.349	-1429.316	0.9661882	0.3613831	0.1999566	0.005809431	0.1903681	0.02036502	0.002491168	0.02557366	0.2127396	0.1377348	0.03777171	0.1219284	0.04022716	0.105476	0.01851469	0.06420097	0.06254466	0.0202533	0.04073095	0.03711631	0.007439262	0.04412793	0.1720976	0.2267259	0.05068787	0.1262776	0.01586597	0.05024866	0.02235635	0.2525392	0.04496475	0.3312098	0.08823154	0.064139	0.08298855	0.3616408	0.1659288	0.02179762	0.166759	0.178438	0.182966	0.112697	0.206468	0.152673	0.316534	0.249762	0.239981	0.193722	3.834453
270	-1438.262	-1441.756	3.494671	0.2466307	0.1653669	0.01458657	0.08336725	0.02472115	0.005193494	0.02454622	0.1403316	0.08638692	0.07581759	0.08693527	0.01683094	0.1087835	0.02637841	0.1550881	0.148267	0.04677714	0.04978897	0.03694975	0.01894233	0.04906843	0.2158375	0.1452592	0.08358618	0.06765388	0.01378982	0.08821517	0.02235635	0.2392934	0.06014312	0.3595802	0.1241738	0.05811104	0.06314826	0.2894209	0.2165708	0.01852482	0.154413	0.177477	0.194043	0.167996	0.143248	0.162823	0.320126	0.268744	0.202684	0.208446	3.676423
280	-1425.121	-1431.796	6.674064	0.2465704	0.1745722	0.008624514	0.1356282	0.01125398	0.006879732	0.03277033	0.2717542	0.06873952	0.05880891	0.1009824	0.01478485	0.09754992	0.03797456	0.06450932	0.1057894	0.01288414	0.03614871	0.04946892	0.01991908	0.07598329	0.2527904	0.2157605	0.07617554	0.07805206	0.02308154	0.06182534	0.008775296	0.2392934	0.03110138	0.3409661	0.1120914	0.05170889	0.03223728	0.2074646	0.08464586	0.03014457	0.171164	0.149988	0.124334	0.16269	0.144977	0.246847	0.323435	0.271522	0.194442	0.2106	3.477711
290	-1431.066	-1430.147	-0.9184434	0.2241601	0.256243	0.02333984	0.1356126	0.02348575	0.001885783	0.05785904	0.1598524	0.07567225	0.06092458	0.1605518	0.01861776	0.06820736	0.03723559	0.09060407	0.08917352	0.01785919	0.01965394	0.157167	0.01722309	0.08097375	0.3054589	0.1590064	0.04288873	0.08550526	0.07147445	0.09014433	0.02971813	0.3106793	0.02333904	0.3336727	0.1180218	0.0399603	0.05558494	0.3164445	0.1238428	0.07019816	0.188605	0.202566	0.178452	0.160431	0.134382	0.135563	0.313909	0.265528	0.222068	0.198495	3.952242
300	-1440.559	-1439.294	-1.265449	0.1984131	0.3053752	0.03666599	0.1461911	0.01332271	0.003121956	0.1193382	0.2666304	0.04565596	0.02675962	0.1463777	0.0484984	0.05428801	0.01570221	0.05260313	0.08047311	0.01273274	0.1478296	0.07778872	0.03379296	0.1063818	0.2817692	0.1700275	0.02390067	0.1651301	0.07075154	0.08945294	0.02090339	0.2219802	0.0429248	0.3043214	0.1259725	0.06746567	0.07451372	0.2672232	0.07133565	0.03831504	0.129545	0.187498	0.188643	0.169593	0.184274	0.140446	0.299736	0.253539	0.229442	0.217282	3.97393
310	-1424.795	-1424.823	0.02863312	0.2904178	0.187159	0.0256621	0.1026434	0.02676571	0.001707672	0.08495148	0.2646587	0.152688	0.01526003	0.1161575	0.03378341	0.07500544	0.02806087	0.06050356	0.07941478	0.01456195	0.01730467	0.1132512	0.01411051	0.07681985	0.3151658	0.215204	0.05344576	0.1217488	0.01651161	0.07310441	0.04071905	0.2080406	0.005052291	0.3000674	0.1176915	0.06282591	0.06607333	0.3777948	0.1063316	0.03238546	0.153793	0.155914	0.156866	0.171213	0.167556	0.194658	0.299736	0.253539	0.229442	0.217282	3.89305
