Iteration	Posterior	Likelihood	Prior	bl[1]	bl[2]	bl[3]	bl[4]	bl[5]	bl[6]	bl[7]	bl[8]	bl[9]	bl[10]	bl[11]	bl[12]	bl[13]	bl[14]	bl[15]	bl[16]	bl[17]	bl[18]	bl[19]	bl[20]	bl[21]	bl[22]	bl[23]	bl[24]	bl[25]	bl[26]	bl[27]	bl[28]	bl[29]	bl[30]	bl[31]	bl[32]	bl[33]	bl[34]	bl[35]	bl[36]	bl[37]	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	pi[1]	pi[2]	pi[3]	pi[4]	TL
0	-1049.643	-1074.523	24.87967	0.05534408	0.001612663	0.1151275	0.06905532	0.02090848	0.005470934	0.07400498	0.1507347	0.01253842	0.08274855	0.05481537	0.0004170051	0.237003	0.1432021	0.04248288	0.03887266	0.04347977	0.01547079	0.04144337	0.02160757	0.0308697	0.03531732	0.03439735	0.02030118	0.1385741	0.2051532	0.01529386	0.07545453	0.06397665	0.06922437	0.08505749	0.01372723	0.09131992	0.1580007	0.03858153	0.02761901	0.01065205	0.122741	0.0824739	0.0858795	0.179371	0.256046	0.273488	0.383065	0.323348	0.250439	0.0431481	2.33986
10	-806.4921	-840.3367	33.84462	0.06757403	0.002975703	0.08435177	0.04493621	0.0553484	0.01540816	0.08998184	0.06341955	0.0118796	0.1104098	0.122078	0.0002911734	0.1376111	0.08019404	0.03563682	0.06039231	0.0155508	0.0115911	0.08238984	0.006690455	0.006485686	0.06376057	0.01949376	0.00955343	0.05489227	0.0183613	0.0752766	0.01427378	0.04099738	0.02638302	0.03697138	0.01717051	0.1147248	0.09143825	0.05651761	0.02480007	0.00974002	0.182817	0.106069	0.139218	0.196722	0.199393	0.175781	0.460411	0.258527	0.195717	0.085345	1.779551
20	-626.4991	-663.0829	36.58381	0.1158147	0.001317164	0.0358753	0.0211986	0.03278579	0.06530835	0.09450409	0.1184527	0.02132643	0.04307533	0.09955208	0.0002155407	0.05792841	0.03622817	0.0763613	0.08371047	0.04055771	0.02088608	0.08139455	0.007625923	0.01061651	0.04510435	0.008984669	0.03197954	0.01931197	0.02115292	0.04713843	0.01603267	0.04266518	0.0392874	0.01551414	0.01365508	0.08803424	0.03908222	0.05862251	0.03715282	0.01989846	0.109873	0.157172	0.155752	0.219749	0.250184	0.107269	0.278503	0.271344	0.190952	0.259201	1.608352
30	-561.832	-602.5474	40.71539	0.1291874	0.0008288688	0.03172768	0.0436336	0.07191299	0.01719561	0.03274597	0.02058714	0.01002917	0.02899814	0.07620504	0.0001704874	0.05753917	0.03713643	0.06445101	0.05318366	0.02455272	0.01176147	0.03282167	0.009691446	0.0265461	0.03764725	0.004970497	0.04018895	0.02542688	0.1063318	0.01800309	0.01392212	0.0336421	0.09294262	0.01998353	0.01671891	0.03422363	0.009329306	0.0215898	0.03044065	0.06386106	0.182604	0.206427	0.119068	0.1101	0.266708	0.115095	0.289993	0.241282	0.19883	0.269895	1.350128
40	-514.0429	-555.8272	41.78427	0.07003323	0.001642936	0.02698717	0.04671719	0.03395966	0.0379416	0.008073535	0.04418775	0.01742109	0.01949392	0.01410575	0.0004649845	0.05837855	0.02753901	0.07471001	0.01070637	0.04638162	0.02108342	0.0449558	0.01637347	0.02759117	0.07686267	0.002066698	0.04399882	0.02743198	0.1062476	0.02459103	0.01687355	0.01334687	0.03632729	0.02444096	0.02631471	0.06505581	0.01733208	0.05196671	0.06204181	0.03967597	0.1527	0.0629792	0.113355	0.257088	0.304305	0.109573	0.265379	0.247338	0.206702	0.280581	1.283323
50	-507.116	-550.5836	43.46761	0.07469721	0.001627266	0.01471332	0.07434448	0.02964279	0.02600135	0.005252488	0.02428367	0.006931547	0.009436546	0.0085163	0.001414414	0.02803741	0.006561447	0.07199641	0.003082996	0.04509244	0.02998061	0.04586897	0.02095668	0.02638236	0.05819085	0.005159329	0.1355431	0.02278574	0.06938602	0.02370624	0.02574634	0.003575188	0.01197696	0.005798547	0.007588654	0.0657496	0.01356895	0.05585205	0.06715098	0.05151473	0.104952	0.110695	0.171629	0.212996	0.19388	0.205848	0.298233	0.262051	0.169859	0.269857	1.178114
60	-490.7466	-537.5328	46.78623	0.01808727	0.001829614	0.01758513	0.03476696	0.02282897	0.01959746	0.004171393	0.01527056	0.00934031	0.01975373	0.03059947	0.001818968	0.02962602	0.005370721	0.07214481	0.004435975	0.02632364	0.01927665	0.01524925	0.03577486	0.09595721	0.04090552	0.006058826	0.1336978	0.03638729	0.0871966	0.02744443	0.02124647	0.003367756	0.003960061	0.002559405	0.006390216	0.04564459	0.007633891	0.005005672	0.02076133	0.02263138	0.216744	0.159176	0.153727	0.213875	0.173657	0.0828212	0.262882	0.267504	0.187049	0.282564	0.9707002
70	-496.8104	-541.7742	44.96388	0.01599456	0.002608954	0.03572769	0.07771757	0.04548463	0.02391949	0.007069278	0.008785517	0.006305389	0.03076366	0.01381464	0.002239462	0.02213739	0.002036668	0.03033224	0.003975049	0.016086	0.006261988	0.06291853	0.0468078	0.06493059	0.05926616	0.003511999	0.09897146	0.03971851	0.1104701	0.05012023	0.04595334	0.003107515	0.002793965	0.002527711	0.008697677	0.03982507	0.01222999	0.008384033	0.05626281	0.01683947	0.070253	0.202312	0.12373	0.183844	0.187718	0.232143	0.246291	0.270405	0.205188	0.278116	1.084597
80	-495.9135	-542.0493	46.13588	0.01252067	0.003920409	0.0460854	0.03818053	0.03136454	0.0203651	0.003349813	0.02795531	0.02082438	0.02507746	0.01719809	0.006395236	0.01244188	0.00174967	0.02373058	0.004893374	0.03179089	0.007450266	0.07496611	0.04457216	0.02118967	0.07241587	0.007501095	0.05907061	0.03511065	0.107199	0.01665947	0.02207386	0.002562232	0.002122558	0.003236889	0.003900757	0.081278	0.02126097	0.005120941	0.04643424	0.04937827	0.0761859	0.194293	0.238656	0.11687	0.181364	0.19263	0.271184	0.274794	0.171392	0.28263	1.011347
90	-498.8575	-542.8998	44.04233	0.005283909	0.005042739	0.03425751	0.0270397	0.02014206	0.06065175	0.004477818	0.02644547	0.01327674	0.03513398	0.02051052	0.03726854	0.009519343	0.004505326	0.1107346	0.004206282	0.04608495	0.00508765	0.08140612	0.03893471	0.02146139	0.04258641	0.00384439	0.06906951	0.03659168	0.08882103	0.01536818	0.01771333	0.004998837	0.001198257	0.003066516	0.007327253	0.1027242	0.04179122	0.004694765	0.03548354	0.05544366	0.153414	0.155034	0.23511	0.143713	0.214627	0.0981022	0.216067	0.251369	0.222647	0.309917	1.142194
