Iteration	Posterior	Likelihood	Prior	alpha	bl[1]	bl[2]	bl[3]	bl[4]	bl[5]	bl[6]	bl[7]	bl[8]	bl[9]	bl[10]	bl[11]	bl[12]	bl[13]	bl[14]	bl[15]	bl[16]	bl[17]	bl[18]	bl[19]	bl[20]	bl[21]	bl[22]	bl[23]	bl[24]	bl[25]	bl[26]	bl[27]	bl[28]	bl[29]	bl[30]	bl[31]	bl[32]	bl[33]	bl[34]	bl[35]	bl[36]	bl[37]	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	p_inv	pi[1]	pi[2]	pi[3]	pi[4]	sr[1]	sr[2]	sr[3]	sr[4]	TL
0	-1061.355	-1091.347	29.9912	0.4934224	0.01397009	0.09624957	0.1217582	0.06279032	0.004535484	0.0321226	0.02087613	0.08220495	0.05577047	0.01739819	0.2595551	0.04322469	0.01730322	0.01105078	0.01185592	0.1311963	0.01059786	0.05399501	0.04914895	0.002632198	0.0109419	0.07072933	0.009903418	0.03048809	0.05324882	0.03244711	0.01752249	0.04163281	0.02063069	0.03867377	0.0917605	0.08177428	0.01149255	0.07312761	0.07559695	0.01587985	0.1023921	0.173087	0.15848	0.0212462	0.533084	0.0493798	0.0647229	0.5186961	0.0242313	0.276303	0.219461	0.480005	0.0321752	0.2476	0.815423	2.9048	1.876478
10	-736.9545	-768.965	32.01051	0.4609354	0.03007302	0.0928664	0.0296666	0.05391198	0.008591447	0.02440182	0.03919426	0.08973234	0.06349243	0.0357173	0.1082596	0.09369918	0.04589756	0.02837471	0.02974641	0.04261421	0.0248278	0.07755068	0.04560666	0.00386604	0.02363641	0.0472467	0.008642908	0.02385695	0.159268	0.0676896	0.0176351	0.01557508	0.02327625	0.03781761	0.02642165	0.03947452	0.002640601	0.08716989	0.115998	0.008223436	0.07760831	0.165571	0.163727	0.121304	0.232544	0.150467	0.166386	0.114024	0.311811	0.218987	0.187268	0.281934	0.0263965	0.22565	0.789622	2.95833	1.750271
20	-638.6104	-669.9096	31.29924	0.7205552	0.03107503	0.04145878	0.03646521	0.09816907	0.02913532	0.009022405	0.01097423	0.02755227	0.04416161	0.07904973	0.02630696	0.05793337	0.0471709	0.06811586	0.08884695	0.03237272	0.05003404	0.03328589	0.1011986	0.00872669	0.05386664	0.05488772	0.008452727	0.04714456	0.08303539	0.09734804	0.01999514	0.01470698	0.02968506	0.1668996	0.0508856	0.01933609	0.00183068	0.03619047	0.129461	0.01780178	0.04214216	0.224754	0.283792	0.183654	0.115006	0.125235	0.0675585	0.1221317	0.219193	0.252431	0.203385	0.324991	0.0785832	0.373069	0.932254	2.61609	1.794725
30	-572.6326	-606.5814	33.94872	0.9336205	0.04591701	0.02133667	0.06029289	0.06908664	0.03688755	0.010352	0.008402846	0.01547075	0.02942679	0.03420929	0.004844932	0.01810369	0.01944613	0.02954466	0.06099243	0.0457511	0.02702008	0.01414671	0.07435585	0.03718434	0.03862149	0.01880878	0.009504225	0.09801163	0.03264604	0.1351125	0.01472555	0.03621127	0.03371234	0.0915689	0.02373723	0.02566108	0.0006122814	0.01304425	0.1447165	0.2079429	0.04172369	0.168064	0.269681	0.196094	0.174786	0.146198	0.0451775	0.277877	0.219141	0.252371	0.203574	0.324914	0.123526	0.455848	0.988067	2.43256	1.629133
40	-552.9783	-586.6613	33.68304	0.8140783	0.04615132	0.04016645	0.03796806	0.118233	0.05397702	0.02385958	0.005960412	0.005575547	0.009388695	0.03852884	0.03477681	0.01827196	0.06259346	0.01371039	0.1045167	0.02575295	0.02607429	0.02026783	0.09641196	0.0321858	0.05220475	0.01987023	0.004310866	0.07061701	0.05275891	0.191007	0.007037984	0.01357227	0.01769514	0.1562652	0.01636325	0.02962982	0.008544602	0.009579519	0.08797001	0.06701129	0.02692885	0.14685	0.0824266	0.192682	0.30464	0.226222	0.0471785	0.05584446	0.25079	0.224386	0.232975	0.291849	0.0985508	0.412741	0.960781	2.52793	1.645738
50	-558.4669	-589.5548	31.08788	0.4605958	0.08527403	0.03411384	0.03197481	0.1015309	0.08087365	0.04453867	0.03461116	0.005122813	0.001200472	0.1040564	0.01260424	0.008260979	0.03429161	0.03487451	0.09556603	0.0114548	0.02878255	0.04312592	0.04526996	0.02120351	0.06747909	0.03981326	0.007670335	0.1603098	0.0229563	0.04250726	0.01106251	0.02745629	0.008387845	0.1771383	0.02732312	0.0264468	0.01851309	0.009808311	0.1257061	0.1126048	0.06402154	0.223531	0.185681	0.203471	0.156559	0.173035	0.057723	0.1028991	0.252517	0.22327	0.233814	0.290398	0.0263381	0.225415	0.789335	2.95891	1.807936
60	-554.955	-588.0094	33.05445	1.080472	0.0315834	0.08745516	0.01794652	0.08866285	0.06978116	0.04401008	0.03426404	0.005610109	0.001803055	0.1283878	0.03112845	0.00764471	0.1505511	0.006007824	0.03724194	0.01092257	0.01698673	0.01399835	0.0533389	0.07311274	0.03606687	0.01774703	0.004805405	0.0658098	0.03316926	0.06682826	0.03002204	0.017805	0.01574595	0.1443804	0.008434408	0.03682846	0.01389443	0.00369031	0.142089	0.1257995	0.01147146	0.174307	0.133076	0.184121	0.262335	0.173756	0.0724048	0.2570182	0.255586	0.23726	0.182604	0.324551	0.152725	0.499671	1.01215	2.33545	1.685025
70	-549.6776	-585.1824	35.50473	1.692039	0.02087444	0.07036156	0.02720869	0.03350185	0.0299405	0.01539482	0.01564851	0.01459849	0.003884902	0.1267336	0.008881057	0.02809527	0.09218416	0.009597239	0.07031139	0.007301813	0.04965344	0.007522554	0.05532005	0.04087841	0.03493517	0.01530054	0.009236856	0.04841965	0.03675091	0.06785999	0.06077675	0.03049019	0.05190663	0.2095267	0.009425778	0.007698423	0.01207323	0.003429787	0.07325542	0.1053308	0.02757262	0.142675	0.119736	0.245938	0.278788	0.130967	0.0818955	0.1877286	0.296171	0.232607	0.2116	0.259622	0.253523	0.617685	1.05996	2.06883	1.531882
80	-551.7532	-584.6582	32.90502	0.5154086	0.0599968	0.03702318	0.06284953	0.1192552	0.0919418	0.033045	0.01756918	0.01038302	0.00320443	0.1007804	0.01376293	0.02770043	0.1086862	0.01214629	0.07018362	0.01247886	0.04235088	0.001752818	0.05164105	0.06696385	0.05097276	0.00909537	0.01992513	0.02301679	0.04214152	0.02905575	0.06802292	0.02046683	0.03538293	0.1304969	0.02661507	0.003201662	0.03029274	0.001137451	0.06956239	0.1619198	0.02934291	0.147767	0.0533132	0.2298	0.270221	0.2349	0.063999	0.304974	0.290729	0.207741	0.222916	0.278615	0.036278	0.261856	0.831164	2.8707	1.694364
90	-538.7714	-575.565	36.79364	0.8444863	0.05382899	0.01510871	0.02612915	0.1108863	0.06400203	0.06036952	0.008941491	0.02926523	0.001888962	0.04796901	0.002419415	0.01883971	0.0339382	0.01351876	0.04631661	0.01141916	0.02496144	0.00095278	0.02903732	0.1005144	0.07797055	0.0069469	0.03210982	0.09459177	0.02701891	0.03304109	0.02289252	0.02461545	0.007619685	0.07820227	0.01617748	0.00287906	0.05192123	0.002122426	0.0768178	0.1451371	0.05095419	0.186158	0.10765	0.216875	0.246907	0.157376	0.0850343	0.04897141	0.262378	0.250772	0.235405	0.251445	0.104984	0.424446	0.968558	2.50201	1.451325
