Iteration	Posterior	Likelihood	Prior	bl[1]	bl[2]	bl[3]	bl[4]	bl[5]	bl[6]	bl[7]	bl[8]	bl[9]	bl[10]	bl[11]	bl[12]	bl[13]	bl[14]	bl[15]	bl[16]	bl[17]	bl[18]	bl[19]	bl[20]	bl[21]	bl[22]	bl[23]	bl[24]	bl[25]	bl[26]	bl[27]	bl[28]	bl[29]	bl[30]	bl[31]	bl[32]	bl[33]	bl[34]	bl[35]	bl[36]	bl[37]	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	pi[1]	pi[2]	pi[3]	pi[4]	TL
0	-3046.694	-3068.404	21.71001	0.03433712	0.001402717	0.002010292	0.043769	0.3110828	0.1106681	0.03346258	0.1515361	0.1176214	0.09174407	0.02400462	0.02124579	0.1762583	0.008629072	0.01279225	0.05316873	0.002946896	0.04834529	0.07298452	0.006571095	0.05717681	0.03031075	0.1953978	0.1573642	0.03569823	0.01119978	0.07309202	0.004608536	0.3881074	0.01910103	0.0194826	0.06882894	0.02043254	0.0007217895	0.03209964	0.06626205	0.03349885	0.308387	0.0860022	0.0264061	0.185967	0.172108	0.221129	0.0765873	0.0234389	0.551297	0.348677	2.537964
10	-1965.663	-1980.059	14.396	0.0770796	0.005177469	0.002161658	0.5703348	0.1153321	0.2495765	0.09173146	0.14943	0.1032946	0.1514495	0.04255734	0.05317872	0.1626472	0.008147863	0.03926189	0.02889835	0.01662896	0.04321037	0.02418375	0.01110547	0.1013862	0.0246009	0.09730332	0.02140097	0.01146274	0.07393301	0.07226947	0.01137939	0.1711541	0.07555731	0.02214398	0.06775744	0.02270723	0.002155523	0.1256566	0.07815156	0.07068233	0.122455	0.129802	0.0495683	0.449527	0.134917	0.113731	0.361584	0.0855271	0.141696	0.411192	2.99509
20	-1642.92	-1646.551	3.631443	0.09058444	0.009732272	0.006415724	0.5342154	0.1020435	0.2032992	0.215192	0.1816245	0.1122659	0.1168813	0.04906991	0.072038	0.1442782	0.0112731	0.1354064	0.06045161	0.0271481	0.05003399	0.01377252	0.06713543	0.06752419	0.05366789	0.08945432	0.02164421	0.0336664	0.05828791	0.1828698	0.02285016	0.1213129	0.202756	0.09548447	0.0286973	0.02375477	0.001008789	0.1256566	0.1666605	0.1697167	0.122399	0.181949	0.107501	0.297929	0.134443	0.155779	0.316179	0.204504	0.199523	0.279794	3.667874
30	-1501.431	-1503.033	1.601971	0.243859	0.05544005	0.03212158	0.2205201	0.06228543	0.191028	0.1162503	0.3257165	0.08275993	0.1148108	0.09411415	0.1061492	0.1060265	0.004772461	0.08716008	0.08536423	0.03214462	0.07147499	0.02219533	0.1775114	0.09098658	0.1061289	0.01522016	0.2574886	0.01417699	0.09888348	0.1478603	0.08166492	0.06108674	0.1442414	0.1014318	0.02018866	0.01646852	0.002194038	0.07483581	0.1165869	0.213568	0.10718	0.205902	0.14619	0.146056	0.182829	0.211843	0.323552	0.266138	0.221844	0.188467	3.794716
40	-1505.061	-1502.003	-3.058037	0.2821534	0.05697746	0.01057153	0.347559	0.110855	0.1182878	0.1812942	0.2923279	0.05023497	0.08343764	0.1534884	0.07137681	0.07316493	0.006475547	0.0693853	0.05566322	0.07273667	0.1029273	0.01688411	0.0841553	0.1538102	0.1137745	0.0132327	0.1297675	0.01926606	0.05748526	0.1300377	0.1300017	0.05269895	0.3239503	0.04922432	0.02883371	0.019231	0.001985111	0.1697558	0.1462178	0.306738	0.111263	0.236275	0.17911	0.133645	0.159939	0.179768	0.291135	0.289263	0.231484	0.188117	4.085967
50	-1494.841	-1496.333	1.492108	0.2217456	0.1463983	0.01135953	0.2497596	0.0767766	0.1136724	0.0838486	0.2888729	0.1065048	0.1062517	0.07676558	0.12043	0.06175087	0.004175415	0.02782809	0.08855553	0.06786489	0.06382704	0.06681999	0.06802278	0.1108224	0.07649764	0.07234746	0.2637394	0.01364042	0.04002704	0.156313	0.1216117	0.04994453	0.1497929	0.1255165	0.0300087	0.05037348	0.009603291	0.1405946	0.1571184	0.1824012	0.144393	0.248607	0.163389	0.128075	0.153273	0.162263	0.267634	0.218915	0.254315	0.259137	3.801583
60	-1495.457	-1490.862	-4.595751	0.2081652	0.06125301	0.01198227	0.3829039	0.09122311	0.1810906	0.09712428	0.379939	0.1492815	0.04489462	0.06661023	0.1392239	0.08788687	0.008007596	0.03635994	0.02939224	0.07337046	0.08500112	0.06426305	0.1546078	0.09280081	0.1299038	0.06819465	0.2218659	0.04470452	0.07144793	0.1919764	0.09286236	0.05918756	0.1525994	0.06350784	0.06861878	0.05016338	0.02610114	0.1054951	0.1299263	0.2601375	0.13651	0.252464	0.153522	0.153907	0.140156	0.163442	0.258772	0.295574	0.195099	0.250556	4.182074
70	-1487.934	-1488.575	0.6410126	0.1638971	0.1183042	0.01906061	0.2146868	0.1250418	0.1573981	0.1521209	0.2491242	0.1495451	0.07337827	0.05028144	0.1531685	0.04619211	0.04610079	0.05403834	0.01176973	0.08623121	0.1012214	0.03164571	0.1772205	0.1129086	0.05770655	0.04429523	0.2292876	0.02231623	0.1371017	0.1508171	0.1191117	0.04868975	0.1143392	0.04780671	0.01481244	0.07478541	0.06379968	0.05826294	0.075025	0.3032838	0.127125	0.212272	0.153309	0.17831	0.146401	0.182583	0.246738	0.300373	0.198266	0.254623	3.854776
80	-1486.47	-1489.443	2.973034	0.200403	0.09236039	0.01270781	0.2637027	0.06989979	0.1165811	0.2320043	0.2381088	0.1514518	0.09156032	0.06105834	0.06749163	0.02154824	0.04205886	0.0422092	0.01752231	0.09526747	0.07791922	0.02611001	0.1760592	0.09797909	0.1221425	0.06895191	0.166366	0.006145609	0.06593838	0.1005942	0.1546017	0.03707203	0.1306743	0.1809412	0.02457597	0.01246284	0.07088488	0.06590244	0.1376613	0.1701062	0.157818	0.216184	0.164511	0.123839	0.150257	0.187392	0.247532	0.276317	0.220708	0.255443	3.709025
90	-1487.188	-1487.786	0.5975679	0.2087914	0.08224795	0.02906007	0.2174721	0.1032274	0.203184	0.1070993	0.228368	0.1283334	0.04878671	0.08270479	0.06244566	0.04077073	0.01822735	0.04878532	0.01992395	0.1302678	0.09474898	0.01073418	0.1748897	0.08906319	0.1402981	0.03683209	0.1616749	0.005955553	0.1005481	0.1646105	0.04487069	0.1314677	0.224922	0.06778857	0.01550755	0.0359508	0.1414604	0.09990465	0.1342193	0.2223486	0.135482	0.222607	0.169399	0.119044	0.160508	0.19296	0.263986	0.250492	0.231445	0.254077	3.857492
