Iteration	Posterior	Likelihood	Prior	alpha	bl[1]	bl[2]	bl[3]	bl[4]	bl[5]	bl[6]	bl[7]	bl[8]	bl[9]	bl[10]	bl[11]	bl[12]	bl[13]	bl[14]	bl[15]	bl[16]	bl[17]	bl[18]	bl[19]	bl[20]	bl[21]	bl[22]	bl[23]	bl[24]	bl[25]	bl[26]	bl[27]	bl[28]	bl[29]	bl[30]	bl[31]	bl[32]	bl[33]	bl[34]	bl[35]	bl[36]	bl[37]	bl[38]	bl[39]	bl[40]	bl[41]	bl[42]	bl[43]	bl[44]	bl[45]	bl[46]	bl[47]	bl[48]	bl[49]	bl[50]	bl[51]	bl[52]	bl[53]	bl[54]	bl[55]	bl[56]	bl[57]	bl[58]	bl[59]	bl[60]	bl[61]	bl[62]	bl[63]	bl[64]	bl[65]	bl[66]	bl[67]	bl[68]	bl[69]	bl[70]	bl[71]	bl[72]	bl[73]	bl[74]	bl[75]	bl[76]	bl[77]	bl[78]	bl[79]	bl[80]	bl[81]	bl[82]	bl[83]	bl[84]	bl[85]	bl[86]	bl[87]	bl[88]	bl[89]	bl[90]	bl[91]	bl[92]	bl[93]	bl[94]	bl[95]	bl[96]	bl[97]	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	p_inv	pi[1]	pi[2]	pi[3]	pi[4]	sr[1]	sr[2]	sr[3]	sr[4]	TL
0	-28175.64	-28179.2	3.552823	4.937932	0.0191033	0.02041025	0.05358057	0.003445362	0.1104076	0.1234138	0.01975698	0.01302818	0.01263965	0.0595985	0.0385963	0.007274383	5.0438e-05	0.1310201	0.001410656	0.06065831	0.02705374	0.05729608	0.08818988	0.005883191	0.0836658	0.02004883	0.02559814	0.09105888	0.004271722	0.0121232	0.00245631	0.001913237	0.04851615	0.1345139	0.05363627	0.02304328	0.2020379	0.1305648	0.04010107	0.159364	0.1667785	0.03902571	0.0120912	0.1078963	0.02689835	0.16951	0.01027762	0.01861371	0.006320487	0.09502823	0.06862188	0.05441944	0.1904187	0.1650347	0.02174534	0.05053544	0.03504852	0.01646546	0.02636338	0.06410736	0.1282602	0.006692703	0.07313299	0.0194803	0.02147836	0.02026627	0.04805853	0.01304036	0.02264094	0.01636548	0.1238739	0.052574	0.1641536	0.07372765	0.06063874	0.1942123	0.02713897	0.09807073	0.2655067	0.02840454	0.01968625	0.02117267	0.4701278	0.1278057	0.04323412	0.04435414	0.09043343	0.06857351	0.03280139	0.07738745	0.06187247	0.05630343	0.02341183	0.03642801	0.04161475	0.1618742	0.01035102	0.02748678	0.003424732	0.03112142	0.001294945	0.174769	0.091325	0.13102	0.379524	0.148889	0.0744729	0.7189906	0.0444304	0.422235	0.497672	0.0356626	0.499479	0.802458	1.08341	1.61465	6.139408
10	-18038.06	-18055.1	17.03214	0.7658833	0.04648003	0.02981056	0.03117845	0.00974871	0.08436438	0.08419458	0.0675254	0.01315981	0.0951466	0.03962118	0.03272464	0.01665784	2.188644e-05	0.03001678	0.002799014	0.154755	0.07307753	0.1051456	0.09609929	0.04921933	0.05062799	0.05019542	0.03363552	0.04334879	0.01463361	0.07324758	0.009463769	0.003030856	0.09099598	0.03703216	0.09122771	0.1363273	0.08355481	0.1663229	0.0478007	0.1162564	0.3291908	0.1410801	0.02080643	0.1337996	0.03993628	0.020385	0.01297254	0.06288831	0.02277475	0.1849481	0.09013594	0.1272283	0.1098857	0.1591579	0.03354244	0.02996464	0.01304381	0.01171099	0.01382545	0.02980971	0.04463086	0.005224795	0.008919452	0.009409532	0.01757049	0.00584373	0.01248885	0.0208501	0.009290412	0.03290518	0.05968805	0.04602289	0.07245921	0.04723234	0.04062367	0.04970424	0.008429378	0.03285591	0.03589296	0.03909602	0.01930181	0.01098568	0.08594183	0.03128019	0.0594193	0.02318223	0.04842451	0.01372376	0.01524474	0.02899589	0.1033562	0.0283837	0.01388681	0.01139183	0.02516294	0.3638911	0.005616625	0.105786	0.0009835147	0.005294924	0.001024345	0.212947	0.153174	0.251472	0.0885936	0.180274	0.11354	0.2476296	0.19832	0.277477	0.309525	0.214677	0.0882813	0.393027	0.947034	2.57166	5.296951
20	-15826.32	-15840.04	13.71985	0.6317488	0.05132516	0.03951551	0.04205269	0.01169658	0.08576457	0.03208905	0.07370752	0.01164798	0.03552357	0.02066567	0.0271096	0.03527872	0.0001079621	0.037846	0.02495954	0.1535153	0.02233341	0.05110735	0.121053	0.05139732	0.02219136	0.1045989	0.01644835	0.06190848	0.0126668	0.1583977	0.04173502	0.008577082	0.08392062	0.04550842	0.1666016	0.08366278	0.1188203	0.2262994	0.08533519	0.2172697	0.2597918	0.2065409	0.07737042	0.1873431	0.03109512	0.01129504	0.01335282	0.06579868	0.06403488	0.2017346	0.1307185	0.04002304	0.0816374	0.1839887	0.06492674	0.02600101	0.003034111	0.004959627	0.01458516	0.006202686	0.03297409	0.0007499499	0.03654143	0.005146262	0.004915479	0.003929083	0.003202573	0.01023586	0.003193953	0.04569399	0.01730913	0.01385988	0.03579625	0.04230587	0.03404128	0.09499212	0.007585516	0.01623984	0.01393568	0.01673207	0.04659977	0.02186521	0.03938954	0.02078841	0.06199207	0.0134327	0.04974812	0.01117265	0.02296892	0.006881808	0.1053878	0.02291776	0.01749454	0.008505123	0.01834297	0.3504286	0.00337177	0.1806152	0.0002869572	0.004324508	0.001001378	0.21218	0.160246	0.214585	0.138858	0.155349	0.118782	0.1948622	0.23553	0.245774	0.317529	0.201167	0.0597153	0.329466	0.89669	2.71413	5.503969
30	-14311	-14323.18	12.17867	0.5964704	0.0230397	0.04020713	0.0728584	0.02277694	0.1139928	0.03797187	0.07974934	0.009973216	0.007393069	0.02428297	0.03094574	0.05540576	0.0001199323	0.04494619	0.03165919	0.1950135	0.02817672	0.04373002	0.1292355	0.06126099	0.02173105	0.1186	0.01151299	0.06679647	0.01735878	0.0474094	0.0937372	0.02965695	0.1196465	0.03548123	0.1518629	0.08580399	0.08392307	0.2495836	0.07204817	0.09220937	0.2294629	0.166492	0.07437037	0.1991012	0.01219261	0.01427281	0.1061081	0.04564522	0.04327204	0.06306829	0.1346265	0.01863463	0.06173629	0.2473243	0.09185424	0.01002248	0.002002874	0.008031664	0.03254615	0.00686835	0.006895361	0.01064442	0.02484811	0.003773269	0.00291913	0.02525934	0.00406889	0.006208014	0.01371433	0.1720139	0.006094772	0.01365792	0.03423027	0.01761624	0.0261519	0.1586528	0.005361084	0.01151062	0.009007177	0.02350592	0.06617535	0.01016028	0.03293468	0.006521676	0.06010116	0.01574142	0.06055077	0.006622338	0.04634554	0.006583333	0.04055125	0.002005467	0.07214873	0.02616554	0.0286284	0.4163561	0.02974876	0.1511751	0.001961491	0.02333535	0.002613151	0.219675	0.165906	0.222165	0.10844	0.160836	0.122978	0.06409978	0.215184	0.253139	0.327043	0.204634	0.0523809	0.310305	0.879507	2.75781	5.600293
40	-13037.82	-13073.91	36.08556	0.5214249	0.01578833	0.02727541	0.0542208	0.03323658	0.08119283	0.02585755	0.03745175	0.008690728	0.01992117	0.007617006	0.01067101	0.0587833	0.0002663017	0.04214725	0.04942783	0.1940044	0.02513535	0.01621235	0.1026137	0.06047597	0.0231572	0.03283953	0.02419572	0.06384331	0.01199677	0.01637248	0.06748462	0.1008296	0.1360223	0.03440606	0.14539	0.05862672	0.114861	0.2159546	0.04095603	0.05031137	0.1690027	0.04678709	0.05606303	0.04738302	0.005442269	0.02887303	0.06009457	0.01271446	0.0147518	0.02276797	0.07703644	0.007489815	0.07194117	0.03352931	0.0842847	0.05448687	0.02846964	0.004505855	0.01788561	0.01114804	0.003260134	0.009927509	0.01104899	0.008723724	0.01102907	0.04325093	0.002337028	0.007549501	0.01073257	0.1509404	0.005496684	0.008762546	0.03533879	0.02855748	0.06004127	0.1480733	0.0115173	0.007581422	0.004171296	0.01917556	0.02119842	0.009543359	0.04532181	0.002698867	0.0842953	0.02414527	0.06027086	0.01535731	0.01762912	0.009060296	0.07017473	0.003085704	0.04089759	0.03120898	0.007186059	0.08682326	0.06993089	0.04580061	0.0004228282	0.007312068	0.003339191	0.162149	0.179427	0.235867	0.112052	0.177504	0.133	0.003292004	0.210151	0.247218	0.319394	0.223238	0.0374242	0.265673	0.835253	2.86165	4.106112
50	-12171.72	-12216.83	45.10904	0.6107187	0.008755969	0.03733709	0.04591463	0.01299749	0.06853942	0.008004079	0.04517451	0.01089034	0.01502692	0.01528908	0.01326722	0.06038327	0.0007829135	0.04205656	0.03134129	0.1456919	0.01810391	0.001837171	0.1181407	0.06554322	0.02283076	0.0130368	0.01800137	0.04949029	0.01321493	0.004988611	0.06021578	0.02986422	0.1354724	0.03212201	0.1398943	0.01452782	0.0857715	0.1660558	0.04587347	0.05969559	0.2195549	0.03641163	0.07315716	0.0237097	0.01194372	0.01300973	0.05055705	0.007212999	0.003815465	0.02126527	0.07695417	0.004871651	0.07200551	0.0149101	0.06269962	0.02412497	0.02790026	0.01080665	0.0202172	0.0092393	0.003849913	0.004551605	0.01385917	0.04193359	0.01602299	0.03876299	0.002363427	0.008595568	0.002505958	0.1333782	0.02227127	0.01417587	0.06031362	0.02982264	0.02106426	0.02299055	0.007753323	0.00906904	0.00308558	0.03880135	0.0141805	0.01092832	0.02639164	0.005006967	0.07429901	0.02544249	0.04278455	0.01425582	0.01912878	0.009585182	0.05855937	0.02799561	0.04657272	0.02019971	0.004955653	0.02868604	0.1209147	0.03795479	0.001146986	0.009871596	0.007612636	0.209942	0.177382	0.179698	0.126013	0.175481	0.131484	0.003292004	0.210454	0.246131	0.319855	0.223561	0.055326	0.318178	0.88669	2.73981	3.542144
60	-12054.21	-12104.28	50.07191	0.675472	0.009084956	0.02247434	0.05255034	0.02000889	0.07789422	0.002560754	0.02170867	0.008152273	0.01487408	0.02139829	0.009160934	0.03881993	0.00192333	0.03116481	0.02909197	0.1072924	0.01105764	0.001374591	0.1022221	0.08999474	0.0301938	0.01167861	0.0290713	0.02688606	0.007566196	0.003227836	0.05462211	0.01116865	0.1093408	0.0240412	0.111807	0.01956137	0.08091579	0.1767725	0.04214078	0.04619869	0.1707217	0.0336717	0.07403126	0.004939656	0.005394586	0.02191656	0.0447168	0.003635371	0.009359939	0.03063954	0.06873559	0.00511661	0.05146547	0.01417059	0.06309894	0.02412497	0.03072929	0.008891798	0.02559229	0.02049383	0.0006184075	0.003219136	0.008263873	0.02083723	0.01468391	0.004214587	0.003334649	0.02157924	0.002336458	0.1487209	0.02423018	0.02333359	0.06048902	0.03066328	0.01606527	0.01861772	0.01561249	0.007963423	0.003026804	0.08312561	0.005092715	0.006895562	0.02551153	0.002764616	0.06354514	0.01723413	0.03567196	0.01862312	0.01383439	0.002126886	0.04845448	0.0334804	0.06659779	0.01266201	0.0126164	0.01799408	0.1184231	0.03194269	0.0005820233	0.01405021	0.00347769	0.201469	0.17852	0.174305	0.141875	0.173689	0.130141	0.01187074	0.235831	0.229606	0.29838	0.236182	0.0689587	0.351724	0.915429	2.66389	3.231965
70	-11760.19	-11808.34	48.15103	0.6165565	0.008590846	0.03092737	0.03090369	0.01860136	0.09966978	0.0008813776	0.04000854	0.007708164	0.01211603	0.02003471	0.01172437	0.07361353	0.01087402	0.04622849	0.04548727	0.11663	0.01541709	0.002085028	0.09450387	0.06811706	0.0230149	0.0102676	0.0163915	0.02922586	0.004692984	0.003697044	0.04353936	0.02768194	0.08793428	0.03700656	0.1333087	0.02101568	0.06537356	0.1204606	0.06249242	0.05815406	0.1588715	0.03334279	0.05699573	0.008185969	0.006264904	0.01881149	0.04563624	0.008620584	0.006790459	0.03707667	0.06877345	0.00285467	0.04758296	0.01333151	0.0680426	0.04368764	0.04460691	0.006411398	0.02616422	0.002753348	0.001007863	0.01181759	0.01796711	0.01250699	0.01240736	0.01365375	0.008633689	0.01461202	0.001093026	0.1661991	0.02152232	0.01518902	0.05751735	0.1063713	0.01185484	0.03569335	0.01966176	0.01548235	0.002137787	0.04977099	0.005337962	0.004486133	0.03724496	0.001555342	0.05205357	0.01927768	0.05881529	0.03265454	0.01510347	0.00241287	0.08439232	0.0150483	0.05376059	0.01059606	0.008194441	0.01628297	0.09366605	0.02355242	0.0004416957	0.01538171	0.00347769	0.198282	0.179958	0.170317	0.143017	0.175087	0.133339	0.01187074	0.235831	0.229606	0.29838	0.236182	0.0565398	0.321351	0.889536	2.73257	3.35202
80	-11678.59	-11725.71	47.12129	0.6712154	0.01436255	0.02236372	0.0626415	0.01894444	0.04060264	0.000985905	0.03299635	0.005343971	0.01627727	0.02495837	0.01452057	0.06450249	0.02617406	0.04696423	0.04188381	0.08212515	0.01523896	0.001194336	0.09881075	0.06541208	0.0239597	0.01099797	0.02125496	0.03211902	0.008136576	0.002595558	0.07280083	0.01825337	0.134863	0.03139163	0.1143767	0.01328373	0.08014615	0.1109614	0.03990833	0.05650007	0.2129909	0.0144252	0.0820817	0.01139305	0.007701081	0.006871858	0.04881299	0.006102281	0.006590461	0.02941374	0.08261735	0.004963884	0.02233115	0.01952028	0.07337088	0.03611121	0.05785234	0.01156496	0.02166909	0.007780548	0.00086023	0.01267968	0.009594764	0.02406092	0.01689946	0.02674092	0.002498406	0.01466514	0.003058862	0.1649939	0.02888202	0.01074541	0.03225504	0.09221391	0.01764994	0.02857944	0.01828598	0.005982794	0.003194807	0.08640039	0.00938759	0.008054361	0.03079521	0.00279544	0.06145889	0.01664018	0.0314303	0.02509419	0.01497508	0.005245894	0.05144757	0.02127143	0.08642242	0.01881478	0.01377739	0.01600224	0.1298414	0.02507983	0.001208375	0.01096459	0.003412838	0.189234	0.171745	0.162545	0.119276	0.171723	0.185477	0.01187074	0.23561	0.253381	0.290471	0.220538	0.0680536	0.349626	0.913716	2.6686	3.416379
90	-11636.92	-11685.64	48.71697	0.6065852	0.01942198	0.03081968	0.04880032	0.009262494	0.04936279	0.0009527043	0.0324637	0.01117314	0.01739742	0.02454027	0.01592821	0.06493407	0.03687846	0.02383755	0.05124725	0.08871177	0.01423217	0.000890736	0.1173115	0.07641342	0.02982612	0.007101801	0.01261925	0.03572811	0.01130623	0.001430056	0.05407462	0.008745191	0.1117094	0.03485033	0.09051513	0.008152916	0.09226366	0.08214816	0.0518552	0.05035068	0.2062434	0.005649851	0.05256881	0.009207042	0.008033558	0.005328556	0.04016994	0.00625065	0.006396199	0.03260683	0.07368004	0.002239385	0.0121918	0.01218229	0.07486824	0.04508286	0.0410484	0.01495905	0.01519867	0.001673867	0.000204948	0.01191491	0.01482663	0.01636119	0.02006417	0.03216408	0.0088125	0.003637135	0.004450908	0.1754704	0.03423762	0.01059869	0.04818934	0.1144506	0.02661592	0.03108234	0.01662411	0.006502801	0.003058305	0.06101303	0.008424626	0.03014545	0.03713111	0.002101699	0.06219246	0.01543286	0.0223715	0.02342665	0.0140963	0.01597034	0.07478479	0.01394056	0.06467036	0.01616018	0.02223681	0.02529524	0.09842903	0.02369226	0.002749914	0.0116801	0.00860094	0.183542	0.171094	0.161928	0.148162	0.171071	0.164202	0.01648681	0.245601	0.264127	0.260382	0.229891	0.054469	0.315913	0.884642	2.74498	3.316649
