Iteration	Posterior	Likelihood	Prior	bl[1]	bl[2]	bl[3]	bl[4]	bl[5]	bl[6]	bl[7]	bl[8]	bl[9]	bl[10]	bl[11]	bl[12]	bl[13]	bl[14]	bl[15]	bl[16]	bl[17]	bl[18]	bl[19]	bl[20]	bl[21]	bl[22]	bl[23]	bl[24]	bl[25]	bl[26]	bl[27]	bl[28]	bl[29]	bl[30]	bl[31]	bl[32]	bl[33]	bl[34]	bl[35]	bl[36]	bl[37]	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	pi[1]	pi[2]	pi[3]	pi[4]	TL
0	-774.974	-799.9493	24.97539	0.02370282	0.1085796	0.08359644	0.01937106	0.1058609	0.004975558	0.02694934	0.02830032	0.03584267	0.008403575	0.120565	0.008756894	0.1041536	0.03017358	0.09856475	0.1653865	0.003249994	0.03272794	0.003432015	0.02057079	0.1026225	0.06174926	0.03247969	0.2088013	0.2343055	0.0004264825	0.04041033	0.04982303	0.09932225	0.005136138	0.2051385	0.09844695	0.004329598	0.004627555	0.02609742	0.009259928	0.1177383	0.00979798	0.00395878	0.728424	0.109922	0.0369862	0.110911	0.0334996	0.49093	0.264616	0.210955	2.333878
10	-551.3013	-570.6733	19.37205	0.02960004	0.3303256	0.1806475	0.02922617	0.06744265	0.003696843	0.1499255	0.04881108	0.04951201	0.09250148	0.09262057	0.01606618	0.09836944	0.05665806	0.1936448	0.05791071	0.0005905027	0.04926871	0.00656236	0.02605812	0.04575654	0.05399216	0.07107819	0.152916	0.1707127	0.0002327233	0.02990346	0.0523656	0.03985035	0.001358391	0.1033387	0.1838241	0.007875005	0.02111696	0.03478923	0.01141879	0.1241193	0.13775	0.308765	0.169829	0.163573	0.0550385	0.165044	0.188923	0.370418	0.219854	0.220804	2.684087
20	-465.9179	-483.0948	17.17692	0.09526999	0.387959	0.1779239	0.01816481	0.09810365	0.004594475	0.1764238	0.1156896	0.09629356	0.1605679	0.1023689	0.04543449	0.1035815	0.0669277	0.0499212	0.03092523	0.0006384435	0.05070098	0.001318161	0.08287149	0.01503108	0.08322138	0.2021813	0.05392471	0.06168714	9.330315e-05	0.04537345	0.07483871	0.06833565	0.003117284	0.03808513	0.1300411	0.006408738	0.0293772	0.02334221	0.02430857	0.09623643	0.204664	0.0937964	0.231073	0.280756	0.122927	0.0667846	0.210646	0.315682	0.2965	0.177171	2.821282
30	-431.3111	-454.328	23.01685	0.02868672	0.07290683	0.08227714	0.01292391	0.02413715	0.009869697	0.04977429	0.08150471	0.1192454	0.1574189	0.05220802	0.2437226	0.04533985	0.05837755	0.02021018	0.01228965	0.0006820148	0.09226545	0.001746601	0.1192453	0.03252544	0.213243	0.07277671	0.01386435	0.08608508	0.0001574233	0.05979649	0.07890897	0.08526903	0.008731231	0.09579066	0.1312384	0.008587431	0.01821125	0.04177271	0.04912668	0.1753697	0.0955569	0.161648	0.140904	0.210541	0.293528	0.0978209	0.310939	0.26252	0.30169	0.124852	2.456287
40	-435.6519	-457.0202	21.36833	0.04602939	0.04279586	0.07812332	0.01865063	0.03796566	0.04897018	0.06429279	0.0819375	0.1959018	0.2155971	0.06614745	0.3881983	0.04366185	0.04379296	0.03283018	0.04146669	0.001701702	0.08688088	0.00101992	0.1934653	0.02937696	0.08942745	0.0268416	0.007970505	0.08545345	7.028572e-05	0.02376282	0.07286246	0.1208694	0.01342136	0.06937382	0.01645016	0.006401084	0.005040557	0.08416481	0.04940011	0.1290028	0.121664	0.132665	0.235817	0.134333	0.268733	0.106787	0.198367	0.356928	0.314142	0.130563	2.559319
50	-431.6319	-446.4108	14.77888	0.02659478	0.100875	0.05813452	0.02887606	0.02053731	0.07942424	0.2166609	0.0970245	0.1033382	0.3919839	0.0252684	0.4489151	0.02414277	0.03493093	0.02262516	0.08471053	0.002005685	0.06251812	0.0002352029	0.1414893	0.01593112	0.1532924	0.04627835	0.00856495	0.0212279	2.801126e-05	0.0883566	0.1504507	0.03288045	0.0100138	0.02552074	0.1029122	0.01002603	0.01021271	0.06215721	0.1557476	0.1072682	0.250282	0.0652839	0.172779	0.142653	0.271229	0.0977733	0.255162	0.280332	0.338413	0.126093	2.971159
60	-428.1785	-443.3921	15.21356	0.01857346	0.03522693	0.08784962	0.01520905	0.02202237	0.1369659	0.1091604	0.2054791	0.09114685	0.2636544	0.02072122	0.243776	0.06251462	0.01604747	0.05572827	0.08663314	0.0009578723	0.08293379	5.71668e-05	0.3917433	0.02109824	0.1775732	0.06324471	0.002400174	0.06489704	5.025089e-05	0.05450518	0.1460211	0.03205629	0.01225936	0.01428665	0.1120737	0.010842	0.03012102	0.03262581	0.120259	0.1032778	0.214419	0.0838478	0.166048	0.0942813	0.371154	0.0702502	0.245306	0.335218	0.32534	0.0941361	2.943992
70	-430.2037	-447.4524	17.24868	0.04841772	0.03812309	0.126151	0.04960874	0.04189585	0.05917285	0.1349249	0.07997623	0.1080306	0.1601144	0.01471671	0.3386089	0.06256436	0.04420125	0.03371951	0.02858786	0.01374679	0.2937824	4.2386e-05	0.3363897	0.00727908	0.08189268	0.0178594	0.001669069	0.02600501	0.0001750973	0.04949854	0.1663535	0.05667552	0.01067846	0.02975888	0.0535017	0.02792366	0.01797584	0.01370919	0.1001292	0.1429371	0.201327	0.0865534	0.155659	0.10632	0.382003	0.0681379	0.251295	0.343403	0.333284	0.0720174	2.816797
80	-422.0044	-440.1006	18.09624	0.08874632	0.08069104	0.04502925	0.02610102	0.0258748	0.08617724	0.1422676	0.1558489	0.07837688	0.3268697	0.06765139	0.2633851	0.05463129	0.04528937	0.06667852	0.0135397	0.01949844	0.1373169	6.522213e-05	0.1663399	0.009055498	0.07896571	0.01279735	0.002186164	0.009153672	0.001011664	0.09014868	0.06622373	0.1064423	0.05826057	0.03885075	0.1046968	0.02897114	0.01445346	0.005670133	0.02269103	0.2238676	0.155697	0.131714	0.079577	0.0871609	0.318276	0.227574	0.286108	0.317248	0.279158	0.117486	2.763825
90	-441.2373	-454.0634	12.82607	0.06258866	0.1690939	0.08718301	0.04759462	0.1026889	0.1560278	0.1330073	0.06820649	0.03813438	0.2501667	0.01819406	0.4671916	0.07763167	0.1117313	0.04956158	0.004167665	0.01630459	0.09018076	5.118944e-05	0.1765012	0.002287585	0.06509471	0.009192921	0.002792677	0.01480679	0.002031674	0.02976297	0.08112019	0.1628371	0.02247654	0.06490859	0.1718513	0.1132374	0.02538015	0.005726927	0.05211521	0.1413799	0.199299	0.0401738	0.228895	0.131313	0.253559	0.14676	0.332304	0.254015	0.32951	0.0841709	3.09321
