Iteration	Posterior	Likelihood	Prior	alpha	bl[1]	bl[2]	bl[3]	bl[4]	bl[5]	bl[6]	bl[7]	bl[8]	bl[9]	bl[10]	bl[11]	bl[12]	bl[13]	bl[14]	bl[15]	bl[16]	bl[17]	bl[18]	bl[19]	bl[20]	bl[21]	bl[22]	bl[23]	bl[24]	bl[25]	bl[26]	bl[27]	bl[28]	bl[29]	bl[30]	bl[31]	bl[32]	bl[33]	bl[34]	bl[35]	bl[36]	bl[37]	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	p_inv	pi[1]	pi[2]	pi[3]	pi[4]	sr[1]	sr[2]	sr[3]	sr[4]	TL
0	-2694.231	-2710.87	16.63986	8.792059	0.1394248	0.07450027	0.06335148	0.03886457	0.09772915	0.01181351	0.1525911	0.08420312	0.04873254	0.2140462	0.1624934	0.01387698	0.004975368	0.07819468	0.06344284	0.02359316	0.02418417	0.06889601	0.03154375	0.08169159	0.08481072	0.04515009	0.07345131	0.07572543	0.08664082	0.1495569	0.05278589	0.04033844	0.0007740832	0.0435677	0.005666546	0.07912723	0.3266287	0.04033974	0.06260178	0.02410501	0.04151737	0.401698	0.090973	0.0376671	0.163475	0.0538716	0.252315	0.4032923	0.138098	0.348675	0.0464915	0.466736	0.609686	0.860609	1.07488	1.45483	2.710937
10	-1928.442	-1935.971	7.529243	0.8912459	0.2248418	0.01593112	0.1797804	0.1541041	0.02657022	0.01357114	0.1652549	0.3472547	0.07590797	0.2673814	0.1314554	0.02211485	0.03986911	0.1561095	0.1877616	0.08719643	0.04650524	0.0319264	0.01770721	0.06604215	0.2221339	0.09918828	0.03686737	0.07167053	0.03006019	0.0990134	0.05278996	0.04064672	0.002586742	0.02514594	0.002047685	0.03817451	0.03723842	0.0258678	0.06788032	0.05692664	0.1148263	0.0119041	0.168318	0.110176	0.143095	0.0996733	0.466833	0.05277296	0.416723	0.25122	0.144158	0.187899	0.114777	0.441432	0.979352	2.46444	3.28035
20	-1756.633	-1758.471	1.837826	1.814491	0.1191037	0.01664204	0.3108548	0.2312575	0.04681673	0.1057469	0.1107491	0.1011451	0.09586242	0.2848978	0.06862725	0.04472944	0.06664816	0.2517006	0.1818207	0.07741366	0.02958107	0.03897459	0.02835787	0.01482767	0.2221339	0.1899871	0.03941966	0.08953098	0.06278282	0.1911957	0.06934473	0.01673714	0.004388918	0.03368937	0.004864799	0.02090404	0.1283125	0.01214896	0.08743633	0.09694063	0.1404895	0.049081	0.108685	0.229326	0.0992666	0.197301	0.31634	0.1129607	0.264197	0.316914	0.181855	0.237034	0.270078	0.633716	1.06457	2.03164	3.636064
30	-1633.704	-1628.994	-4.709038	2.338111	0.05849725	0.05182393	0.2540403	0.14196	0.07927389	0.1145076	0.0515328	0.1867526	0.1329499	0.2378617	0.04087866	0.05064718	0.07205153	0.2879058	0.1778509	0.08942757	0.07305109	0.04403334	0.01481643	0.06489538	0.1283381	0.2809334	0.1902955	0.1789296	0.1370399	0.08745875	0.09324617	0.01050568	0.003508911	0.02895232	0.02397178	0.0384933	0.1621115	0.0438614	0.1354654	0.13589	0.1414832	0.0422666	0.176506	0.226123	0.0987657	0.196305	0.260034	0.07101155	0.173278	0.220823	0.287367	0.318533	0.33055	0.686743	1.07653	1.90617	4.045243
40	-1556.349	-1551.157	-5.191101	4.840609	0.0481489	0.1065814	0.2078538	0.06096915	0.1348069	0.1498864	0.04222081	0.2716256	0.1259055	0.2620307	0.0208026	0.1249637	0.09523405	0.1477652	0.1874532	0.1289966	0.03404536	0.04926667	0.02036287	0.03468228	0.1024074	0.2005251	0.1913654	0.204956	0.186154	0.1195929	0.1685466	0.006619203	0.004687557	0.02072131	0.01205549	0.04758437	0.1241978	0.04852774	0.1493582	0.04952194	0.1849493	0.119135	0.139063	0.178154	0.101326	0.257451	0.204872	0.02480057	0.224527	0.156773	0.237017	0.381683	0.49532	0.800038	1.08357	1.62107	4.075372
50	-1517.192	-1516.67	-0.521976	3.752188	0.1058305	0.07512462	0.07236254	0.02380472	0.1301686	0.2526899	0.01397683	0.2074998	0.1325336	0.06326382	0.04243001	0.3840381	0.03121306	0.1201994	0.1761292	0.0677127	0.02000705	0.05555849	0.01966223	0.05409731	0.1287874	0.2376973	0.1636319	0.06192791	0.0696106	0.1071461	0.0343515	0.02939696	0.01007184	0.02257561	0.005551229	0.07123955	0.218396	0.06531707	0.1811428	0.1205735	0.2078318	0.157662	0.157608	0.145416	0.1103	0.26179	0.167224	0.02480057	0.259889	0.144084	0.266677	0.329349	0.440208	0.766179	1.08435	1.70926	3.783552
60	-1513.093	-1505.986	-7.106656	3.452325	0.08540997	0.05382076	0.1550242	0.04579539	0.2029778	0.1950307	0.02214145	0.1406062	0.1323049	0.08492982	0.02840234	0.4718531	0.06950014	0.1551524	0.1883445	0.05254624	0.0283229	0.07520519	0.04437789	0.08012684	0.1212057	0.2816058	0.2454533	0.05334882	0.08412891	0.06398632	0.0131499	0.02079846	0.007098536	0.01678182	0.03352099	0.1971502	0.1288149	0.111575	0.1334703	0.07585906	0.2952731	0.0898233	0.174138	0.153816	0.112216	0.333049	0.136957	0.02480057	0.24721	0.13034	0.250921	0.371528	0.421486	0.75385	1.08399	1.74067	4.195094
70	-1522.363	-1522.63	0.2673924	5.684545	0.1480098	0.02694237	0.07817673	0.03306336	0.1272044	0.1428864	0.02233918	0.2740778	0.1024121	0.05879983	0.02082517	0.320932	0.03577621	0.05704486	0.1547255	0.09409761	0.0338772	0.04073015	0.05533302	0.02264283	0.187832	0.240843	0.2233095	0.1256652	0.07639284	0.06796577	0.01259239	0.03373632	0.008612047	0.01860613	0.05206423	0.2051412	0.06968347	0.06285176	0.09024739	0.117327	0.2914494	0.186724	0.170344	0.150465	0.117016	0.241479	0.133973	0.02480057	0.227119	0.119747	0.261338	0.391796	0.528243	0.818711	1.08195	1.5711	3.734216
80	-1513.584	-1508.258	-5.326594	1.992934	0.04477302	0.04734523	0.1291264	0.03293214	0.1687066	0.2863906	0.06040616	0.1409509	0.161666	0.034697	0.0096696	0.4857164	0.01812322	0.108691	0.3067339	0.06229095	0.03135165	0.06648865	0.02080973	0.05662033	0.1527956	0.2399451	0.2035091	0.1309511	0.06205425	0.05685496	0.006496178	0.06073582	0.005030705	0.01512969	0.04398609	0.164991	0.1019428	0.09290904	0.1063971	0.0840808	0.2825413	0.158286	0.150232	0.119925	0.166762	0.292623	0.112172	0.04835341	0.203463	0.123965	0.268726	0.403847	0.29243	0.65426	1.06981	1.9835	4.08384
90	-1500.747	-1502.112	1.364446	2.804705	0.06021254	0.01369934	0.08837286	0.0272325	0.1033723	0.2347309	0.0350576	0.1934113	0.1100217	0.02291234	0.003030345	0.3207271	0.0638096	0.1250829	0.1948748	0.09046643	0.03131365	0.05406826	0.0194647	0.07279566	0.08562118	0.3746802	0.131547	0.04768645	0.08454983	0.01700487	0.02242724	0.0225551	0.03136427	0.01081977	0.03045841	0.2215498	0.1350813	0.1303287	0.1087821	0.07469327	0.2718441	0.107876	0.154083	0.150271	0.171036	0.300123	0.116612	0.02078065	0.20588	0.108621	0.260876	0.424623	0.373566	0.720108	1.08137	1.82496	3.66565
100	-1503.612	-1505.898	2.285591	3.420171	0.05221632	0.009291231	0.08365802	0.04135219	0.125212	0.1952187	0.04440147	0.2041789	0.1258615	0.02948486	0.001445584	0.3009129	0.0621918	0.2397378	0.1462302	0.083843	0.04847436	0.08988032	0.02434359	0.05351337	0.0872083	0.1556116	0.1249699	0.04206605	0.06866782	0.004610176	0.131847	0.01292655	0.04488826	0.02281739	0.06407951	0.1294851	0.1897198	0.2176913	0.06179294	0.06631486	0.2219341	0.10106	0.173482	0.16544	0.134689	0.296681	0.128648	0.02078065	0.19379	0.102242	0.288308	0.415661	0.419364	0.752424	1.08393	1.74428	3.608079
110	-1491.712	-1494.955	3.243316	8.190339	0.02917644	0.02441264	0.120956	0.02245121	0.1178985	0.1291552	0.04197179	0.2086191	0.1454258	0.007791532	0.001043086	0.1957338	0.08319975	0.2044829	0.18024	0.06038829	0.04610603	0.113714	0.02627607	0.02284939	0.04514716	0.2470095	0.1269257	0.0830985	0.0674768	0.008527558	0.06762681	0.02557729	0.121285	0.04614921	0.1056608	0.1728629	0.1145174	0.1132373	0.08286773	0.05369641	0.2846633	0.172132	0.154724	0.144678	0.123055	0.288054	0.117357	0.0116485	0.182986	0.0924152	0.315781	0.408817	0.597249	0.854574	1.07621	1.47196	3.548221
120	-1499.259	-1502.301	3.041228	9.016792	0.05385633	0.0117777	0.1603615	0.01878856	0.1495364	0.2538161	0.05168024	0.2086191	0.1023202	0.009818778	0.0002358723	0.2039701	0.1013456	0.1461044	0.1586814	0.1362975	0.0243885	0.05411969	0.0363094	0.05653635	0.07122551	0.1914835	0.007432653	0.1565653	0.04007302	0.003830698	0.06581694	0.03146598	0.1952806	0.03879618	0.08235526	0.0979501	0.1947659	0.08878366	0.03393236	0.04244488	0.2800852	0.174846	0.18761	0.14696	0.132533	0.257717	0.100335	0.0116485	0.196663	0.10021	0.306424	0.396703	0.614038	0.862692	1.07439	1.44888	3.560851
130	-1497.973	-1493.693	-4.280652	5.33999	0.109306	0.02222541	0.1305714	0.02253287	0.1060104	0.3182003	0.03017848	0.1967918	0.1518278	0.003895877	6.871052e-05	0.3705591	0.08139149	0.0956363	0.1448922	0.06845421	0.03088964	0.03737372	0.08450756	0.03303647	0.06817625	0.2820629	0.06422281	0.1243973	0.1028149	0.009737995	0.08766964	0.03627095	0.2607734	0.04729569	0.07903933	0.1856261	0.148587	0.1186012	0.02377538	0.04814595	0.2929223	0.176423	0.128184	0.172625	0.133728	0.263033	0.126008	0.02583487	0.199364	0.125865	0.257608	0.417164	0.515614	0.811676	1.08266	1.59005	4.018469
140	-1501.875	-1496.233	-5.642832	5.198023	0.04646096	0.02446453	0.1060873	0.05371849	0.1022724	0.1974807	0.03399811	0.2762478	0.1056813	0.005260513	3.655103e-05	0.2296191	0.06409846	0.1649672	0.2033377	0.03893417	0.04520659	0.03057701	0.1120994	0.07754523	0.0868373	0.3681213	0.03093513	0.1377339	0.07953516	0.01068042	0.07181503	0.04380555	0.2915928	0.1120626	0.1238667	0.2034405	0.08588523	0.1859569	0.03306094	0.1135154	0.2066666	0.169477	0.119741	0.161255	0.161582	0.276917	0.111028	0.03644645	0.199364	0.125865	0.257608	0.417164	0.5101	0.808555	1.08294	1.5984	4.103605
150	-1493.637	-1491.847	-1.789737	6.508037	0.02153722	0.0873133	0.2030383	0.04513778	0.1860907	0.1827195	0.04066382	0.1921055	0.1550446	0.01557225	5.562575e-05	0.2415391	0.06228612	0.1115425	0.1695643	0.03706896	0.03032259	0.05334388	0.05293579	0.03651846	0.05752047	0.301565	0.01201862	0.1739429	0.08979056	0.0266653	0.09959591	0.0234735	0.1345076	0.1302642	0.1018247	0.2267612	0.0867662	0.1554407	0.02259949	0.09474306	0.200907	0.118568	0.171474	0.19039	0.1637	0.263753	0.0921147	0.01207443	0.179893	0.116314	0.277005	0.426789	0.554764	0.832992	1.0801	1.53214	3.862787
160	-1498.58	-1492.054	-6.525692	2.589834	0.02161768	0.03014643	0.16614	0.05371946	0.1719756	0.1268279	0.04440572	0.2144004	0.2370601	0.009564415	4.006914e-05	0.2724109	0.108809	0.1150389	0.1716085	0.06018819	0.08190579	0.02474356	0.07888957	0.01985951	0.1303302	0.2685789	0.007698346	0.1716155	0.06374709	0.01361988	0.1263543	0.01856939	0.2556814	0.1110531	0.07790153	0.1965353	0.1517676	0.09447371	0.007018082	0.1651667	0.2893211	0.156746	0.170012	0.162756	0.139455	0.279702	0.0913293	0.01207443	0.165115	0.117968	0.325188	0.391729	0.354812	0.705951	1.07958	1.85966	4.158784
170	-1489.927	-1492.298	2.370505	3.857934	0.0255076	0.01386585	0.1001774	0.02914068	0.1487502	0.231053	0.02359763	0.1539482	0.1526205	0.02926739	0.0001650222	0.2971925	0.1345997	0.09177203	0.212103	0.04092997	0.04315569	0.05430102	0.03680874	0.01676055	0.06459243	0.2647651	0.008814766	0.1592018	0.09498455	0.02374119	0.108732	0.01297086	0.1370176	0.1238982	0.03989559	0.233861	0.1406794	0.08496595	0.004704394	0.06369393	0.2005362	0.159094	0.172559	0.176599	0.141544	0.245618	0.104586	0.01207443	0.159843	0.120613	0.326379	0.393164	0.446383	0.770148	1.0844	1.69907	3.602771
180	-1495.808	-1495.29	-0.5176	8.525991	0.0477836	0.06610534	0.1379692	0.02548016	0.1347756	0.2028137	0.01742487	0.1952161	0.1134928	0.03896241	0.0002321048	0.2187306	0.03766508	0.1263863	0.2590072	0.05494435	0.03508699	0.05776858	0.04675237	0.02276418	0.08749955	0.3091118	0.009103199	0.1185382	0.1236709	0.04412383	0.1220482	0.009292765	0.1970088	0.1157089	0.05347956	0.2507217	0.1322827	0.06192542	0.01518723	0.05106648	0.2431472	0.244589	0.142138	0.145465	0.156615	0.225045	0.0861475	0.01207443	0.168116	0.103945	0.281275	0.446664	0.604334	0.858027	1.07546	1.46218	3.783278
190	-1510.895	-1504.804	-6.090984	2.28075	0.05051989	0.02180793	0.08792244	0.05075794	0.1567284	0.1446742	0.02312598	0.2758727	0.207138	0.01916744	0.000368522	0.3488557	0.07031844	0.0484378	0.1651756	0.07471646	0.02702749	0.112314	0.06039387	0.03584355	0.1316362	0.1959328	0.01256072	0.07632411	0.08275825	0.05382625	0.1220355	0.01234064	0.2859705	0.3549116	0.0524495	0.2103047	0.1724921	0.1228298	0.0113575	0.02970169	0.2230165	0.24169	0.130451	0.123907	0.143738	0.277709	0.0825053	0.01207443	0.164846	0.0971216	0.320688	0.417344	0.324633	0.681893	1.07565	1.91782	4.131615
200	-1496.809	-1498.002	1.192756	8.920677	0.04716808	0.02283424	0.1240094	0.03111458	0.1145193	0.2451883	0.02842583	0.2327689	0.1900628	0.04755925	0.0003972346	0.3042612	0.06956877	0.1223413	0.1368958	0.03071536	0.03632928	0.04311134	0.0380451	0.03985022	0.0708868	0.1343335	0.01198322	0.09542268	0.08945713	0.04441505	0.07260404	0.02389529	0.186782	0.1734231	0.08181189	0.2338586	0.1293031	0.1442799	0.0162288	0.04421783	0.2183117	0.166935	0.152383	0.121585	0.138318	0.324401	0.0963771	0.01207443	0.173864	0.122278	0.263684	0.440174	0.612195	0.861811	1.0746	1.4514	3.676381
