Iteration	Posterior	Likelihood	Prior	bl[1]	bl[2]	bl[3]	bl[4]	bl[5]	bl[6]	bl[7]	bl[8]	bl[9]	bl[10]	bl[11]	bl[12]	bl[13]	bl[14]	bl[15]	bl[16]	bl[17]	bl[18]	bl[19]	bl[20]	bl[21]	bl[22]	bl[23]	bl[24]	bl[25]	bl[26]	bl[27]	bl[28]	bl[29]	bl[30]	bl[31]	bl[32]	bl[33]	bl[34]	bl[35]	bl[36]	bl[37]	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	pi[1]	pi[2]	pi[3]	pi[4]	TL
0	-1538.879	-1561.061	22.18167	0.03323239	0.03839573	0.05393771	0.003744329	0.03672124	0.004598613	0.1465468	0.139915	0.04389096	0.05803082	0.1656667	0.03171621	0.06160572	0.07311093	0.03768862	0.03296564	0.04638147	0.09820815	0.01868196	0.04328424	0.1460791	0.1056668	0.1433207	0.2055316	0.2152944	0.05249982	0.01072537	0.0445778	0.03026676	0.05384818	0.02457608	0.05036467	0.01362329	0.05112257	0.09632672	0.03979431	0.05654345	0.0264639	0.0441504	0.520706	0.0177767	0.0095122	0.381391	0.325956	0.329608	0.0602974	0.284139	2.508485
10	-1055.585	-1083.052	27.46648	0.07001838	0.04504748	0.05775627	0.004745632	0.114785	0.004946387	0.04258796	0.0702831	0.07523675	0.04695641	0.1620183	0.02646279	0.1999131	0.03042113	0.08094468	0.02535466	0.02748329	0.1179604	0.07785094	0.09101887	0.05408482	0.07181526	0.06419371	0.07297848	0.01711407	0.03197075	0.01188545	0.03528406	0.07824012	0.1518644	0.01213727	0.02609344	0.07990573	0.04462236	0.01542084	0.03008987	0.008692326	0.278265	0.141577	0.101189	0.0622485	0.0147931	0.401928	0.280069	0.39094	0.149915	0.179076	2.178184
20	-1000.345	-1020.579	20.23402	0.05880063	0.04502325	0.2129368	0.004923948	0.1859657	0.005494255	0.01609398	0.04368557	0.04588717	0.01110066	0.2162868	0.02304387	0.3862556	0.0212993	0.05013059	0.03704005	0.01464406	0.1889888	0.106382	0.06560842	0.08714994	0.01412393	0.08978015	0.03806695	0.03002584	0.02339233	0.0039838	0.01137608	0.1707113	0.1614214	0.016643	0.01277813	0.1435641	0.03973299	0.03466024	0.006375088	0.006836867	0.293945	0.116952	0.211457	0.0207795	0.03629	0.320576	0.265174	0.320703	0.225239	0.188884	2.630214
30	-916.7542	-948.8219	32.06769	0.02262035	0.006331088	0.2101921	0.006388931	0.02071505	0.01894617	0.02391276	0.06826267	0.04491821	0.004007218	0.1848602	0.04242319	0.09267521	0.02567992	0.04222784	0.01333385	0.04023075	0.09181407	0.07733847	0.08585145	0.06055032	0.005489045	0.01899404	0.07350295	0.02931514	0.01803981	0.00344944	0.04591669	0.08792751	0.1059474	0.04690359	0.06147686	0.1248559	0.03478783	0.03661512	0.01046814	0.003639959	0.259799	0.20392	0.191411	0.0637212	0.0731241	0.208024	0.251759	0.304479	0.213845	0.229917	1.890609
40	-880.9857	-910.5379	29.5522	0.03544423	0.007978132	0.2231836	0.005311399	0.02727058	0.04521754	0.00968566	0.07482769	0.05062598	0.005740515	0.1405815	0.05562646	0.1239169	0.1048061	0.03917611	0.02290466	0.02944533	0.09986731	0.07039715	0.0493189	0.05452018	0.005731509	0.07680248	0.06996102	0.04543138	0.00501386	0.008025481	0.0661276	0.0678972	0.06248788	0.05410235	0.09653553	0.1683338	0.0080203	0.0298797	0.005808222	0.001823229	0.257564	0.219558	0.203134	0.0782277	0.0513634	0.190152	0.241519	0.279097	0.217966	0.261418	2.047827
50	-868.7827	-901.0387	32.25598	0.04269745	0.01262074	0.1825983	0.03122811	0.0319027	0.02939956	0.005379917	0.08866765	0.04535122	0.005093124	0.1547612	0.03435307	0.1443098	0.06928029	0.05442045	0.06983773	0.01111414	0.0979439	0.04546752	0.02658604	0.03419629	0.003213585	0.05914501	0.08500559	0.02725544	0.004174049	0.005291654	0.06291491	0.06891886	0.08893273	0.03349746	0.06568429	0.108721	0.02852595	0.01243408	0.004150289	0.003766763	0.243873	0.185321	0.174359	0.10221	0.0440874	0.250149	0.275553	0.265342	0.203741	0.255364	1.878841
60	-863.0969	-895.0987	32.00188	0.02219703	0.02002038	0.2051205	0.009490033	0.04020713	0.02656445	0.01271138	0.1018994	0.04302083	0.006509598	0.1773911	0.07664272	0.1412501	0.04229471	0.03344398	0.05559089	0.01785626	0.02715552	0.05433063	0.06822766	0.022483	0.007589037	0.06091914	0.09382835	0.01505741	0.007762011	0.002506966	0.05528039	0.04014001	0.06653688	0.04378606	0.133427	0.1309141	0.01869813	0.005895946	0.001848028	0.006125117	0.335913	0.115186	0.19307	0.109353	0.0479644	0.198513	0.260031	0.244346	0.192264	0.303359	1.894722
70	-855.6273	-893.459	37.83165	0.03017707	0.02264623	0.108284	0.01983095	0.01854645	0.02042087	0.05626294	0.03472219	0.02962778	0.009035933	0.1102539	0.08698468	0.08206947	0.08453739	0.01878294	0.06258115	0.004396423	0.04196569	0.04229546	0.04480104	0.01367957	0.00773633	0.01885961	0.08065949	0.009141544	0.01162505	0.005879747	0.02438065	0.04820655	0.06285648	0.01084735	0.1194492	0.1036123	0.01715527	0.04552151	0.001406533	0.02112196	0.33251	0.114019	0.152894	0.108245	0.0563375	0.235994	0.247203	0.232292	0.212353	0.308152	1.530362
80	-854.4597	-885.6657	31.20592	0.05477723	0.01104448	0.1347927	0.02195177	0.00738079	0.05300987	0.02222627	0.02748314	0.05806707	0.01472043	0.224946	0.05462359	0.08540081	0.05653101	0.09041163	0.04800331	0.005144389	0.02924573	0.07111689	0.04856784	0.02597043	0.005204047	0.0213781	0.1468613	0.01284703	0.02521503	0.009652922	0.03148433	0.06550778	0.06686748	0.03026835	0.1190621	0.1266843	0.01391803	0.09856997	0.00109786	0.02443564	0.334942	0.0967211	0.202871	0.109037	0.0785238	0.177905	0.268664	0.188722	0.270736	0.271878	1.94447
90	-860.9748	-893.0772	32.10239	0.02324105	0.03072738	0.07743991	0.009769991	0.00687477	0.03978418	0.005584466	0.06318426	0.04821483	0.01135512	0.1109265	0.06039708	0.06833056	0.06121881	0.03312798	0.08072499	0.00566025	0.01012146	0.08561648	0.06859026	0.007926927	0.005174173	0.03388087	0.1348564	0.02325198	0.005659262	0.05670735	0.04498736	0.146804	0.06826018	0.01673733	0.1462954	0.1629965	0.01633593	0.06108242	0.001443814	0.05515031	0.293001	0.137534	0.173594	0.092389	0.0540705	0.249411	0.250971	0.207325	0.287497	0.254207	1.88844
