Iteration	Posterior	Likelihood	Prior	bl[1]	bl[2]	bl[3]	bl[4]	bl[5]	bl[6]	bl[7]	bl[8]	bl[9]	bl[10]	bl[11]	bl[12]	bl[13]	bl[14]	bl[15]	bl[16]	bl[17]	bl[18]	bl[19]	bl[20]	bl[21]	bl[22]	bl[23]	bl[24]	bl[25]	bl[26]	bl[27]	bl[28]	bl[29]	bl[30]	bl[31]	bl[32]	bl[33]	bl[34]	bl[35]	bl[36]	bl[37]	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	pi[1]	pi[2]	pi[3]	pi[4]	TL
0	-1624.257	-1653.638	29.38035	0.01002385	0.001939357	0.02128194	0.005591915	0.01562366	0.01196299	0.01016113	0.1853066	0.03493632	0.1524776	0.02311592	0.0913832	0.008590052	0.02549149	0.0235953	0.1237726	0.1419302	0.08753963	0.04415495	0.0534308	0.03017089	0.01256888	0.08343808	0.02102603	0.04634905	0.04468727	0.007370726	0.03551629	0.001171667	0.00363018	0.0573177	0.03474075	0.01875068	0.03086403	0.08035709	0.2984593	0.1798395	0.078379	0.311551	0.0822258	0.118993	0.0723866	0.336464	0.181243	0.184732	0.394898	0.239126	2.058568
10	-1084.665	-1118.81	34.14568	0.03719519	0.01182571	0.07519985	0.01020759	0.01656918	0.01705931	0.02089726	0.07599791	0.03334441	0.04299145	0.05255561	0.03948552	0.03532583	0.03584312	0.06705062	0.114362	0.05741764	0.06896136	0.0519143	0.2070011	0.0707505	0.009723153	0.04261199	0.008563258	0.02321727	0.06668066	0.01244472	0.04797691	0.001162046	0.0009742269	0.05112401	0.007294415	0.007787708	0.03943925	0.07553939	0.1469342	0.07730596	0.341845	0.171532	0.118164	0.0754294	0.0493123	0.243717	0.229928	0.274565	0.281092	0.214414	1.760735
20	-955.7174	-983.3487	27.6313	0.2062093	0.02513172	0.1811747	0.04240883	0.01062403	0.01034624	0.03615189	0.03416298	0.02526707	0.04038535	0.1325103	0.07005861	0.09284552	0.1100327	0.05409603	0.04257801	0.03785141	0.04591684	0.2031974	0.197192	0.07130517	0.01417824	0.04102968	0.01298477	0.04128369	0.07611009	0.01552911	0.03229551	0.001607201	0.00112485	0.03821165	0.005505452	0.003119453	0.01511236	0.04547668	0.1193136	0.03555462	0.331014	0.123744	0.17461	0.0641907	0.0500198	0.256422	0.195881	0.275169	0.289883	0.239068	2.167883
30	-898.674	-931.532	32.85802	0.1505494	0.04659562	0.1058479	0.02416217	0.01529925	0.03067193	0.02296522	0.03713843	0.0154075	0.02776243	0.1121614	0.09621152	0.08633325	0.05976061	0.04490451	0.1009748	0.02536159	0.02545015	0.1041031	0.1447927	0.07677795	0.02358738	0.06220347	0.04776702	0.04737749	0.02587049	0.01830631	0.03348008	0.004693503	0.001117466	0.03110511	0.003070963	0.001126306	0.02142829	0.04624826	0.05813612	0.06246383	0.373461	0.145449	0.218942	0.065857	0.0602584	0.136032	0.215992	0.200751	0.319645	0.263613	1.841213
40	-883.9947	-915.001	31.00627	0.2458427	0.02557172	0.0900323	0.0199958	0.003713684	0.009266102	0.008723868	0.01247915	0.03188912	0.03161384	0.1807561	0.08211815	0.09467873	0.05261038	0.01976466	0.0177684	0.02051321	0.01186526	0.09527658	0.1883247	0.0711985	0.104208	0.05358813	0.09627945	0.1120201	0.01194424	0.01032217	0.03114811	0.01392309	0.00928589	0.03190165	0.003760716	0.001193188	0.01494057	0.02322258	0.07214979	0.05305705	0.368413	0.101953	0.223368	0.0833223	0.0841609	0.138782	0.196242	0.261907	0.290417	0.251434	1.956948
50	-883.8403	-917.5848	33.74451	0.1467309	0.02723695	0.08335851	0.0147126	0.004673769	0.01018053	0.007271901	0.0499197	0.06727303	0.008487588	0.1298217	0.02423489	0.1003946	0.07656876	0.00799258	0.02272781	0.01548133	0.00569131	0.09431875	0.1465351	0.1456962	0.04206004	0.04409386	0.1077571	0.1104937	0.01540565	0.003978866	0.03018291	0.008791982	0.006690285	0.01587596	0.05288093	0.001307402	0.009782133	0.02703409	0.05979184	0.06037235	0.289382	0.197987	0.178625	0.0886772	0.0407499	0.204578	0.242499	0.237362	0.195867	0.324271	1.785808
60	-888.8236	-919.297	30.47344	0.1459289	0.02030794	0.09693756	0.01643995	0.00984745	0.008906508	0.005074716	0.04037088	0.05700876	0.01319569	0.1334411	0.02960202	0.158436	0.04387636	0.0094297	0.01292613	0.01479458	0.01113025	0.1236122	0.1418666	0.1030295	0.05205326	0.02191992	0.1197797	0.0771368	0.03111228	0.0134711	0.05859477	0.06453484	0.02538528	0.03716202	0.0476668	0.001188666	0.00485553	0.09575228	0.08385563	0.05961803	0.419355	0.0889937	0.120451	0.123846	0.0506356	0.196719	0.25533	0.20919	0.17262	0.362861	1.99025
70	-889.6394	-918.1648	28.52535	0.2055598	0.04015675	0.08445043	0.01514205	0.02655078	0.01499376	0.005020709	0.02492483	0.1304544	0.006882287	0.1893606	0.0648031	0.1013734	0.02974769	0.01455465	0.009394763	0.01209014	0.01973012	0.07547899	0.2078146	0.1695265	0.04588574	0.004752139	0.102514	0.06862469	0.06410801	0.01753407	0.05744432	0.04012836	0.06348133	0.01437908	0.003982352	0.003995871	0.006937631	0.0252633	0.1020037	0.0429607	0.361502	0.149163	0.127315	0.093378	0.0607126	0.207929	0.226143	0.185277	0.267198	0.321382	2.112006
80	-859.3128	-891.5599	32.24713	0.05766007	0.0190747	0.1617203	0.01671229	0.02414112	0.03197408	0.005372306	0.03400129	0.04939138	0.01552239	0.1453206	0.08320713	0.05742391	0.07582189	0.03416525	0.01644233	0.08411722	0.03429034	0.1126852	0.04746947	0.07362841	0.04319122	0.01401941	0.1339748	0.06487926	0.03664101	0.02629543	0.06183063	0.02974733	0.1611238	0.01119774	0.004555381	0.001946502	0.004338228	0.02103725	0.04628189	0.03819218	0.315218	0.135513	0.174163	0.0996791	0.0534671	0.22196	0.243195	0.220005	0.296311	0.240489	1.879394
90	-859.2614	-890.0824	30.82098	0.06374531	0.0238041	0.05271156	0.03108608	0.05139299	0.02366918	0.02309502	0.04099869	0.07477713	0.01335617	0.1437204	0.08081786	0.1384934	0.1051457	0.01445813	0.03904846	0.0472859	0.01442013	0.07769973	0.06875258	0.1233625	0.05949844	0.02510101	0.1321639	0.03912412	0.05045272	0.01123776	0.06411137	0.007216013	0.1809428	0.01552902	0.01506127	0.006774861	0.009788952	0.01634627	0.02984707	0.05349176	0.35531	0.120375	0.217526	0.062128	0.0474946	0.197166	0.259838	0.223751	0.274015	0.242396	1.968528
