Note : P(D|M) is the probability of site D given the model M (i.e., the site likelihood)
P*(D|M,rr[x]) is the scaled probability of site D given the model M and the relative rate
of evolution rr[x], where x is the class of rate to be considered.
The actual conditional probability is given by P*(D|M,rr[x])/2^F, where
F is the scaling factor (see column 'Scaler').
For invariant sites, P(D|M,rr[0]=0) is the actual conditional probability
(i.e., it is not scaled).


Site        P(D|M)         Scaler Pattern  P*(D|M,rr[1]=1.0010)   P*(D|M,rr[2]=1.0001)   P*(D|M,rr[3]=0.9990)   P*(D|M,rr[4]=0.9998)   Posterior mean        NDistinctStates 
1           0.23319        0      0        0.233179               0.233189               0.2332                 0.233192               1                     1               
2           0.23319        0      0        0.233179               0.233189               0.2332                 0.233192               1                     1               
3           0.246985       0      1        0.246973               0.246985               0.246997               0.246988               1                     1               
4           0.228354       0      2        0.228344               0.228353               0.228363               0.228356               1                     1               
5           0.23319        0      0        0.233179               0.233189               0.2332                 0.233192               1                     1               
6           0.247398       0      3        0.247386               0.247397               0.247409               0.247401               1                     1               
7           0.246985       0      1        0.246973               0.246985               0.246997               0.246988               1                     1               
8           0.228354       0      2        0.228344               0.228353               0.228363               0.228356               1                     1               
9           0.228354       0      2        0.228344               0.228353               0.228363               0.228356               1                     1               
10          0.000599694    0      4        0.000600297            0.000599731            0.000599132            0.000599572            1                     2               
11          0.246985       0      1        0.246973               0.246985               0.246997               0.246988               1                     1               
12          0.247398       0      3        0.247386               0.247397               0.247409               0.247401               1                     1               
13          0.247398       0      3        0.247386               0.247397               0.247409               0.247401               1                     1               
14          0.23319        0      0        0.233179               0.233189               0.2332                 0.233192               1                     1               
15          0.23319        0      0        0.233179               0.233189               0.2332                 0.233192               1                     1               
16          0.247398       0      3        0.247386               0.247397               0.247409               0.247401               1                     1               
17          0.228354       0      2        0.228344               0.228353               0.228363               0.228356               1                     1               
18          0.247398       0      3        0.247386               0.247397               0.247409               0.247401               1                     1               
19          0.23319        0      0        0.233179               0.233189               0.2332                 0.233192               1                     1               
20          0.000116671    0      5        0.000116788            0.000116679            0.000116563            0.000116648            1                     2               
21          0.247398       0      3        0.247386               0.247397               0.247409               0.247401               1                     1               
22          0.247398       0      3        0.247386               0.247397               0.247409               0.247401               1                     1               
23          0.228354       0      2        0.228344               0.228353               0.228363               0.228356               1                     1               
24          0.00022478     0      6        0.000225007            0.000224794            0.000224569            0.000224734            1                     2               
25          0.23319        0      0        0.233179               0.233189               0.2332                 0.233192               1                     1               
26          0.228354       0      2        0.228344               0.228353               0.228363               0.228356               1                     1               
27          0.000467844    0      7        0.000468312            0.000467873            0.000467408            0.00046775             1                     2               
28          0.228354       0      2        0.228344               0.228353               0.228363               0.228356               1                     1               
29          0.247398       0      3        0.247386               0.247397               0.247409               0.247401               1                     1               
30          0.23319        0      0        0.233179               0.233189               0.2332                 0.233192               1                     1               
31          0.228354       0      2        0.228344               0.228353               0.228363               0.228356               1                     1               
32          0.228354       0      2        0.228344               0.228353               0.228363               0.228356               1                     1               
33          0.246985       0      1        0.246973               0.246985               0.246997               0.246988               1                     1               
34          7.44236e-05    0      8        7.44982e-05            7.44282e-05            7.4354e-05             7.44085e-05            1                     2               
35          0.246985       0      1        0.246973               0.246985               0.246997               0.246988               1                     1               
36          0.246985       0      1        0.246973               0.246985               0.246997               0.246988               1                     1               
37          0.246985       0      1        0.246973               0.246985               0.246997               0.246988               1                     1               
38          0.228354       0      2        0.228344               0.228353               0.228363               0.228356               1                     1               
39          0.247398       0      3        0.247386               0.247397               0.247409               0.247401               1                     1               
40          0.247398       0      3        0.247386               0.247397               0.247409               0.247401               1                     1               
41          0.247398       0      3        0.247386               0.247397               0.247409               0.247401               1                     1               
42          0.228354       0      2        0.228344               0.228353               0.228363               0.228356               1                     1               
43          0.246985       0      1        0.246973               0.246985               0.246997               0.246988               1                     1               
44          0.23319        0      0        0.233179               0.233189               0.2332                 0.233192               1                     1               
45          0.246985       0      1        0.246973               0.246985               0.246997               0.246988               1                     1               
46          0.247398       0      3        0.247386               0.247397               0.247409               0.247401               1                     1               
47          0.228354       0      2        0.228344               0.228353               0.228363               0.228356               1                     1               
48          0.247398       0      3        0.247386               0.247397               0.247409               0.247401               1                     1               
49          0.247398       0      3        0.247386               0.247397               0.247409               0.247401               1                     1               
50          0.228354       0      2        0.228344               0.228353               0.228363               0.228356               1                     1               
51          0.228354       0      2        0.228344               0.228353               0.228363               0.228356               1                     1               
52          0.246985       0      1        0.246973               0.246985               0.246997               0.246988               1                     1               
53          0.246985       0      1        0.246973               0.246985               0.246997               0.246988               1                     1               
54          0.228354       0      2        0.228344               0.228353               0.228363               0.228356               1                     1               
55          0.23319        0      0        0.233179               0.233189               0.2332                 0.233192               1                     1               
56          0.246985       0      1        0.246973               0.246985               0.246997               0.246988               1                     1               
57          0.247398       0      3        0.247386               0.247397               0.247409               0.247401               1                     1               
58          0.247398       0      3        0.247386               0.247397               0.247409               0.247401               1                     1               
59          0.228354       0      2        0.228344               0.228353               0.228363               0.228356               1                     1               
60          0.23319        0      0        0.233179               0.233189               0.2332                 0.233192               1                     1               
61          0.000191298    0      9        0.000191489            0.000191309            0.000191119            0.000191259            1                     2               
62          0.228354       0      2        0.228344               0.228353               0.228363               0.228356               1                     1               
63          0.228354       0      2        0.228344               0.228353               0.228363               0.228356               1                     1               
64          0.247398       0      3        0.247386               0.247397               0.247409               0.247401               1                     1               
65          0.247398       0      3        0.247386               0.247397               0.247409               0.247401               1                     1               
66          0.228354       0      2        0.228344               0.228353               0.228363               0.228356               1                     1               
67          0.228354       0      2        0.228344               0.228353               0.228363               0.228356               1                     1               
68          0.228354       0      2        0.228344               0.228353               0.228363               0.228356               1                     1               
69          0.246985       0      1        0.246973               0.246985               0.246997               0.246988               1                     1               
70          0.247398       0      3        0.247386               0.247397               0.247409               0.247401               1                     1               
71          0.23319        0      0        0.233179               0.233189               0.2332                 0.233192               1                     1               
72          0.247398       0      3        0.247386               0.247397               0.247409               0.247401               1                     1               
73          0.23319        0      0        0.233179               0.233189               0.2332                 0.233192               1                     1               
74          0.246985       0      1        0.246973               0.246985               0.246997               0.246988               1                     1               
75          0.000169837    0      10       0.000170007            0.000169847            0.000169679            0.000169803            1                     2               
76          0.246985       0      1        0.246973               0.246985               0.246997               0.246988               1                     1               
77          0.247398       0      3        0.247386               0.247397               0.247409               0.247401               1                     1               
78          0.246985       0      1        0.246973               0.246985               0.246997               0.246988               1                     1               
79          8.50759e-05    0      11       8.51612e-05            8.50811e-05            8.49963e-05            8.50586e-05            1                     2               
80          0.228354       0      2        0.228344               0.228353               0.228363               0.228356               1                     1               
81          0.23319        0      0        0.233179               0.233189               0.2332                 0.233192               1                     1               
82          0.247398       0      3        0.247386               0.247397               0.247409               0.247401               1                     1               
83          0.23319        0      0        0.233179               0.233189               0.2332                 0.233192               1                     1               
84          0.247398       0      3        0.247386               0.247397               0.247409               0.247401               1                     1               
85          0.246985       0      1        0.246973               0.246985               0.246997               0.246988               1                     1               
86          0.228354       0      2        0.228344               0.228353               0.228363               0.228356               1                     1               
87          0.23319        0      0        0.233179               0.233189               0.2332                 0.233192               1                     1               
88          0.23319        0      0        0.233179               0.233189               0.2332                 0.233192               1                     1               
