Note : P(D|M) is the probability of site D given the model M (i.e., the site likelihood)
P*(D|M,rr[x]) is the scaled probability of site D given the model M and the relative rate
of evolution rr[x], where x is the class of rate to be considered.
The actual conditional probability is given by P*(D|M,rr[x])/2^F, where
F is the scaling factor (see column 'Scaler').
For invariant sites, P(D|M,rr[0]=0) is the actual conditional probability
(i.e., it is not scaled).


Site        P(D|M)         Scaler Pattern  P*(D|M,rr[1]=0.9494)   P*(D|M,rr[2]=0.9865)   P*(D|M,rr[3]=1.0126)   P*(D|M,rr[4]=1.0516)   Posterior mean        NDistinctStates 
1           0.233191       0      0        0.233724               0.233333               0.233058               0.232648               0.999937              1               
2           0.233191       0      0        0.233724               0.233333               0.233058               0.232648               0.999937              1               
3           0.246986       0      1        0.24759                0.247147               0.246835               0.246371               0.999933              1               
4           0.228354       0      2        0.228817               0.228477               0.228239               0.227883               0.999944              1               
5           0.233191       0      0        0.233724               0.233333               0.233058               0.232648               0.999937              1               
6           0.247398       0      3        0.247979               0.247553               0.247254               0.246807               0.999936              1               
7           0.246986       0      1        0.24759                0.247147               0.246835               0.246371               0.999933              1               
8           0.228354       0      2        0.228817               0.228477               0.228239               0.227883               0.999944              1               
9           0.228354       0      2        0.228817               0.228477               0.228239               0.227883               0.999944              1               
10          0.000599646    0      4        0.000570538            0.000591916            0.000606906            0.000629224            1.00133               2               
11          0.246986       0      1        0.24759                0.247147               0.246835               0.246371               0.999933              1               
12          0.247398       0      3        0.247979               0.247553               0.247254               0.246807               0.999936              1               
13          0.247398       0      3        0.247979               0.247553               0.247254               0.246807               0.999936              1               
14          0.233191       0      0        0.233724               0.233333               0.233058               0.232648               0.999937              1               
15          0.233191       0      0        0.233724               0.233333               0.233058               0.232648               0.999937              1               
16          0.247398       0      3        0.247979               0.247553               0.247254               0.246807               0.999936              1               
17          0.228354       0      2        0.228817               0.228477               0.228239               0.227883               0.999944              1               
18          0.247398       0      3        0.247979               0.247553               0.247254               0.246807               0.999936              1               
19          0.233191       0      0        0.233724               0.233333               0.233058               0.232648               0.999937              1               
20          0.00011667     0      5        0.000111037            0.000115175            0.000118076            0.000122394            1.00132               2               
21          0.247398       0      3        0.247979               0.247553               0.247254               0.246807               0.999936              1               
22          0.247398       0      3        0.247979               0.247553               0.247254               0.246807               0.999936              1               
23          0.228354       0      2        0.228817               0.228477               0.228239               0.227883               0.999944              1               
24          0.000224761    0      6        0.000213816            0.000221854            0.000227491            0.000235885            1.00134               2               
25          0.233191       0      0        0.233724               0.233333               0.233058               0.232648               0.999937              1               
26          0.228354       0      2        0.228817               0.228477               0.228239               0.227883               0.999944              1               
27          0.000467843    0      7        0.000445243            0.000461845            0.000473481            0.000490801            1.00133               2               
28          0.228354       0      2        0.228817               0.228477               0.228239               0.227883               0.999944              1               
29          0.247398       0      3        0.247979               0.247553               0.247254               0.246807               0.999936              1               
30          0.233191       0      0        0.233724               0.233333               0.233058               0.232648               0.999937              1               
31          0.228354       0      2        0.228817               0.228477               0.228239               0.227883               0.999944              1               
32          0.228354       0      2        0.228817               0.228477               0.228239               0.227883               0.999944              1               
33          0.246986       0      1        0.24759                0.247147               0.246835               0.246371               0.999933              1               
34          7.44187e-05    0      8        7.0815e-05             7.34621e-05            7.53177e-05            7.80802e-05            1.00133               2               
35          0.246986       0      1        0.24759                0.247147               0.246835               0.246371               0.999933              1               
36          0.246986       0      1        0.24759                0.247147               0.246835               0.246371               0.999933              1               
37          0.246986       0      1        0.24759                0.247147               0.246835               0.246371               0.999933              1               
38          0.228354       0      2        0.228817               0.228477               0.228239               0.227883               0.999944              1               
39          0.247398       0      3        0.247979               0.247553               0.247254               0.246807               0.999936              1               
40          0.247398       0      3        0.247979               0.247553               0.247254               0.246807               0.999936              1               
41          0.247398       0      3        0.247979               0.247553               0.247254               0.246807               0.999936              1               
42          0.228354       0      2        0.228817               0.228477               0.228239               0.227883               0.999944              1               
43          0.246986       0      1        0.24759                0.247147               0.246835               0.246371               0.999933              1               
44          0.233191       0      0        0.233724               0.233333               0.233058               0.232648               0.999937              1               
45          0.246986       0      1        0.24759                0.247147               0.246835               0.246371               0.999933              1               
46          0.247398       0      3        0.247979               0.247553               0.247254               0.246807               0.999936              1               
47          0.228354       0      2        0.228817               0.228477               0.228239               0.227883               0.999944              1               
48          0.247398       0      3        0.247979               0.247553               0.247254               0.246807               0.999936              1               
49          0.247398       0      3        0.247979               0.247553               0.247254               0.246807               0.999936              1               
50          0.228354       0      2        0.228817               0.228477               0.228239               0.227883               0.999944              1               
51          0.228354       0      2        0.228817               0.228477               0.228239               0.227883               0.999944              1               
52          0.246986       0      1        0.24759                0.247147               0.246835               0.246371               0.999933              1               
53          0.246986       0      1        0.24759                0.247147               0.246835               0.246371               0.999933              1               
54          0.228354       0      2        0.228817               0.228477               0.228239               0.227883               0.999944              1               
55          0.233191       0      0        0.233724               0.233333               0.233058               0.232648               0.999937              1               
56          0.246986       0      1        0.24759                0.247147               0.246835               0.246371               0.999933              1               
57          0.247398       0      3        0.247979               0.247553               0.247254               0.246807               0.999936              1               
58          0.247398       0      3        0.247979               0.247553               0.247254               0.246807               0.999936              1               
59          0.228354       0      2        0.228817               0.228477               0.228239               0.227883               0.999944              1               
60          0.233191       0      0        0.233724               0.233333               0.233058               0.232648               0.999937              1               
61          0.000191283    0      9        0.000182038            0.000188829            0.00019359             0.000200676            1.00133               2               
62          0.228354       0      2        0.228817               0.228477               0.228239               0.227883               0.999944              1               
63          0.228354       0      2        0.228817               0.228477               0.228239               0.227883               0.999944              1               
64          0.247398       0      3        0.247979               0.247553               0.247254               0.246807               0.999936              1               
65          0.247398       0      3        0.247979               0.247553               0.247254               0.246807               0.999936              1               
66          0.228354       0      2        0.228817               0.228477               0.228239               0.227883               0.999944              1               
67          0.228354       0      2        0.228817               0.228477               0.228239               0.227883               0.999944              1               
68          0.228354       0      2        0.228817               0.228477               0.228239               0.227883               0.999944              1               
69          0.246986       0      1        0.24759                0.247147               0.246835               0.246371               0.999933              1               
70          0.247398       0      3        0.247979               0.247553               0.247254               0.246807               0.999936              1               
71          0.233191       0      0        0.233724               0.233333               0.233058               0.232648               0.999937              1               
72          0.247398       0      3        0.247979               0.247553               0.247254               0.246807               0.999936              1               
73          0.233191       0      0        0.233724               0.233333               0.233058               0.232648               0.999937              1               
74          0.246986       0      1        0.24759                0.247147               0.246835               0.246371               0.999933              1               
75          0.000169808    0      10       0.000161607            0.000167631            0.000171853            0.000178138            1.00133               2               
76          0.246986       0      1        0.24759                0.247147               0.246835               0.246371               0.999933              1               
77          0.247398       0      3        0.247979               0.247553               0.247254               0.246807               0.999936              1               
78          0.246986       0      1        0.24759                0.247147               0.246835               0.246371               0.999933              1               
79          8.50615e-05    0      11       8.09427e-05            8.39681e-05            8.60889e-05            8.92463e-05            1.00133               2               
80          0.228354       0      2        0.228817               0.228477               0.228239               0.227883               0.999944              1               
81          0.233191       0      0        0.233724               0.233333               0.233058               0.232648               0.999937              1               
82          0.247398       0      3        0.247979               0.247553               0.247254               0.246807               0.999936              1               
83          0.233191       0      0        0.233724               0.233333               0.233058               0.232648               0.999937              1               
84          0.247398       0      3        0.247979               0.247553               0.247254               0.246807               0.999936              1               
85          0.246986       0      1        0.24759                0.247147               0.246835               0.246371               0.999933              1               
86          0.228354       0      2        0.228817               0.228477               0.228239               0.227883               0.999944              1               
87          0.233191       0      0        0.233724               0.233333               0.233058               0.232648               0.999937              1               
88          0.233191       0      0        0.233724               0.233333               0.233058               0.232648               0.999937              1               
89          0.247398       0      3        0.247979               0.247553               0.247254               0.246807               0.999936              1               
90          0.247398       0      3        0.247979               0.247553               0.247254               0.246807               0.999936              1               
91          0.247398       0      3        0.247979               0.247553               0.247254               0.246807               0.999936              1               
92          0.233191       0      0        0.233724               0.233333               0.233058               0.232648               0.999937              1               
93          0.246986       0      1        0.24759                0.247147               0.246835               0.246371               0.999933              1               
94          0.228354       0      2        0.228817               0.228477               0.228239               0.227883               0.999944              1               
95          0.228354       0      2        0.228817               0.228477               0.228239               0.227883               0.999944              1               
96          0.000233873    0      12       0.000222561            0.00023087             0.000236695            0.000245365            1.00133               2               
97          0.228354       0      2        0.228817               0.228477               0.228239               0.227883               0.999944              1               
98          0.246986       0      1        0.24759                0.247147               0.246835               0.246371               0.999933              1               
99          0.233191       0      0        0.233724               0.233333               0.233058               0.232648               0.999937              1               
100         0.228354       0      2        0.228817               0.228477               0.228239               0.227883               0.999944              1               
101         0.228354       0      2        0.228817               0.228477               0.228239               0.227883               0.999944              1               
102         0.233191       0      0        0.233724               0.233333               0.233058               0.232648               0.999937              1               
103         0.246986       0      1        0.24759                0.247147               0.246835               0.246371               0.999933              1               
104         0.228354       0      2        0.228817               0.228477               0.228239               0.227883               0.999944              1               
105         0.247398       0      3        0.247979               0.247553               0.247254               0.246807               0.999936              1               
106         0.000351143    0      13       0.000334156            0.000346634            0.00035538             0.000368401            1.00133               2               
107         0.247398       0      3        0.247979               0.247553               0.247254               0.246807               0.999936              1               
108         0.233191       0      0        0.233724               0.233333               0.233058               0.232648               0.999937              1               
109         0.228354       0      2        0.228817               0.228477               0.228239               0.227883               0.999944              1               
110         0.247398       0      3        0.247979               0.247553               0.247254               0.246807               0.999936              1               
111         0.233191       0      0        0.233724               0.233333               0.233058               0.232648               0.999937              1               
112         0.247398       0      3        0.247979               0.247553               0.247254               0.246807               0.999936              1               
113         0.246986       0      1        0.24759                0.247147               0.246835               0.246371               0.999933              1               
114         0.247398       0      3        0.247979               0.247553               0.247254               0.246807               0.999936              1               
115         0.246986       0      1        0.24759                0.247147               0.246835               0.246371               0.999933              1               
116         0.233191       0      0        0.233724               0.233333               0.233058               0.232648               0.999937              1               
117         0.233191       0      0        0.233724               0.233333               0.233058               0.232648               0.999937              1               
118         0.233191       0      0        0.233724               0.233333               0.233058               0.232648               0.999937              1               
119         0.228354       0      2        0.228817               0.228477               0.228239               0.227883               0.999944              1               
120         0.246986       0      1        0.24759                0.247147               0.246835               0.246371               0.999933              1               
121         0.228354       0      2        0.228817               0.228477               0.228239               0.227883               0.999944              1               
122         0.228354       0      2        0.228817               0.228477               0.228239               0.227883               0.999944              1               
123         0.233191       0      0        0.233724               0.233333               0.233058               0.232648               0.999937              1               
124         0.000223602    0      14       0.000212766            0.000220725            0.000226305            0.000234611            1.00133               2               
125         0.000599275    0      15       0.000570199            0.000591554            0.000606526            0.000628819            1.00133               2               
126         0.233191       0      0        0.233724               0.233333               0.233058               0.232648               0.999937              1               
127         0.246986       0      1        0.24759                0.247147               0.246835               0.246371               0.999933              1               
128         0.228354       0      2        0.228817               0.228477               0.228239               0.227883               0.999944              1               
129         0.247398       0      3        0.247979               0.247553               0.247254               0.246807               0.999936              1               
130         0.246986       0      1        0.24759                0.247147               0.246835               0.246371               0.999933              1               
131         0.233191       0      0        0.233724               0.233333               0.233058               0.232648               0.999937              1               
132         0.246986       0      1        0.24759                0.247147               0.246835               0.246371               0.999933              1               
133         0.228354       0      2        0.228817               0.228477               0.228239               0.227883               0.999944              1               
134         0.247398       0      3        0.247979               0.247553               0.247254               0.246807               0.999936              1               
135         0.247398       0      3        0.247979               0.247553               0.247254               0.246807               0.999936              1               
136         0.246986       0      1        0.24759                0.247147               0.246835               0.246371               0.999933              1               
137         0.233191       0      0        0.233724               0.233333               0.233058               0.232648               0.999937              1               
138         0.247398       0      3        0.247979               0.247553               0.247254               0.246807               0.999936              1               
139         0.246986       0      1        0.24759                0.247147               0.246835               0.246371               0.999933              1               
140         0.000683765    0      16       0.000650672            0.000674981            0.000692021            0.000717388            1.00133               2               
141         0.233191       0      0        0.233724               0.233333               0.233058               0.232648               0.999937              1               
142         0.246986       0      1        0.24759                0.247147               0.246835               0.246371               0.999933              1               
143         0.233191       0      0        0.233724               0.233333               0.233058               0.232648               0.999937              1               
144         0.247398       0      3        0.247979               0.247553               0.247254               0.246807               0.999936              1               
145         0.228354       0      2        0.228817               0.228477               0.228239               0.227883               0.999944              1               
146         0.247398       0      3        0.247979               0.247553               0.247254               0.246807               0.999936              1               
147         0.246986       0      1        0.24759                0.247147               0.246835               0.246371               0.999933              1               
148         0.247398       0      3        0.247979               0.247553               0.247254               0.246807               0.999936              1               
149         0.228354       0      2        0.228817               0.228477               0.228239               0.227883               0.999944              1               
150         0.233191       0      0        0.233724               0.233333               0.233058               0.232648               0.999937              1               
151         0.228354       0      2        0.228817               0.228477               0.228239               0.227883               0.999944              1               
152         0.246986       0      1        0.24759                0.247147               0.246835               0.246371               0.999933              1               
153         0.228354       0      2        0.228817               0.228477               0.228239               0.227883               0.999944              1               
154         0.233191       0      0        0.233724               0.233333               0.233058               0.232648               0.999937              1               
155         0.247398       0      3        0.247979               0.247553               0.247254               0.246807               0.999936              1               
156         0.247398       0      3        0.247979               0.247553               0.247254               0.246807               0.999936              1               
157         0.246986       0      1        0.24759                0.247147               0.246835               0.246371               0.999933              1               
158         0.246986       0      1        0.24759                0.247147               0.246835               0.246371               0.999933              1               
159         0.246986       0      1        0.24759                0.247147               0.246835               0.246371               0.999933              1               
160         0.228354       0      2        0.228817               0.228477               0.228239               0.227883               0.999944              1               
161         0.246986       0      1        0.24759                0.247147               0.246835               0.246371               0.999933              1               
162         0.247398       0      3        0.247979               0.247553               0.247254               0.246807               0.999936              1               
163         0.247398       0      3        0.247979               0.247553               0.247254               0.246807               0.999936              1               
164         0.246986       0      1        0.24759                0.247147               0.246835               0.246371               0.999933              1               
165         0.247398       0      3        0.247979               0.247553               0.247254               0.246807               0.999936              1               
166         0.228354       0      2        0.228817               0.228477               0.228239               0.227883               0.999944              1               
167         0.228354       0      2        0.228817               0.228477               0.228239               0.227883               0.999944              1               
168         0.246986       0      1        0.24759                0.247147               0.246835               0.246371               0.999933              1               
169         0.247398       0      3        0.247979               0.247553               0.247254               0.246807               0.999936              1               
170         0.228354       0      2        0.228817               0.228477               0.228239               0.227883               0.999944              1               
171         0.233191       0      0        0.233724               0.233333               0.233058               0.232648               0.999937              1               
172         0.228354       0      2        0.228817               0.228477               0.228239               0.227883               0.999944              1               
173         0.233191       0      0        0.233724               0.233333               0.233058               0.232648               0.999937              1               
174         0.246986       0      1        0.24759                0.247147               0.246835               0.246371               0.999933              1               
175         0.246986       0      1        0.24759                0.247147               0.246835               0.246371               0.999933              1               
176         0.247398       0      3        0.247979               0.247553               0.247254               0.246807               0.999936              1               
177         0.233191       0      0        0.233724               0.233333               0.233058               0.232648               0.999937              1               
178         0.228354       0      2        0.228817               0.228477               0.228239               0.227883               0.999944              1               
179         0.247398       0      3        0.247979               0.247553               0.247254               0.246807               0.999936              1               
180         0.246986       0      1        0.24759                0.247147               0.246835               0.246371               0.999933              1               
181         0.228354       0      2        0.228817               0.228477               0.228239               0.227883               0.999944              1               
182         0.233191       0      0        0.233724               0.233333               0.233058               0.232648               0.999937              1               
183         0.246986       0      1        0.24759                0.247147               0.246835               0.246371               0.999933              1               
184         0.233191       0      0        0.233724               0.233333               0.233058               0.232648               0.999937              1               
185         0.228354       0      2        0.228817               0.228477               0.228239               0.227883               0.999944              1               
186         0.246986       0      1        0.24759                0.247147               0.246835               0.246371               0.999933              1               
187         0.247398       0      3        0.247979               0.247553               0.247254               0.246807               0.999936              1               
188         0.247398       0      3        0.247979               0.247553               0.247254               0.246807               0.999936              1               
189         0.228354       0      2        0.228817               0.228477               0.228239               0.227883               0.999944              1               
190         0.247398       0      3        0.247979               0.247553               0.247254               0.246807               0.999936              1               
191         0.228354       0      2        0.228817               0.228477               0.228239               0.227883               0.999944              1               
192         0.247398       0      3        0.247979               0.247553               0.247254               0.246807               0.999936              1               
193         0.247398       0      3        0.247979               0.247553               0.247254               0.246807               0.999936              1               
194         0.000233475    0      17       0.000222204            0.000230484            0.000236287            0.000244925            1.00132               2               
195         0.228354       0      2        0.228817               0.228477               0.228239               0.227883               0.999944              1               
196         0.246986       0      1        0.24759                0.247147               0.246835               0.246371               0.999933              1               
197         0.000233873    0      12       0.000222561            0.00023087             0.000236695            0.000245365            1.00133               2               
198         0.233191       0      0        0.233724               0.233333               0.233058               0.232648               0.999937              1               
199         0.233191       0      0        0.233724               0.233333               0.233058               0.232648               0.999937              1               
200         0.228354       0      2        0.228817               0.228477               0.228239               0.227883               0.999944              1               
201         0.246986       0      1        0.24759                0.247147               0.246835               0.246371               0.999933              1               
202         0.228354       0      2        0.228817               0.228477               0.228239               0.227883               0.999944              1               
203         0.247398       0      3        0.247979               0.247553               0.247254               0.246807               0.999936              1               
204         0.233191       0      0        0.233724               0.233333               0.233058               0.232648               0.999937              1               
205         0.246986       0      1        0.24759                0.247147               0.246835               0.246371               0.999933              1               
206         0.228354       0      2        0.228817               0.228477               0.228239               0.227883               0.999944              1               
207         0.247398       0      3        0.247979               0.247553               0.247254               0.246807               0.999936              1               
208         0.246986       0      1        0.24759                0.247147               0.246835               0.246371               0.999933              1               
209         0.246986       0      1        0.24759                0.247147               0.246835               0.246371               0.999933              1               
210         0.247398       0      3        0.247979               0.247553               0.247254               0.246807               0.999936              1               
211         0.247398       0      3        0.247979               0.247553               0.247254               0.246807               0.999936              1               
212         0.246986       0      1        0.24759                0.247147               0.246835               0.246371               0.999933              1               
213         0.247398       0      3        0.247979               0.247553               0.247254               0.246807               0.999936              1               
214         0.246986       0      1        0.24759                0.247147               0.246835               0.246371               0.999933              1               
215         0.247398       0      3        0.247979               0.247553               0.247254               0.246807               0.999936              1               
216         0.246986       0      1        0.24759                0.247147               0.246835               0.246371               0.999933              1               
217         0.247398       0      3        0.247979               0.247553               0.247254               0.246807               0.999936              1               
218         0.228354       0      2        0.228817               0.228477               0.228239               0.227883               0.999944              1               
219         0.246986       0      1        0.24759                0.247147               0.246835               0.246371               0.999933              1               
220         0.247398       0      3        0.247979               0.247553               0.247254               0.246807               0.999936              1               
221         0.246986       0      1        0.24759                0.247147               0.246835               0.246371               0.999933              1               
222         0.247398       0      3        0.247979               0.247553               0.247254               0.246807               0.999936              1               
223         0.228354       0      2        0.228817               0.228477               0.228239               0.227883               0.999944              1               
224         0.228354       0      2        0.228817               0.228477               0.228239               0.227883               0.999944              1               
225         0.247398       0      3        0.247979               0.247553               0.247254               0.246807               0.999936              1               
226         0.246986       0      1        0.24759                0.247147               0.246835               0.246371               0.999933              1               
227         0.246986       0      1        0.24759                0.247147               0.246835               0.246371               0.999933              1               
228         0.247398       0      3        0.247979               0.247553               0.247254               0.246807               0.999936              1               
229         0.233191       0      0        0.233724               0.233333               0.233058               0.232648               0.999937              1               
230         0.228354       0      2        0.228817               0.228477               0.228239               0.227883               0.999944              1               
231         0.246986       0      1        0.24759                0.247147               0.246835               0.246371               0.999933              1               
232         0.233191       0      0        0.233724               0.233333               0.233058               0.232648               0.999937              1               
233         0.233191       0      0        0.233724               0.233333               0.233058               0.232648               0.999937              1               
234         0.246986       0      1        0.24759                0.247147               0.246835               0.246371               0.999933              1               
235         0.247398       0      3        0.247979               0.247553               0.247254               0.246807               0.999936              1               
236         0.247398       0      3        0.247979               0.247553               0.247254               0.246807               0.999936              1               
237         0.247398       0      3        0.247979               0.247553               0.247254               0.246807               0.999936              1               
238         0.247398       0      3        0.247979               0.247553               0.247254               0.246807               0.999936              1               
239         0.247398       0      3        0.247979               0.247553               0.247254               0.246807               0.999936              1               
240         0.233191       0      0        0.233724               0.233333               0.233058               0.232648               0.999937              1               
